SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Brazil,BRA,1970,0.0,,,0.0
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,China,CHN,1970,0.0,,,0.0
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,India,IND,1970,5.18257644767482,inf,,5.18257644767482
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Russian Federation,RUS,1970,0.0,-100.0,,5.18257644767482
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,South Africa,ZAF,1970,5.24030965896851,inf,2.084577221328666,10.422886106643329
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Brazil,BRA,1971,11.6904377301284,123.08677331922246,4.422664767354346,22.113323836771727
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,China,CHN,1971,0.0,-100.0,4.422664767354346,22.113323836771727
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,India,IND,1971,1.66865664063978,inf,3.7198808059473385,23.78198047741151
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Russian Federation,RUS,1971,0.0,-100.0,3.7198808059473385,23.78198047741151
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,South Africa,ZAF,1971,4.64550547821956,inf,3.6009199697975482,28.42748595563107
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Brazil,BRA,1972,12.3445233745099,165.7304664129052,3.731737098673848,40.77200933014097
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,China,CHN,1972,0.0,-100.0,3.731737098673848,40.77200933014097
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,India,IND,1972,-0.531886881110282,-inf,3.2916283943238347,40.240122449030686
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Russian Federation,RUS,1972,0.0,-100.0,3.2916283943238347,40.240122449030686
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,South Africa,ZAF,1972,1.51292062114685,inf,2.6651114229092934,41.75304307017753
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Brazil,BRA,1973,13.6041149846137,799.1955555673023,2.917029744930054,55.357158054791235
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,China,CHN,1973,0.0,-100.0,2.917029744930054,55.357158054791235
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,India,IND,1973,3.35606694818233,inf,3.694620510788576,58.713225002973566
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Russian Federation,RUS,1973,0.0,-100.0,3.694620510788576,58.713225002973566
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,South Africa,ZAF,1973,4.4625463475659,inf,4.284545656072386,63.17577135053946
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Brazil,BRA,1974,9.45905394410995,111.9653939116935,3.4555334479716366,72.63482529464942
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,China,CHN,1974,0.0,-100.0,3.4555334479716366,72.63482529464942
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,India,IND,1974,1.31713816465482,inf,3.0477476912661343,73.95196345930424
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Russian Federation,RUS,1974,0.0,-100.0,3.0477476912661343,73.95196345930424
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,South Africa,ZAF,1974,5.8633907751755,inf,3.3279165767880543,79.81535423447974
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Brazil,BRA,1975,4.62727091851394,-21.081996818207315,2.3615599716688522,84.44262515299368
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,China,CHN,1975,0.0,-100.0,2.3615599716688522,84.44262515299368
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,India,IND,1975,9.2255437085349,inf,3.943241080444868,93.66816886152859
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Russian Federation,RUS,1975,0.0,-100.0,3.943241080444868,93.66816886152859
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,South Africa,ZAF,1975,1.28318954522733,inf,3.0272008344552344,94.95135840675592
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,Brazil,BRA,1976,9.56899840101788,645.7197914843232,4.015546330956022,104.5203568077738
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,China,CHN,1976,0.0,-100.0,4.015546330956022,104.5203568077738
