SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Brazil,BRA,1970,20.5420321064948,,,20.5420321064948
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,China,CHN,1970,32.8694767118481,60.01083311254156,,53.4115088183429
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,India,IND,1970,16.6531413945703,-49.33554452186479,,70.06465021291321
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Russian Federation,RUS,1970,0.0,-100.0,,70.06465021291321
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,South Africa,ZAF,1970,28.5573122529644,inf,19.72439249317552,98.6219624658776
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Brazil,BRA,1971,21.1179144400702,-26.050763275601863,19.839568959890602,119.7398769059478
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,China,CHN,1971,33.6378280760308,59.28574846484216,19.99323923272714,153.37770498197858
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,India,IND,1971,17.6045113708662,-47.66454204155176,20.18351322798632,170.98221635284477
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Russian Federation,RUS,1971,0.0,-100.0,20.18351322798632,170.98221635284477
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,South Africa,ZAF,1971,30.9564739049715,inf,20.66334555838774,201.93869025781626
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Brazil,BRA,1972,21.17081373715,-31.61102972470633,20.673925417803698,223.10950399496625
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,China,CHN,1972,31.2483152562294,47.600917207049356,20.19602285384342,254.35781925119565
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,India,IND,1972,16.1359539181538,-48.36216357316393,19.902311363300942,270.4937731693494
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Russian Federation,RUS,1972,0.0,-100.0,19.902311363300942,270.4937731693494
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,South Africa,ZAF,1972,26.5318552807894,inf,19.01738763846452,297.0256284501388
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Brazil,BRA,1973,23.2440898268721,-12.39176612084808,19.43204285640894,320.2697182770109
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,China,CHN,1973,32.9560233727596,41.78237830874196,19.77358447971498,353.2257416497705
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,India,IND,1973,19.0580369291081,-42.17130897879851,20.35800108190584,372.2837785788786
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Russian Federation,RUS,1973,0.0,-100.0,20.35800108190584,372.2837785788786
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,South Africa,ZAF,1973,26.6551893753074,inf,20.38266790080944,398.93896795418596
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Brazil,BRA,1974,25.388690127755,-4.751417180797257,20.81158796098602,424.32765808194097
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,China,CHN,1974,33.206194444248,30.791286502594616,20.8616221752837,457.533852526189
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,India,IND,1974,19.2437065951725,-42.047841021102286,20.898756108496578,476.7775591213615
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Russian Federation,RUS,1974,0.0,-100.0,20.898756108496578,476.7775591213615
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,South Africa,ZAF,1974,30.031987205118,inf,21.5741156744587,506.8095463264795
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Brazil,BRA,1975,26.83887314599,-10.632376863106263,21.8641522781057,533.6484194724695
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,China,CHN,1975,35.0357185622635,30.540944739694442,22.230057101708802,568.684138034733
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,India,IND,1975,18.9575187533961,-45.89088070305773,22.172819533353522,587.6416567881291
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Russian Federation,RUS,1975,0.0,-100.0,22.172819533353522,587.6416567881291
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,South Africa,ZAF,1975,32.3422975945505,inf,22.634881611240022,619.9839543826796
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Brazil,BRA,1976,23.1162106570636,-28.52638069548109,21.89034911345474,643.1001650397432
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,China,CHN,1976,33.2197606069732,43.7076391965751,21.52715752239668,676.3199256467163
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,India,IND,1976,19.1531791012955,-42.34401828508352,21.566289591976563,695.4731047480118
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Russian Federation,RUS,1976,0.0,-100.0,21.566289591976563,695.4731047480118
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,South Africa,ZAF,1976,30.3810989977693,inf,21.174049872620323,725.8542037457811
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Brazil,BRA,1977,22.0691465995739,-27.35895893300534,20.96463706112238,747.923350345355
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,China,CHN,1977,33.87895996,53.512777701400196,21.096476931727743,781.8023103053549
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,India,IND,1977,19.61373131334,-42.10645386842625,21.18858737413664,801.416041618695
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Russian Federation,RUS,1977,0.0,-100.0,21.18858737413664,801.416041618695
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,South Africa,ZAF,1977,29.7462445896631,inf,21.061616492515405,831.1622862083581
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Brazil,BRA,1978,22.9732218599383,-22.769337182410055,21.24243154458828,854.1355080682964
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,China,CHN,1978,37.6038137258898,63.685415807806045,21.98740229776624,891.7393217941863
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,India,IND,1978,23.2471770334632,-38.17867197481147,22.71409144179088,914.9864988276495
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Russian Federation,RUS,1978,0.0,-100.0,22.71409144179088,914.9864988276495
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,South Africa,ZAF,1978,26.6687990551879,inf,22.098602334895837,941.6552978828374
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Brazil,BRA,1979,22.7644531016857,-14.64012663420885,22.05684858324532,964.4197509845231
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,China,CHN,1979,36.2969031242718,59.445530987010756,21.79546646292172,1000.716654108795
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,India,IND,1979,22.4309011701982,-38.201611599203844,21.63221129026872,1023.1475552789932
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Russian Federation,RUS,1979,0.0,-100.0,21.63221129026872,1023.1475552789932
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,South Africa,ZAF,1979,27.3779847133233,inf,21.774048421895802,1050.5255399923165
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Brazil,BRA,1980,23.3464749539881,-14.725370773449576,21.89045279235628,1073.8720149463045
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,China,CHN,1980,34.605193076202,48.22448846947089,21.55211078274232,1108.4772080225066
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,India,IND,1980,21.0776467693967,-39.09108750532646,21.28145990258202,1129.5548547919034
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Russian Federation,RUS,1980,0.0,-100.0,21.28145990258202,1129.5548547919034
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,South Africa,ZAF,1980,31.3563780404778,inf,22.07713856801292,1160.911232832381
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Brazil,BRA,1981,23.084120487215,-26.381419252517567,22.0246676746583,1183.995353319596
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,China,CHN,1981,32.9487495627914,42.73339796956901,21.69337897197618,1216.9441028823874
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,India,IND,1981,20.8300351493331,-36.780498726858546,21.643856647963457,1237.7741380317204
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Russian Federation,RUS,1981,0.0,-100.0,21.643856647963457,1237.7741380317204
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,South Africa,ZAF,1981,34.1151840838478,inf,22.195617856637462,1271.8893221155683
