SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Brazil,BRA,1970,103634328453.906,,,103634328453.906
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,China,CHN,1970,0.0,-100.0,,103634328453.906
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,India,IND,1970,36834819919.0784,inf,,140469148372.9844
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Russian Federation,RUS,1970,0.0,-100.0,,140469148372.9844
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,South Africa,ZAF,1970,26728535478.4977,inf,33439536770.296425,167197683851.48212
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Brazil,BRA,1971,119540605276.461,347.2396378493233,36620792134.80742,286738289127.9431
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,China,CHN,1971,0.0,-100.0,36620792134.80742,286738289127.9431
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,India,IND,1971,39914700268.2175,inf,37236768204.63524,326652989396.16064
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Russian Federation,RUS,1971,0.0,-100.0,37236768204.63524,326652989396.16064
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,South Africa,ZAF,1971,29485733103.0931,inf,37788207729.55431,356138722499.2537
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Brazil,BRA,1972,139521447964.617,373.1829033275112,41784376267.185524,495660170463.8707
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,China,CHN,1972,0.0,-100.0,41784376267.185524,495660170463.8707
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,India,IND,1972,38086210304.4155,inf,41418678274.425125,533746380768.28625
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Russian Federation,RUS,1972,0.0,-100.0,41418678274.425125,533746380768.28625
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,South Africa,ZAF,1972,25889875346.9701,inf,40699506723.200516,559636256115.2563
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Brazil,BRA,1973,168807936593.111,552.0229793723848,46556804448.899315,728444192708.3673
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,China,CHN,1973,0.0,-100.0,46556804448.899315,728444192708.3673
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,India,IND,1973,45490356016.1382,inf,48037633591.24386,773934548724.5055
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Russian Federation,RUS,1973,0.0,-100.0,48037633591.24386,773934548724.5055
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,South Africa,ZAF,1973,29488191715.8566,inf,48757296865.021164,803422740440.362
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Brazil,BRA,1974,191189541323.371,548.3596660169677,53233617811.073166,994612281763.733
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,China,CHN,1974,0.0,-100.0,53233617811.073166,994612281763.733
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,India,IND,1974,43148947449.1423,inf,52765336097.67398,1037761229212.8754
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Russian Federation,RUS,1974,0.0,-100.0,52765336097.67399,1037761229212.8754
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,South Africa,ZAF,1974,34345454409.2202,inf,53736788636.3467,1072106683622.0956
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Brazil,BRA,1975,209800589555.656,510.8540217751029,57458998282.80371,1281907273177.7515
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,China,CHN,1975,0.0,-100.0,57458998282.80371,1281907273177.7515
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,India,IND,1975,38804754986.4441,inf,56590159790.26406,1320712028164.1956
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Russian Federation,RUS,1975,0.0,-100.0,56590159790.26406,1320712028164.1956
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,South Africa,ZAF,1975,34944536385.9107,inf,56709976185.60216,1355656564550.1062
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,Brazil,BRA,1976,224543691911.238,542.5716725255279,59658596656.71855,1580200256461.3442
