SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1970,8694949202.08942,,,8694949202.08942
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1970,30438112787.3913,250.06659705472387,,39133061989.48072
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1970,10395304365.0704,-65.84773688933646,,49528366354.55112
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1970,0.0,-100.0,,49528366354.55112
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1970,5259797898.18476,inf,10957632850.547176,54788164252.73588
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1971,10390955066.7027,97.55426478056854,11296834023.46983,65179119319.438576
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1971,33570874888.2931,223.07785639329057,11923386443.650192,98749994207.73167
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1971,11856812344.5308,-64.6812530683687,12215688039.54227,110606806552.26248
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1971,0.0,-100.0,12215688039.54227,110606806552.26248
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1971,6294593845.95531,inf,12422647229.096382,116901400398.21779
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1972,12393184513.7359,96.88616639974852,12823093118.503021,129294584911.95369
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1972,35525455373.9254,186.6531627488561,13214009215.629482,164820040285.8791
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1972,11531268024.9153,-67.54082979783871,13148900351.706383,176351308310.7944
Gross capital formation (current US$),NE.GDI.TOTL.CD,Russian Federation,RUS,1972,0.0,-100.0,13148900351.706383,176351308310.7944
Gross capital formation (current US$),NE.GDI.TOTL.CD,South Africa,ZAF,1972,5666523992.22482,inf,13023286380.960285,182017832303.01923
Gross capital formation (current US$),NE.GDI.TOTL.CD,Brazil,BRA,1973,18427695392.8517,225.20281248498733,14230188556.783443,200445527695.8709
Gross capital formation (current US$),NE.GDI.TOTL.CD,China,CHN,1973,45658686850.3066,147.7720945399287,16256834852.059687,246104214546.17752
Gross capital formation (current US$),NE.GDI.TOTL.CD,India,IND,1973,16297531657.6351,-64.30573723885873,17210087578.603645,262401746203.81262
