SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1970,797103256531.586,,,797103256531.586
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1970,0.0,-100.0,,797103256531.586
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1970,10912225168462.5,inf,,11709328424994.086
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1970,0.0,-100.0,,11709328424994.086
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1970,889410947565.797,inf,2519747874511.9766,12598739372559.883
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1971,886068241518.124,-0.3758336972151666,2537540871509.284,13484807614078.008
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1971,0.0,-100.0,2537540871509.284,13484807614078.008
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1971,11137367043330.6,inf,2582569246482.9043,24622174657408.61
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1971,0.0,-100.0,2582569246482.9043,24622174657408.61
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1971,937193530353.492,inf,2592125763040.4434,25559368187762.1
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1972,994361003093.26,6.099857808259257,2613784315355.47,26553729190855.363
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1972,0.0,-100.0,2613784315355.47,26553729190855.363
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1972,11123217794255.2,inf,2610954465540.39,37676946985110.56
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1972,0.0,-100.0,2610954465540.39,37676946985110.56
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1972,977780650812.722,inf,2619071889632.2363,38654727635923.28
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1973,1139015263652.64,16.48985513324499,2648002741744.1123,39793742899575.92
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1973,0.0,-100.0,2648002741744.1123,39793742899575.92
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1973,11393583594678.9,inf,2702075901828.8525,51187326494254.82
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1973,0.0,-100.0,2702075901828.8525,51187326494254.82
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1973,1071823085425.83,inf,2720884388751.4736,52259149579680.65
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1974,1231500597725.61,14.897748935528954,2739381455566.068,53490650177406.26
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1974,0.0,-100.0,2739381455566.068,53490650177406.26
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1974,11371759270243.1,inf,2735016590678.9077,64862409447649.36
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1974,0.0,-100.0,2735016590678.9077,64862409447649.36
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1974,1168279518298.41,inf,2754307877253.424,66030688965947.766
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1975,1294931931950.79,10.840934183015417,2766994144098.46,67325620897898.555
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1975,0.0,-100.0,2766994144098.46,67325620897898.555
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1975,12363625847323.4,inf,2965367459514.52,79689246745221.95
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1975,0.0,-100.0,2965367459514.52,79689246745221.95
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1975,1165361952079.43,inf,2964783946270.7236,80854608697301.39
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1976,1426844780831.4,22.437906805296805,2991166516046.846,82281453478132.8
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1976,0.0,-100.0,2991166516046.846,82281453478132.8
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1976,12584522539822.1,inf,3035345854546.586,94865976017954.89
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1976,0.0,-100.0,3035345854546.586,94865976017954.89
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1976,1164118170404.91,inf,3035097098211.682,96030094188359.8
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1977,1499373872888.03,28.799112582059404,3049602916623.008,97529468061247.83
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1977,0.0,-100.0,3049602916623.008,97529468061247.83
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1977,13648975491446.3,inf,3262493506947.848,111178443552694.12
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1977,0.0,-100.0,3262493506947.848,111178443552694.12
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1977,1167962140937.95,inf,3263262301054.456,112346405693632.08
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1978,1540083303878.59,31.860721327987783,3271404187252.568,113886488997510.67
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1978,0.0,-100.0,3271404187252.568,113886488997510.67
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1978,14331816739859.4,inf,3407972436935.1885,128218305737370.08
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1978,0.0,-100.0,3407972436935.1885,128218305737370.08
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1978,1208348170121.01,inf,3416049642771.8003,129426653907491.1
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1979,1638459308930.86,35.59496753049054,3435724843782.254,131065113216421.95
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1979,0.0,-100.0,3435724843782.254,131065113216421.95
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1979,13502350699992.6,inf,3269831635808.8945,144567463916414.56
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1979,0.0,-100.0,3269831635808.8945,144567463916414.56
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1979,1270130694012.51,inf,3282188140587.1943,145837594610427.06
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1980,1778255478549.35,40.00570861976471,3310147374510.8926,147615850088976.4
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1980,0.0,-100.0,3310147374510.892,147615850088976.4
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1980,14324707274682.4,inf,3474618689448.8525,161940557363658.8
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1980,0.0,-100.0,3474618689448.8525,161940557363658.8
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1980,1394662784363.85,inf,3499525107519.1206,163335220148022.66
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1981,1691449062010.01,21.280146066386465,3482163824211.253,165026669210032.66
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1981,0.0,-100.0,3482163824211.253,165026669210032.66
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1981,15303898261994.7,inf,3678002021673.7124,180330567472027.34
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1981,0.0,-100.0,3678002021673.7124,180330567472027.34
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1981,1429176811942.36,inf,3684904827189.415,181759744283969.72
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1982,1701001640033.18,19.019678028598097,3686815342794.0483,183460745924002.9
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1982,0.0,-100.0,3686815342794.0483,183460745924002.9
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1982,15857040059830.5,inf,3797443702361.2085,199317785983833.4
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1982,0.0,-100.0,3797443702361.2085,199317785983833.4
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1982,1397146076711.08,inf,3791037555314.953,200714932060544.5
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1983,1642040355332.94,17.528179959417535,3779245298374.905,202356972415877.44
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1983,0.0,-100.0,3779245298374.905,202356972415877.44
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1983,17220746224955.6,inf,4051986531399.925,219577718640833.03
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1983,0.0,-100.0,4051986531399.925,219577718640833.03
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,South Africa,ZAF,1983,1374883310775.67,inf,4047533978212.843,220952601951608.7
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Brazil,BRA,1984,1733809612715.86,26.105946528487145,4065887829689.427,222686411564324.56
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,China,CHN,1984,0.0,-100.0,4065887829689.427,222686411564324.56
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,India,IND,1984,17746723308483.9,inf,4171083246395.086,240433134872808.47
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,Russian Federation,RUS,1984,0.0,-100.0,4171083246395.086,240433134872808.47
