SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Brazil,BRA,1970,18.8338513008119,,,18.8338513008119
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,China,CHN,1970,24.1402579549941,28.174835669183864,,42.974109255806
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,India,IND,1970,15.5361588782545,-35.64211738242672,,58.510268134060496
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Russian Federation,RUS,1970,0.0,-100.0,,58.510268134060496
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,South Africa,ZAF,1970,25.2736394040742,inf,16.75678150762694,83.7839075381347
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Brazil,BRA,1971,19.7728644424164,-21.76487079566014,16.944584135947842,103.5567719805511
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,China,CHN,1971,24.8462614677032,25.658381667774144,17.085784838489662,128.4030334482543
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,India,IND,1971,16.5857004538946,-33.24669598501255,17.29569315361768,144.98873390214888
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Russian Federation,RUS,1971,0.0,-100.0,17.29569315361768,144.98873390214888
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,South Africa,ZAF,1971,26.7826445712714,inf,17.59749418705712,171.77137847342027
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Brazil,BRA,1972,20.2955930415807,-24.221101513810485,17.70203990688998,192.06697151500097
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,China,CHN,1972,24.6270960115969,21.342086240801184,17.65820681566872,216.69406752659788
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,India,IND,1972,17.0524331666528,-30.757434174850296,17.75155335822036,233.74650069325068
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Russian Federation,RUS,1972,0.0,-100.0,17.75155335822036,233.74650069325068
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,South Africa,ZAF,1972,27.5855768059447,inf,17.91213980515502,261.3320774991954
