SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Brazil,BRA,1970,97613216125.8601,,,97613216125.8601
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,China,CHN,1970,0.0,-100.0,,97613216125.8601
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,India,IND,1970,39799278327.2815,inf,,137412494453.1416
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Russian Federation,RUS,1970,0.0,-100.0,,137412494453.1416
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,South Africa,ZAF,1970,23230344752.2264,inf,32128567841.0736,160642839205.368
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Brazil,BRA,1971,112595344735.189,384.6908039296225,35124993562.93938,273238183940.557
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,China,CHN,1971,0.0,-100.0,35124993562.93938,273238183940.557
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,India,IND,1971,43937235442.4397,inf,35952584985.97102,317175419382.9967
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Russian Federation,RUS,1971,0.0,-100.0,35952584985.97102,317175419382.9967
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,South Africa,ZAF,1971,25741681691.526,inf,36454852373.83094,342917101074.5227
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Brazil,BRA,1972,131415308590.73,410.51563050750906,40218845144.93913,474332409665.2527
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,China,CHN,1972,0.0,-100.0,40218845144.93913,474332409665.2527
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,India,IND,1972,45825586407.8748,inf,40596515338.02616,520157996073.1275
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Russian Federation,RUS,1972,0.0,-100.0,40596515338.02616,520157996073.1275
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,South Africa,ZAF,1972,27245533519.0952,inf,40897285703.54,547403529592.2227
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Brazil,BRA,1973,159000264142.714,483.58286150380457,46414276813.936806,706403793734.9368
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,China,CHN,1973,0.0,-100.0,46414276813.936806,706403793734.9368
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,India,IND,1973,44617240334.0961,inf,46172607599.18106,751021034069.0328
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Russian Federation,RUS,1973,0.0,-100.0,46172607599.18107,751021034069.0328
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,South Africa,ZAF,1973,28668251106.376,inf,46457151116.63722,779689285175.4088
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Brazil,BRA,1974,180081506742.266,528.1565836508762,50673399636.54762,959770791917.6748
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,China,CHN,1974,0.0,-100.0,50673399636.54762,959770791917.6748
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,India,IND,1974,46333483141.7003,inf,51016648198.06847,1006104275059.3751
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Russian Federation,RUS,1974,0.0,-100.0,51016648198.06847,1006104275059.3751
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,South Africa,ZAF,1974,30540211987.1059,inf,51391040374.21445,1036644487046.4811
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Brazil,BRA,1975,197611260642.634,547.0526816449919,54896991154.28805,1234255747689.115
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,China,CHN,1975,0.0,-100.0,54896991154.28805,1234255747689.115
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,India,IND,1975,45502121343.8217,inf,54730718794.712326,1279757869032.9368
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Russian Federation,RUS,1975,0.0,-100.0,54730718794.712326,1279757869032.9368
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,South Africa,ZAF,1975,33520187947.331,inf,55326713986.75735,1313278056980.2678
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,Brazil,BRA,1976,211497794748.378,530.9564704132819,58104020807.90615,1524775851728.6458
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,China,CHN,1976,0.0,-100.0,58104020807.90615,1524775851728.6458
