SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Brazil,BRA,1970,171721169808.613,,,171721169808.613
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,China,CHN,1970,0.0,-100.0,,171721169808.613
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,India,IND,1970,1911546944923.24,inf,,2083268114731.853
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Russian Federation,RUS,1970,0.0,-100.0,,2083268114731.853
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,South Africa,ZAF,1970,170074000000.0,inf,450668422946.3706,2253342114731.853
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Brazil,BRA,1971,198077730458.144,16.465615236981556,455939735076.27673,2451419845189.997
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,China,CHN,1971,0.0,-100.0,455939735076.27673,2451419845189.997
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,India,IND,1971,2110291736641.79,inf,495688693419.9868,4561711581831.787
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Russian Federation,RUS,1971,0.0,-100.0,495688693419.9868,4561711581831.787
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,South Africa,ZAF,1971,188460000000.0,inf,499365893419.9868,4750171581831.787
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Brazil,BRA,1972,231185810872.812,22.671023491887944,505987509502.9204,4981357392704.6
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,China,CHN,1972,0.0,-100.0,505987509502.9204,4981357392704.6
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,India,IND,1972,2200988645496.19,inf,524126891273.8004,7182346038200.789
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Russian Federation,RUS,1972,0.0,-100.0,524126891273.8004,7182346038200.789
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,South Africa,ZAF,1972,199470000000.0,inf,526328891273.8004,7381816038200.789
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Brazil,BRA,1973,279713264679.862,40.22823716842734,536034382035.2103,7661529302880.651
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,China,CHN,1973,0.0,-100.0,536034382035.2103,7661529302880.651
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,India,IND,1973,2142952159840.66,inf,524427084904.1044,9804481462721.31
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Russian Federation,RUS,1973,0.0,-100.0,524427084904.1044,9804481462721.31
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,South Africa,ZAF,1973,209886000000.0,inf,526510284904.1044,10014367462721.31
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Brazil,BRA,1974,316799386660.994,50.938788990687335,533927509300.3309,10331166849382.305
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,China,CHN,1974,0.0,-100.0,533927509300.3309,10331166849382.305
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,India,IND,1974,2225382767467.37,inf,550413630825.6729,12556549616849.676
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Russian Federation,RUS,1974,0.0,-100.0,550413630825.6729,12556549616849.676
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,South Africa,ZAF,1974,223591000000.0,inf,553154630825.6729,12780140616849.676
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Brazil,BRA,1975,347637729722.522,55.47930360458246,559322299437.9784,13127778346572.197
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,China,CHN,1975,0.0,-100.0,559322299437.9784,13127778346572.197
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,India,IND,1975,2185452719193.82,inf,551336289783.2683,15313231065766.018
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,Russian Federation,RUS,1975,0.0,-100.0,551336289783.2683,15313231065766.018
