SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Brazil,BRA,1970,7971917261.70508,,,7971917261.70508
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,China,CHN,1970,22354596660.9798,180.41681727387208,,30326513922.684883
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,India,IND,1970,9698056143.10134,-56.61717234187721,,40024570065.786224
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Russian Federation,RUS,1970,0.0,-100.0,,40024570065.786224
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,South Africa,ZAF,1970,4654998139.86274,inf,8935913641.129791,44679568205.648964
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Brazil,BRA,1971,9729130523.00776,109.00396156322931,9287356293.390327,54408698728.65672
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,China,CHN,1971,24796807132.9921,154.87176962372763,9775798387.792788,79205505861.64882
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,India,IND,1971,11170633125.8856,-54.95132471703143,10070313784.349638,90376138987.53442
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Russian Federation,RUS,1971,0.0,-100.0,10070313784.349638,90376138987.53442
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,South Africa,ZAF,1971,5445900273.211,inf,10228494211.01929,95822039260.74542
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Brazil,BRA,1972,11880838993.8565,118.16115605898428,10658835905.18904,107702878254.60193
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,China,CHN,1972,27997951031.1345,135.65634586591102,11299064684.81752,135700829285.73642
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,India,IND,1972,12186213366.6856,-56.474624328279624,11502180732.97752,147887042652.42203
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Russian Federation,RUS,1972,0.0,-100.0,11502180732.97752,147887042652.42203
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,South Africa,ZAF,1972,5891571891.82419,inf,11591315056.70016,153778614544.24622
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Brazil,BRA,1973,17026417445.9026,188.9961755288156,12620430747.109379,170805031990.1488
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,China,CHN,1973,33645014386.2471,97.60477794665935,13749843418.131897,204450046376.3959
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,India,IND,1973,13603157772.3579,-59.56857792898316,14033232299.266357,218053204148.7538
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Russian Federation,RUS,1973,0.0,-100.0,14033232299.266357,218053204148.7538
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,South Africa,ZAF,1973,7682008947.21604,inf,14391319710.34473,225735213095.96985
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Brazil,BRA,1974,23985056668.301,212.2237533580742,15783047554.824408,249720269764.27084
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,China,CHN,1974,38291431791.7601,59.64703490722463,16712331035.927008,288011701556.03094
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,India,IND,1974,16525706249.9386,-56.842286964326185,17296840731.44315,304537407805.96954
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Russian Federation,RUS,1974,0.0,-100.0,17296840731.44315,304537407805.96954
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,South Africa,ZAF,1974,9582369919.49475,inf,17676912925.898888,314119777725.4643
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Brazil,BRA,1975,30141749198.4928,214.55422251202435,18908251431.93725,344261526923.9571
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,China,CHN,1975,47473420029.0354,57.50054755086757,20744649079.39231,391734946952.9925
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,India,IND,1975,17444171147.49,-63.25486738300947,20928342058.90259,409179118100.4825
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Russian Federation,RUS,1975,0.0,-100.0,20928342058.90259,409179118100.4825
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,South Africa,ZAF,1975,11815968037.4123,inf,21375061682.4861,420995086137.8948
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Brazil,BRA,1976,34337500831.3634,190.60251959587492,22214212009.06022,455332586969.2582
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,China,CHN,1976,44699998222.9319,30.17836808351393,21659527647.83952,500032585192.19006
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,India,IND,1976,18991322953.5997,-57.51381720669328,21968958009.06146,519023908145.7898
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Russian Federation,RUS,1976,0.0,-100.0,21968958009.06146,519023908145.7898
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,South Africa,ZAF,1976,11750699989.782,inf,21955904399.5354,530774608135.5718
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,Brazil,BRA,1977,37641541979.4465,220.33446528443653,22616712629.15202,568416150115.0183
