SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Brazil,BRA,1970,35567522463.6987,,,35567522463.6987
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,China,CHN,1970,0.0,-100.0,,35567522463.6987
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,India,IND,1970,57838263436.0013,inf,,93405785899.7
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Russian Federation,RUS,1970,0.0,-100.0,,93405785899.7
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,South Africa,ZAF,1970,17338993071.3384,inf,22148955794.20768,110744778971.03839
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Brazil,BRA,1971,42144477616.5997,143.06185164965038,23464346824.78788,152889256587.6381
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,China,CHN,1971,0.0,-100.0,23464346824.78788,152889256587.6381
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,India,IND,1971,62020937617.8159,inf,24300881661.1508,214910194205.45398
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Russian Federation,RUS,1971,0.0,-100.0,24300881661.1508,214910194205.45398
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,South Africa,ZAF,1971,19125666196.9842,inf,24658216286.27996,234035860402.43817
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Brazil,BRA,1972,49863914454.6192,160.71726830870819,26202103653.88386,283899774857.0574
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,China,CHN,1972,0.0,-100.0,26202103653.88386,283899774857.0574
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,India,IND,1972,65672870824.897,inf,26932490295.30008,349572645681.95435
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Russian Federation,RUS,1972,0.0,-100.0,26932490295.30008,349572645681.95435
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,South Africa,ZAF,1972,20145039151.4218,inf,27136364886.1876,369717684833.37616
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Brazil,BRA,1973,67933203535.5305,237.2205088553323,30750222702.36986,437650888368.9067
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,China,CHN,1973,0.0,-100.0,30750222702.36986,437650888368.9067
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,India,IND,1973,79128776460.1381,inf,33441403829.41808,516779664829.0448
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Russian Federation,RUS,1973,0.0,-100.0,33441403829.41808,516779664829.0448
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,South Africa,ZAF,1973,27735064004.327,inf,34959408799.99912,544514728833.3718
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Brazil,BRA,1974,91373939510.5901,229.45278040942932,39647555995.01104,635888668343.9619
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,China,CHN,1974,0.0,-100.0,39647555995.01104,635888668343.9619
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,India,IND,1974,91825363863.7819,inf,42186873475.7398,727714032207.7438
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Russian Federation,RUS,1974,0.0,-100.0,42186873475.7398,727714032207.7438
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,South Africa,ZAF,1974,35010750731.817,inf,43642010821.23781,762724782939.5608
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Brazil,BRA,1975,109228753812.872,211.9863228571311,47212973681.694176,871953536752.4327
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,China,CHN,1975,0.0,-100.0,47212973681.694176,871953536752.4327
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,India,IND,1975,89887191072.3375,inf,46825339123.4053,961840727824.7703
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,Russian Federation,RUS,1975,0.0,-100.0,46825339123.4053,961840727824.7703
Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,South Africa,ZAF,1975,36201107842.7059,inf,47063410545.583084,998041835667.4762
