SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Brazil,BRA,1970,425465215240.074,,,425465215240.074
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,China,CHN,1970,0.0,-100.0,,425465215240.074
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,India,IND,1970,8042808026125.67,inf,,8468273241365.744
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Russian Federation,RUS,1970,0.0,-100.0,,8468273241365.744
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,South Africa,ZAF,1970,447764000000.0,inf,1783207448273.149,8916037241365.744
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Brazil,BRA,1971,480687622343.631,7.35289624526112,1794251929693.86,9396724863709.375
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,China,CHN,1971,0.0,-100.0,1794251929693.86,9396724863709.375
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,India,IND,1971,8199301904879.42,inf,1825550705444.61,17596026768588.797
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Russian Federation,RUS,1971,0.0,-100.0,1825550705444.61,17596026768588.797
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,South Africa,ZAF,1971,468837000000.0,inf,1829765305444.61,18064863768588.797
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Brazil,BRA,1972,536123120495.995,14.351708695345078,1840852405075.0828,18600986889084.793
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,China,CHN,1972,0.0,-100.0,1840852405075.0828,18600986889084.793
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,India,IND,1972,8254227720410.54,inf,1851837568181.3071,26855214609495.332
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Russian Federation,RUS,1972,0.0,-100.0,1851837568181.3071,26855214609495.332
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,South Africa,ZAF,1972,488887000000.0,inf,1855847568181.3071,27344101609495.332
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Brazil,BRA,1973,585182722939.376,19.696928521187097,1865659488669.9832,27929284332434.707
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,China,CHN,1973,0.0,-100.0,1865659488669.9832,27929284332434.707
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,India,IND,1973,8456787771394.54,inf,1906171498866.7832,36386072103829.25
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Russian Federation,RUS,1973,0.0,-100.0,1906171498866.7832,36386072103829.25
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,South Africa,ZAF,1973,525949000000.0,inf,1913583898866.7832,36912021103829.25
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Brazil,BRA,1974,655439877013.62,24.620424606496073,1927635329681.6316,37567460980842.87
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,China,CHN,1974,0.0,-100.0,1927635329681.632,37567460980842.87
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,India,IND,1974,8450411211978.45,inf,1926360017798.414,46017872192821.32
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Russian Federation,RUS,1974,0.0,-100.0,1926360017798.414,46017872192821.32
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,South Africa,ZAF,1974,553536000000.0,inf,1931877417798.414,46571408192821.32
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Brazil,BRA,1975,620849834214.008,12.160696723249798,1924959409238.4917,47192258027035.33
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,China,CHN,1975,0.0,-100.0,1924959409238.4917,47192258027035.33
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,India,IND,1975,8930301935884.66,inf,2020937554019.7336,56122559962919.984
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Russian Federation,RUS,1975,0.0,-100.0,2020937554019.7336,56122559962919.984
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,South Africa,ZAF,1975,573631000000.0,inf,2024956554019.7336,56696190962919.984
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Brazil,BRA,1976,729433597225.26,27.160770116200126,2046673306621.984,57425624560145.24
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,China,CHN,1976,0.0,-100.0,2046673306621.984,57425624560145.24
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,India,IND,1976,9108368847429.29,inf,2082286688930.9097,66533993407574.53
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Russian Federation,RUS,1976,0.0,-100.0,2082286688930.9097,66533993407574.53
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,South Africa,ZAF,1976,582677000000.0,inf,2084095888930.9097,67116670407574.53
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Brazil,BRA,1977,813264960862.304,39.57389100004016,2100862161658.3188,67929935368436.836
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,China,CHN,1977,0.0,-100.0,2100862161658.3188,67929935368436.836
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,India,IND,1977,9851089034370.63,inf,2249406199046.587,77781024402807.47
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Russian Federation,RUS,1977,0.0,-100.0,2249406199046.587,77781024402807.47
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,South Africa,ZAF,1977,577614000000.0,inf,2248393599046.587,78358638402807.47
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Brazil,BRA,1978,828706265416.692,43.47059894959124,2251481859957.4644,79187344668224.16
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,China,CHN,1978,0.0,-100.0,2251481859957.4644,79187344668224.16
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,India,IND,1978,10453167350078.6,inf,2371897523099.058,89640512018302.75
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Russian Federation,RUS,1978,0.0,-100.0,2371897523099.058,89640512018302.75
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,South Africa,ZAF,1978,587088000000.0,inf,2373792323099.058,90227600018302.75
Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Brazil,BRA,1979,915960194679.178,56.01752968535858,2391243108951.5557,91143560212981.92
