SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1970,29017107274.6442,,,29017107274.6442
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1970,49021041514.3391,68.9384163981597,,78038148788.9833
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1970,49741148332.0053,1.4689749450867096,,127779297120.98862
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1970,0.0,-100.0,,127779297120.98862
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1970,10830395672.1739,inf,27721938558.6325,138609692793.1625
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1971,34238487325.4386,216.13330077502306,28766214568.79138,172848180118.6011
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1971,51263303274.0271,49.72420594042821,29214666920.72898,224111483392.6282
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1971,54069113093.9489,5.473330122570119,30080259873.1177,278180596486.5771
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1971,0.0,-100.0,30080259873.1177,278180596486.5771
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1971,12118001968.6572,inf,30337781132.41436,290298598455.2343
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1972,40778949205.9812,236.51545288946613,31645873508.522877,331077547661.2155
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1972,59427197006.8148,45.73008418298916,33278652255.08042,390504744668.03033
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1972,57365606332.6973,-3.4691029998959566,33937950902.8301,447870351000.72766
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1972,0.0,-100.0,33937950902.8301,447870351000.72766
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1972,12590974683.3664,inf,34032545445.771942,460461325684.09406
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1973,53545412119.2523,325.26820572508745,36585838028.42616,514006737803.3464
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1973,72006635166.3818,34.47769345021394,39101725660.33956,586013372969.7281
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1973,67990265016.4148,-5.5777778543416145,41226657397.08305,654003637986.143
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1973,0.0,-100.0,41226657397.08305,654003637986.143
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1973,16326610649.4012,inf,41973784590.29002,670330248635.5442
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1974,74371827324.778,355.52520925404497,46139067631.39516,744702075960.3221
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1974,74801142157.8625,0.5772546521005895,46697969029.6913,819503218118.1847
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1974,81211038250.5692,8.56924895502138,49342123676.52218,900714256368.7539
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1974,0.0,-100.0,49342123676.52218,900714256368.7539
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1974,19600369004.4281,inf,49996875347.52756,920314625373.182
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1975,82255120099.1262,319.6610792406163,51573533902.3972,1002569745472.3082
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1975,82186256586.7298,-0.0837194235610128,53050556788.17067,1084756002059.0381
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1975,76547436985.4115,-6.8610249882445355,52117836535.13912,1161303439044.4497
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1975,0.0,-100.0,52117836535.13912,1161303439044.4497
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1975,21714444351.6556,inf,52540651604.58462,1183017883396.1052
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1976,104981221085.954,383.46261772040134,57085871801.95017,1287999104482.0593
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1976,81822396208.9214,-22.05996904729387,57013099726.388504,1369821500690.9807
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1976,77047638594.4956,-5.835514279286269,57113140048.20532,1446869139285.4763
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1976,0.0,-100.0,57113140048.20532,1446869139285.4763
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1976,20881699981.842,inf,56946591174.2426,1467750839267.3184
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1977,121841260949.32,483.4834379158255,60318599146.915794,1589592100216.6384
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1977,88696307460.4371,-27.2033900754438,61693381397.21895,1678288407677.0754
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1977,92617399093.7366,4.420805945104878,64807333497.06714,1770905806770.812
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1977,0.0,-100.0,64807333497.06714,1770905806770.812
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1977,23137999979.88,inf,65258593496.67473,1794043806750.692
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1978,137669580413.724,494.9934330254848,68424257389.55554,1931713387164.416
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1978,71508130081.3008,-48.058147728492465,64986621913.72829,2003221517245.7168
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1978,105101619700.894,46.97855975453316,67483466035.15977,2108323136946.6108
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1978,0.0,-100.0,67483466035.15977,2108323136946.6108
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1978,25814049977.553,inf,68018676034.69436,2134137186924.1638
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1979,156458585051.017,506.09855945528864,71776476962.15295,2290595771975.1807
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1979,87563661930.4348,-44.03396790154876,74987583331.97977,2378159433905.615
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1979,115962802659.933,32.43256403787677,77159819923.78757,2494122236565.5483
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1979,0.0,-100.0,77159819923.78757,2494122236565.5483
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1979,30951663221.522,inf,78187342572.58136,2525073899787.0703
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1980,163832188816.919,429.316268545464,79662063325.76176,2688906088603.9893
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1980,97370124175.0,-40.56715906798374,81623355774.6748,2786276212778.9893
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1980,145047089081.493,48.96467505865025,87440213058.9868,2931323301860.4824
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1980,0.0,-100.0,87440213058.9868,2931323301860.4824
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1980,42188721966.4114,inf,89687624807.96469,2973512023826.894
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1981,179159690538.868,324.66252161301827,92753125152.35449,3152671714365.762
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1981,104267103924.603,-41.80214108933023,94132521102.2751,3256938818290.365
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1981,147328471883.71,41.29909275148302,94588797662.71848,3404267290174.075
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1981,0.0,-100.0,94588797662.71848,3404267290174.075
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1981,46444824521.3109,inf,95440018173.6984,3450712114695.386
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1982,195953143014.789,321.90522848219007,98798708668.88258,3646665257710.1753
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1982,109432031839.695,-44.153979795345286,99831694251.90099,3756097289549.87
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1982,150831145186.746,37.830891605572845,100532228912.50818,3906928434736.616
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1982,0.0,-100.0,100532228912.50818,3906928434736.616
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1982,44115215988.312,inf,100066307205.9084,3951043650724.928
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1983,144841725771.584,228.32600391202612,89844023757.26741,4095885376496.512
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1983,123407560586.207,-14.798335956849051,92639129506.5698,4219292937082.719
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1983,164885644404.135,33.61065045034519,95450029350.0476,4384178581486.8545
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1983,0.0,-100.0,95450029350.0476,4384178581486.8545
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1983,50141818519.4645,inf,96655349856.2781,4434320400006.319
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1984,147051346356.667,193.27086790755962,97097273973.29471,4581371746362.986
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1984,131769541357.143,-10.39215578649555,98769670127.4819,4713141287720.129
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1984,158279833573.997,20.118679889005264,97448507961.45432,4871421121294.126
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1984,0.0,-100.0,97448507961.4543,4871421121294.126
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1984,44037816621.6251,inf,96227707581.88643,4915458937915.751
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1985,146645678332.018,232.99942999446193,96146573976.95662,5062104616247.769
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1985,157396017176.871,7.330825542988961,101271869140.90222,5219500633424.64
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1985,169684647265.604,7.807459368507308,103552831879.22362,5389185280690.244
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1985,0.0,-100.0,103552831879.22362,5389185280690.244
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1985,33065835090.037,inf,101358435572.90599,5422251115780.281
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1986,181718682647.463,449.56628844440195,108373036435.995,5603969798427.744
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1986,153435351014.493,-15.5643499176362,107580903203.51941,5757405149442.237
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1986,182155960112.021,18.718378071045127,110075165772.80281,5939561109554.258
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1986,0.0,-100.0,110075165772.80281,5939561109554.258
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1986,38418723595.9259,inf,111145743473.98059,5977979833150.184
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1987,183109918561.605,376.616351150778,111423990656.80899,6161089751711.789
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1987,135596414426.009,-25.948077804212822,107856203339.11218,6296686166137.798
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1987,199368387444.561,47.03072222706191,111298688805.62016,6496054553582.358
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1987,0.0,-100.0,111298688805.62016,6496054553582.358
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1987,51588546356.4775,inf,113932653357.7305,6547643099938.836
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1988,196566284389.508,281.0269881055235,116623926523.31111,6744209384328.344
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1988,154982373588.477,-21.155159405989465,120501118355.80469,6899191757916.82
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1988,207966799357.068,34.18738824408507,122220800738.3061,7107158557273.889
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1988,302429401993.355,45.42196299040007,182706681136.9771,7409587959267.244
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1988,56176743234.7284,-81.4248406853105,183624320512.62726,7465764702501.973
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1989,230373609375.0,310.08715726436645,190385785509.72568,7696138311876.973
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1989,177691703627.53,-22.868029845256665,194927651517.5363,7873830015504.503
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1989,201816189947.665,13.57659689655728,193697529635.65567,8075646205452.168
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1989,228676431070.718,13.309259841848364,178946935451.12827,8304322636522.886
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1989,57766919493.5329,-74.73857746377521,179264970702.8892,8362089556016.419
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1990,273960000000.0,374.250665262963,187982248827.8892,8636049556016.419
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1990,180402259323.136,-34.15014625378304,188524359967.01038,8816451815339.555
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1990,215297110746.633,19.342801777772344,191220544126.804,9031748926086.188
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1990,252561086693.067,17.30816350354425,195997475251.27377,9284310012779.254
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1990,70888000296.3169,-71.9323347771045,198621691411.83057,9355198013075.57
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1991,371170000000.0,423.60060722334237,218063691411.83057,9726368013075.57
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1991,183701598191.638,-50.50742296208261,218723559185.53094,9910069611267.209
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1991,181019397632.818,-1.460085587291371,211868016562.76797,10091089008900.027
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1991,243155555555.556,34.32569035986728,209986910335.26578,10334244564455.584
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1991,76669268084.228,-68.4690452952819,211143163892.848,10410913832539.812
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1992,246445625000.0,221.43990826840502,186198288892.848,10657359457539.812
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1992,193284465832.025,-21.571151513837993,188114862420.9254,10850643923371.838
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1992,189480726514.787,-1.9679487955041708,189807128197.3192,11040124649886.625
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1992,172430992736.077,-8.998136165252369,175662215633.4234,11212555642622.701
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1992,84249932138.6025,-51.13991353772723,177178348444.29828,11296805574761.303
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1993,263039872670.808,212.21375019990757,180497197978.4599,11559845447432.111
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1993,195664691683.393,-25.614056265809715,180973243148.7335,11755510139115.504
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1993,182803595642.179,-6.57302854723768,179637816974.21188,11938313734757.684
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1993,196844493404.363,7.680865200084885,184520517107.86908,12135158228162.047
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1993,82587313934.6316,-58.04438696439498,184187993467.07492,12217745542096.678
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1994,341439073987.174,313.42799241227925,199867833730.34814,12559184616083.852
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1994,248798431587.13,-27.132407933933187,210494581711.09552,12807983047670.982
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1994,212208237179.793,-14.706762487979352,216375510018.61835,13020191284850.775
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1994,200699398408.694,-5.423370423339491,217146491019.48453,13220890683259.469
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1994,86957909465.4301,-56.67256097681297,218020610125.64423,13307848592724.898
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1995,490097064291.163,463.60262948363527,247752208186.44205,13797945657016.06
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1995,336086262478.595,-31.42455097855297,265209774364.73502,14134031919494.656
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1995,229501264343.05,-31.713583694106894,268668379797.3864,14363533183837.707
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1995,206030568169.232,-10.226826523593724,269734613749.49405,14569563752006.94
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1995,97504745546.3547,-52.67462182297871,271843980965.67896,14667068497553.295
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1996,554115745995.423,468.29618178121495,284647717306.53094,15221184243548.719
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1996,404658791853.696,-26.972154323685558,298362223181.55115,15625843035402.414
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1996,253635550615.761,-37.32113184693571,303189080436.0933,15879478586018.176
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1996,203781020758.545,-19.655970835390455,302739170953.95593,16083259606776.72
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1996,92345605022.7757,-54.68390300576929,301707342849.2401,16175605211799.496
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1997,576814404730.983,524.6257248395526,306247074596.3522,16752419616530.479
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1997,441335421134.406,-23.487448039679638,313582400452.49414,17193755037664.885
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1997,265788701528.326,-39.77625887241404,316013030635.00714,17459543739193.21
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1997,221711322385.48,-16.583616568121318,319599090960.39417,17681255061578.69
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1997,96630795178.0559,-56.415940269370616,320456128991.4502,17777885856756.746
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1998,554012068418.785,473.32868615842347,315895661729.0106,18331897925175.53
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1998,468269396218.188,-15.476679496408197,321282456745.76697,18800167321393.72
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1998,268859043247.857,-42.58453671770953,321896525089.6732,19069026364641.574
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1998,155713549716.641,-42.083573669087606,308696970555.9054,19224739914358.215
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1998,87577082762.7197,-43.75757092296227,306886228072.8382,19312316997120.934
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,1999,387685249462.721,342.6788804019778,273620864281.62534,19700002246583.656
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,1999,505488183316.623,30.386230587096307,281064621701.3124,20205490429900.277
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,1999,293688593291.211,-41.90000815365191,286030531709.98315,20499179023191.49
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Russian Federation,RUS,1999,104894394800.975,-64.28380359431749,275866700726.85,20604073417992.465
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,South Africa,ZAF,1999,86630881685.1832,-17.411333704193368,275677460511.34265,20690704299677.65
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brazil,BRA,2000,423353893468.161,388.6870423489743,282811189312.43066,21114058193145.81
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,China,CHN,2000,566090960854.755,33.71578001025961,294931744820.057,21680149154000.562
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,2000,298550160714.012,-47.26109735735338,295904058304.61725,21978699314714.574
