SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1970,205969000.0,,,205969000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1970,0.0,-100.0,,205969000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1970,1561578000.0,inf,,1767547000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1970,0.0,-100.0,,1767547000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1970,0.0,,353509400.0,1767547000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1971,292749000.0,inf,370865400.0,2060296000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1971,0.0,-100.0,370865400.0,2060296000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1971,1649760000.0,inf,388501800.0,3710056000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1971,0.0,-100.0,388501800.0,3710056000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1971,0.0,,388501800.0,3710056000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1972,430949000.0,inf,416141800.0,4141005000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1972,0.0,-100.0,416141800.0,4141005000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1972,2085600000.0,inf,503309800.0,6226605000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1972,0.0,-100.0,503309800.0,6226605000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1972,0.0,,503309800.0,6226605000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1973,595841000.0,inf,536288200.0,6822446000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1973,0.0,-100.0,536288200.0,6822446000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1973,2392471000.0,inf,597662400.0,9214917000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1973,0.0,-100.0,597662400.0,9214917000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1973,0.0,,597662400.0,9214917000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1974,821285000.0,inf,642751200.0,10036202000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1974,0.0,-100.0,642751200.0,10036202000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1974,2777453000.0,inf,719747600.0,12813655000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1974,0.0,-100.0,719747600.0,12813655000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1974,0.0,,719747600.0,12813655000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1975,1044749000.0,inf,764440400.0,13858404000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1975,0.0,-100.0,764440400.0,13858404000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1975,3236806000.0,inf,856311000.0,17095210000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1975,0.0,-100.0,856311000.0,17095210000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1975,0.0,,856311000.0,17095210000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1976,1172511000.0,inf,881863400.0,18267721000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1976,0.0,-100.0,881863400.0,18267721000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1976,3778708000.0,inf,990243800.0,22046429000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1976,0.0,-100.0,990243800.0,22046429000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1976,0.0,,990243800.0,22046429000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1977,1370769000.0,inf,1029895400.0,23417198000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1977,0.0,-100.0,1029895400.0,23417198000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1977,4132513000.0,inf,1100656400.0,27549711000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1977,0.0,-100.0,1100656400.0,27549711000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1977,0.0,,1100656400.0,27549711000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1978,1561797000.0,inf,1138862000.0,29111508000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1978,0.0,-100.0,1138862000.0,29111508000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1978,4431332000.0,inf,1198625800.0,33542840000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1978,0.0,-100.0,1198625800.0,33542840000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1978,0.0,,1198625800.0,33542840000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1979,1789535000.0,inf,1244173400.0,35332375000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1979,0.0,-100.0,1244173400.0,35332375000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1979,4969917000.0,inf,1351890400.0,40302292000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1979,0.0,-100.0,1351890400.0,40302292000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1979,0.0,,1351890400.0,40302292000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1980,2034718000.0,inf,1400927000.0,42337010000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1980,0.0,-100.0,1400927000.0,42337010000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1980,5604957000.0,inf,1527935000.0,47941967000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1980,0.0,-100.0,1527935000.0,47941967000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1980,0.0,,1527935000.0,47941967000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1981,2285900000.0,inf,1578171400.0,50227867000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1981,0.0,-100.0,1578171400.0,50227867000.0
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1981,6377421256.6,inf,1732664251.3200002,56605288256.6
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1981,0.0,-100.0,1732664251.3200002,56605288256.6
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1981,0.0,,1732664251.3200002,56605288256.6
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1982,2694305000.0,inf,1814345251.3200002,59299593256.6
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1982,882488.0,-99.96724617294626,1814521748.92,59300475744.6
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1982,7519778618.3,852011.146927777,2042993221.2599998,66820254362.9
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1982,0.0,-100.0,2042993221.2599998,66820254362.9
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1982,0.0,,2042993221.2599998,66820254362.9
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1983,3628249000.0,inf,2229782021.2599998,70448503362.9
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1983,70852381.9,-98.04720177970144,2243776000.04,70519355744.79999
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1983,8336158154.5,11665.529867810978,2407051907.2799997,78855513899.29999
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1983,0.0,-100.0,2407051907.2799997,78855513899.29999
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1983,0.0,,2407051907.2799997,78855513899.29999
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1984,3969065000.0,inf,2475215107.2799997,82824578899.29999
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1984,254005377.1,-93.60037245295807,2511845706.32,83078584276.4
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,India,IND,1984,8998446939.1,3442.620649151604,2644303463.2400002,92077031215.5
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Russian Federation,RUS,1984,0.0,-100.0,2644303463.2400002,92077031215.5
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,South Africa,ZAF,1984,0.0,,2644303463.2400002,92077031215.5
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,Brazil,BRA,1985,5274417000.0,inf,2905373863.2400002,97351448215.5
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,China,CHN,1985,929645407.6,-82.37444237723335,3040501869.34,98281093623.1
