SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Brazil,BRA,1970,0.0,,,0.0
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,China,CHN,1970,0.0,,,0.0
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,India,IND,1970,0.0,,,0.0
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,South Africa,ZAF,1970,4537398186.85568,inf,907479637.3711361,4537398186.85568
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Brazil,BRA,1971,0.0,-100.0,907479637.3711361,4537398186.85568
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,China,CHN,1971,0.0,,907479637.3711361,4537398186.85568
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,India,IND,1971,0.0,,907479637.3711361,4537398186.85568
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Russian Federation,RUS,1971,0.0,,907479637.3711361,4537398186.85568
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,South Africa,ZAF,1971,5155096467.90421,inf,1031019293.580842,9692494654.759892
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Brazil,BRA,1972,0.0,-100.0,1031019293.580842,9692494654.759892
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,China,CHN,1972,0.0,,1031019293.580842,9692494654.759892
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,India,IND,1972,0.0,,1031019293.580842,9692494654.759892
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Russian Federation,RUS,1972,0.0,,1031019293.580842,9692494654.759892
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,South Africa,ZAF,1972,4736482545.16139,inf,947296509.0322781,14428977199.921282
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Brazil,BRA,1973,0.0,-100.0,947296509.0322781,14428977199.921282
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,China,CHN,1973,0.0,,947296509.0322781,14428977199.921282
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,India,IND,1973,0.0,,947296509.0322781,14428977199.921282
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Russian Federation,RUS,1973,0.0,,947296509.0322781,14428977199.921282
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,South Africa,ZAF,1973,6506998697.39838,inf,1301399739.479676,20935975897.319664
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Brazil,BRA,1974,0.0,-100.0,1301399739.479676,20935975897.319664
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,China,CHN,1974,0.0,,1301399739.479676,20935975897.319664
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,India,IND,1974,0.0,,1301399739.479676,20935975897.319664
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Russian Federation,RUS,1974,0.0,,1301399739.479676,20935975897.319664
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,South Africa,ZAF,1974,10187149891.8158,inf,2037429978.36316,31123125789.135464
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Brazil,BRA,1975,14546000000.0,42.78772919289264,4946629978.36316,45669125789.13547
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,China,CHN,1975,0.0,-100.0,4946629978.36316,45669125789.13547
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,India,IND,1975,6006734062.18488,inf,6147976790.800136,51675859851.32035
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Russian Federation,RUS,1975,0.0,-100.0,6147976790.800136,51675859851.32035
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,South Africa,ZAF,1975,11218028957.7689,inf,6354152603.990756,62893888809.08925
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Brazil,BRA,1976,14950000000.0,33.26761819104214,6434952603.990756,77843888809.08925
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,China,CHN,1976,0.0,-100.0,6434952603.990756,77843888809.08925
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,India,IND,1976,5763690293.07915,inf,6386343850.169611,83607579102.1684
