SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1970,0.0,,,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1970,0.0,,,0.0
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1970,13.98847437064,inf,,13.98847437064
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1970,0.0,-100.0,,13.98847437064
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1970,13.1406044678055,inf,5.4258157676891,27.1290788384455
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1971,0.0,-100.0,5.4258157676891,27.1290788384455
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1971,0.0,,5.4258157676891,27.1290788384455
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1971,15.799665233516,inf,5.7880539402643,42.9287440719615
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1971,0.0,-100.0,5.7880539402643,42.9287440719615
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1971,13.1406044506038,inf,5.788053936823959,56.069348522565306
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1972,0.0,-100.0,5.788053936823959,56.069348522565306
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1972,0.0,,5.788053936823959,56.069348522565306
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1972,14.2994910259845,inf,5.488019095317659,70.3688395485498
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1972,0.0,-100.0,5.488019095317659,70.3688395485498
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1972,13.9206813947298,inf,5.64403448414286,84.2895209432796
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1973,0.0,-100.0,5.64403448414286,84.2895209432796
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1973,0.0,,5.64403448414286,84.2895209432796
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1973,12.8020000431044,inf,5.344536287566839,97.091520986384
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1973,0.0,-100.0,5.344536287566839,97.091520986384
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1973,13.7963178746213,inf,5.3196635835451405,110.88783886100529
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1974,0.0,-100.0,5.3196635835451405,110.88783886100529
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1974,0.0,,5.3196635835451405,110.88783886100529
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1974,14.7976132881793,inf,5.71878623256012,125.68545214918458
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Russian Federation,RUS,1974,0.0,-100.0,5.71878623256012,125.68545214918458
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,South Africa,ZAF,1974,13.9525451226932,inf,5.7500316821745,139.6379972718778
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,Brazil,BRA,1975,0.0,-100.0,5.7500316821745,139.6379972718778
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,China,CHN,1975,0.0,,5.7500316821745,139.6379972718778
Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,India,IND,1975,15.0233354075918,inf,5.795176106057,154.66133267946958
