SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1970,0.0,,,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1970,0.0,,,0.0
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1970,1314846038436.57,inf,,1314846038436.57
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1970,0.0,-100.0,,1314846038436.57
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1970,132263355497.264,inf,289421878786.7668,1447109393933.834
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1971,0.0,-100.0,289421878786.7668,1447109393933.834
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1971,0.0,,289421878786.7668,1447109393933.834
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1971,1357809564969.95,inf,298014584093.44275,2804918958903.784
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1971,0.0,-100.0,298014584093.44275,2804918958903.784
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1971,140670792050.566,inf,299696071404.10315,2945589750954.35
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1972,0.0,-100.0,299696071404.10315,2945589750954.35
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1972,0.0,,299696071404.10315,2945589750954.35
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1972,1411041104133.94,inf,310342379236.9012,4356630855088.29
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1972,0.0,-100.0,310342379236.9012,4356630855088.29
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1972,146011810830.092,inf,311410582992.8064,4502642665918.382
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1973,0.0,-100.0,311410582992.8064,4502642665918.382
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1973,0.0,,311410582992.8064,4502642665918.382
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1973,1473820093638.69,inf,323966380893.7564,5976462759557.072
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1973,0.0,-100.0,323966380893.7564,5976462759557.072
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1973,159558567566.274,inf,326675732240.9928,6136021327123.347
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1974,0.0,-100.0,326675732240.9928,6136021327123.347
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1974,0.0,,326675732240.9928,6136021327123.347
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1974,1516783620172.07,inf,335268437547.6688,7652804947295.417
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1974,0.0,-100.0,335268437547.6688,7652804947295.417
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1974,169908101993.231,inf,337338344433.0602,7822713049288.648
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1975,0.0,-100.0,337338344433.0602,7822713049288.648
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1975,0.0,,337338344433.0602,7822713049288.648
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1975,1548758571784.96,inf,343733334755.6382,9371471621073.61
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1975,0.0,-100.0,343733334755.6382,9371471621073.61
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1975,176445333241.98,inf,345040781005.388,9547916954315.59
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1976,0.0,-100.0,345040781005.388,9547916954315.59
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1976,0.0,,345040781005.388,9547916954315.59
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1976,1684584563425.07,inf,372205979333.41003,11232501517740.66
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1976,0.0,-100.0,372205979333.41003,11232501517740.66
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1976,180868723257.554,inf,373090657336.5248,11413370240998.215
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1977,0.0,-100.0,373090657336.5248,11413370240998.215
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1977,0.0,,373090657336.5248,11413370240998.215
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1977,1789426376600.86,inf,394059019971.6828,13202796617599.074
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1977,0.0,-100.0,394059019971.6828,13202796617599.074
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1977,174811774310.721,inf,392847630182.3162,13377608391909.795
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1978,0.0,-100.0,392847630182.3162,13377608391909.795
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1978,0.0,,392847630182.3162,13377608391909.795
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1978,2010458859017.86,inf,437054126665.7162,15388067250927.654
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1978,0.0,-100.0,437054126665.7162,15388067250927.654
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1978,187495820217.681,inf,439590935847.1082,15575563071145.336
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1979,0.0,-100.0,439590935847.1082,15575563071145.336
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1979,0.0,,439590935847.1082,15575563071145.336
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1979,1945698323215.97,inf,426638828686.73016,17521261394361.307
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1979,0.0,-100.0,426638828686.73016,17521261394361.307
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1979,202976686764.284,inf,429735001996.0508,17724238081125.59
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Brazil,BRA,1980,0.0,-100.0,429735001996.0508,17724238081125.59
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,China,CHN,1980,0.0,,429735001996.0508,17724238081125.59
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,India,IND,1980,1949481275237.78,inf,430491592400.4128,19673719356363.37
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Russian Federation,RUS,1980,0.0,-100.0,430491592400.4128,19673719356363.37
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,South Africa,ZAF,1980,219586865750.528,inf,433813628197.6616,19893306222113.9
