SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Brazil,BRA,1970,0.0174070001,,,0.0174070001
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,China,CHN,1970,0.0,-100.0,,0.0174070001
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,India,IND,1970,67681008081.96,inf,,67681008081.97741
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Russian Federation,RUS,1970,0.0,-100.0,,67681008081.97741
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,South Africa,ZAF,1970,2848000000.0,inf,14105801616.395483,70529008081.97742
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Brazil,BRA,1971,0.0236450005,-99.99999999916976,14105801616.396729,70529008082.00107
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,China,CHN,1971,0.0,-100.0,14105801616.396729,70529008082.00107
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,India,IND,1971,75091088179.73,inf,15587817635.950726,145620096261.73108
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Russian Federation,RUS,1971,0.0,-100.0,15587817635.95073,145620096261.73108
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,South Africa,ZAF,1971,3039000000.0,inf,15626017635.95073,148659096261.73108
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Brazil,BRA,1972,0.0316159986,-99.99999999895965,15626017635.952322,148659096261.7627
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,China,CHN,1972,0.0,-100.0,15626017635.952322,148659096261.7627
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,India,IND,1972,83434542421.92,inf,17294708484.390324,232093638683.68268
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Russian Federation,RUS,1972,0.0,-100.0,17294708484.390324,232093638683.68268
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,South Africa,ZAF,1972,3330000000.0,inf,17352908484.390324,235423638683.68268
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Brazil,BRA,1973,0.0450819992,-99.99999999864619,17352908484.393013,235423638683.72775
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,China,CHN,1973,0.0,-100.0,17352908484.393013,235423638683.72775
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,India,IND,1973,100963764158.59,inf,20858752831.727013,336387402842.31775
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Russian Federation,RUS,1973,0.0,-100.0,20858752831.727013,336387402842.31775
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,South Africa,ZAF,1973,4170000000.0,inf,21026752831.727013,340557402842.31775
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Brazil,BRA,1974,0.0688949972,-99.99999999834785,21026752831.731777,340557402842.38666
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,China,CHN,1974,0.0,-100.0,21026752831.731777,340557402842.38666
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,India,IND,1974,129750388685.88,inf,26784077737.18978,470307791528.26666
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Russian Federation,RUS,1974,0.0,-100.0,26784077737.18978,470307791528.26666
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,South Africa,ZAF,1974,4988000000.0,inf,26947677737.18978,475295791528.26666
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Brazil,BRA,1975,0.0976430029,-99.99999999804244,26947677737.19553,475295791528.3643
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,China,CHN,1975,0.0,-100.0,26947677737.19553,475295791528.3643
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,India,IND,1975,134963624760.81,inf,27990324952.18153,610259416289.1743
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Russian Federation,RUS,1975,0.0,-100.0,27990324952.18153,610259416289.1743
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,South Africa,ZAF,1975,6106000000.0,inf,28213924952.18153,616365416289.1743
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Brazil,BRA,1976,0.1585769951,-99.99999999740294,28213924952.193714,616365416289.3329
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,China,CHN,1976,0.0,-100.0,28213924952.193714,616365416289.3329
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,India,IND,1976,149339863107.18,inf,31089172621.467712,765705279396.513
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Russian Federation,RUS,1976,0.0,-100.0,31089172621.467712,765705279396.513
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,South Africa,ZAF,1976,6971000000.0,inf,31262172621.467712,772676279396.513
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Brazil,BRA,1977,0.2341749966,-99.99999999664072,31262172621.48283,772676279396.7471
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,China,CHN,1977,0.0,-100.0,31262172621.48283,772676279396.7471
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,India,IND,1977,167278858858.47,inf,34849971771.74083,939955138255.217
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Russian Federation,RUS,1977,0.0,-100.0,34849971771.74083,939955138255.217
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,South Africa,ZAF,1977,7091000000.0,inf,34873971771.74083,947046138255.217
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Brazil,BRA,1978,0.3585669994,-99.99999999494335,34873971771.76572,947046138255.5756
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,China,CHN,1978,0.0,-100.0,34873971771.76572,947046138255.5756
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,India,IND,1978,192627934707.53,inf,39943786941.57771,1139674072963.1055
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Russian Federation,RUS,1978,0.0,-100.0,39943786941.57771,1139674072963.1055
