SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Brazil,BRA,1970,67525000.0,,,67525000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,China,CHN,1970,0.0,-100.0,,67525000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,India,IND,1970,145737000.0,inf,,213262000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Russian Federation,RUS,1970,0.0,-100.0,,213262000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,South Africa,ZAF,1970,0.0,,42652400.0,213262000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Brazil,BRA,1971,82403000.0,inf,45628000.0,295665000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,China,CHN,1971,0.0,-100.0,45628000.0,295665000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,India,IND,1971,91314000.0,inf,34743400.0,386979000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Russian Federation,RUS,1971,0.0,-100.0,34743400.0,386979000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,South Africa,ZAF,1971,0.0,,34743400.0,386979000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Brazil,BRA,1972,108091000.0,inf,39881000.0,495070000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,China,CHN,1972,0.0,-100.0,39881000.0,495070000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,India,IND,1972,96006000.0,inf,40819400.0,591076000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Russian Federation,RUS,1972,0.0,-100.0,40819400.0,591076000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,South Africa,ZAF,1972,0.0,,40819400.0,591076000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Brazil,BRA,1973,140378000.0,inf,47276800.0,731454000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,China,CHN,1973,0.0,-100.0,47276800.0,731454000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,India,IND,1973,100085000.0,inf,48092600.0,831539000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Russian Federation,RUS,1973,0.0,-100.0,48092600.0,831539000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,South Africa,ZAF,1973,0.0,,48092600.0,831539000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Brazil,BRA,1974,160168000.0,inf,52050600.0,991707000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,China,CHN,1974,0.0,-100.0,52050600.0,991707000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,India,IND,1974,105120000.0,inf,53057600.0,1096827000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Russian Federation,RUS,1974,0.0,-100.0,53057600.0,1096827000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,South Africa,ZAF,1974,0.0,,53057600.0,1096827000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Brazil,BRA,1975,193573000.0,inf,59738600.0,1290400000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,China,CHN,1975,0.0,-100.0,59738600.0,1290400000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,India,IND,1975,112520000.0,inf,61218600.0,1402920000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Russian Federation,RUS,1975,0.0,-100.0,61218600.0,1402920000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,South Africa,ZAF,1975,0.0,,61218600.0,1402920000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Brazil,BRA,1976,252616000.0,inf,73027200.0,1655536000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,China,CHN,1976,0.0,-100.0,73027200.0,1655536000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,India,IND,1976,117340000.0,inf,73991200.0,1772876000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Russian Federation,RUS,1976,0.0,-100.0,73991200.0,1772876000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,South Africa,ZAF,1976,0.0,,73991200.0,1772876000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Brazil,BRA,1977,355759000.0,inf,94619800.0,2128635000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,China,CHN,1977,0.0,-100.0,94619800.0,2128635000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,India,IND,1977,137348000.0,inf,98621400.0,2265983000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Russian Federation,RUS,1977,0.0,-100.0,98621400.0,2265983000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,South Africa,ZAF,1977,0.0,,98621400.0,2265983000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Brazil,BRA,1978,393074000.0,inf,106084400.0,2659057000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,China,CHN,1978,0.0,-100.0,106084400.0,2659057000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,India,IND,1978,150722000.0,inf,108759200.0,2809779000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Russian Federation,RUS,1978,0.0,-100.0,108759200.0,2809779000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,South Africa,ZAF,1978,0.0,,108759200.0,2809779000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Brazil,BRA,1979,416401000.0,inf,113424600.0,3226180000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,China,CHN,1979,0.0,-100.0,113424600.0,3226180000.0
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,India,IND,1979,148684000.0,inf,113017000.0,3374864000.0
