SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,Brazil,BRA,1970,0.0,,,0.0
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,China,CHN,1970,0.0,,,0.0
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,India,IND,1970,3650000.09536743,inf,,3650000.09536743
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,Russian Federation,RUS,1970,0.0,-100.0,,3650000.09536743
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,South Africa,ZAF,1970,0.0,,730000.019073486,3650000.09536743
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,Brazil,BRA,1971,0.0,,730000.019073486,3650000.09536743
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,China,CHN,1971,0.0,,730000.019073486,3650000.09536743
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,India,IND,1971,5619999.88555908,inf,1123999.977111816,9269999.98092651
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,Russian Federation,RUS,1971,0.0,-100.0,1123999.977111816,9269999.98092651
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,South Africa,ZAF,1971,0.0,,1123999.977111816,9269999.98092651
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,Brazil,BRA,1972,0.0,,1123999.977111816,9269999.98092651
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,China,CHN,1972,0.0,,1123999.977111816,9269999.98092651
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,India,IND,1972,310000.002384186,inf,62000.0004768372,9579999.983310696
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,Russian Federation,RUS,1972,0.0,-100.0,62000.0004768372,9579999.983310696
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,South Africa,ZAF,1972,0.0,,62000.0004768372,9579999.983310696
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,Brazil,BRA,1973,0.0,,62000.0004768372,9579999.983310696
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,China,CHN,1973,0.0,,62000.0004768372,9579999.983310696
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,India,IND,1973,1960000.03814697,inf,392000.007629394,11540000.021457667
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,Russian Federation,RUS,1973,0.0,-100.0,392000.007629394,11540000.021457667
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,South Africa,ZAF,1973,0.0,,392000.007629394,11540000.021457667
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,Brazil,BRA,1974,0.0,,392000.007629394,11540000.021457667
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,China,CHN,1974,0.0,,392000.007629394,11540000.021457667
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,India,IND,1974,7130000.11444092,inf,1426000.022888184,18670000.135898586
