SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Brazil,BRA,1970,-170000.001788139,,,-170000.001788139
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,China,CHN,1970,0.0,-100.0,,-170000.001788139
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,India,IND,1970,2619999.88555908,inf,,2449999.8837709413
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Russian Federation,RUS,1970,0.0,-100.0,,2449999.8837709413
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,South Africa,ZAF,1970,0.0,,489999.97675418825,2449999.8837709413
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Brazil,BRA,1971,-230000.004172325,-inf,477999.97627735103,2219999.879598616
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,China,CHN,1971,0.0,-100.0,477999.97627735103,2219999.879598616
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,India,IND,1971,3680000.0667572,inf,690000.0125169749,5899999.946355816
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Russian Federation,RUS,1971,0.0,-100.0,690000.0125169749,5899999.946355816
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,South Africa,ZAF,1971,0.0,,690000.0125169749,5899999.946355816
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Brazil,BRA,1972,-230000.004172325,-inf,690000.0125169749,5669999.942183491
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,China,CHN,1972,0.0,-100.0,690000.0125169749,5669999.942183491
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,India,IND,1972,3660000.08583069,inf,686000.0163316729,9330000.028014181
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Russian Federation,RUS,1972,0.0,-100.0,686000.0163316729,9330000.028014181
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,South Africa,ZAF,1972,0.0,,686000.0163316729,9330000.028014181
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Brazil,BRA,1973,-200000.002980232,-inf,692000.0165700916,9130000.025033949
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,China,CHN,1973,0.0,-100.0,692000.0165700916,9130000.025033949
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,India,IND,1973,4000000.0,inf,759999.9994039537,13130000.025033949
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Russian Federation,RUS,1973,0.0,-100.0,759999.9994039537,13130000.025033949
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,South Africa,ZAF,1973,0.0,,759999.9994039537,13130000.025033949
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Brazil,BRA,1974,-259999.990463257,-inf,748000.0019073486,12870000.034570692
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,China,CHN,1974,0.0,-100.0,748000.0019073486,12870000.034570692
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,India,IND,1974,5170000.07629395,inf,982000.0171661386,18040000.110864643
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Russian Federation,RUS,1974,0.0,-100.0,982000.0171661386,18040000.110864643
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,South Africa,ZAF,1974,0.0,,982000.0171661386,18040000.110864643
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Brazil,BRA,1975,-259999.990463257,-inf,982000.0171661386,17780000.120401386
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,China,CHN,1975,0.0,-100.0,982000.0171661386,17780000.120401386
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,India,IND,1975,5559999.94277954,inf,1059999.9904632566,23340000.063180927
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Russian Federation,RUS,1975,0.0,-100.0,1059999.9904632566,23340000.063180927
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,South Africa,ZAF,1975,0.0,,1059999.9904632566,23340000.063180927
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Brazil,BRA,1976,-219999.998807907,-inf,1067999.9887943265,23120000.06437302
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,China,CHN,1976,0.0,-100.0,1067999.9887943265,23120000.06437302
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,India,IND,1976,7909999.84741211,inf,1537999.9697208407,31029999.91178513
