SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,Brazil,BRA,1970,0.0,,,0.0
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,China,CHN,1970,0.0,,,0.0
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,India,IND,1970,0.0,,,0.0
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,South Africa,ZAF,1970,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,Brazil,BRA,1971,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,China,CHN,1971,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,India,IND,1971,720000.028610229,inf,144000.0057220458,720000.028610229
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,Russian Federation,RUS,1971,0.0,-100.0,144000.0057220458,720000.028610229
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,South Africa,ZAF,1971,0.0,,144000.0057220458,720000.028610229
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,Brazil,BRA,1972,0.0,,144000.0057220458,720000.028610229
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,China,CHN,1972,0.0,,144000.0057220458,720000.028610229
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,India,IND,1972,219999.998807907,inf,43999.9997615814,940000.027418136
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,Russian Federation,RUS,1972,0.0,-100.0,43999.9997615814,940000.027418136
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,South Africa,ZAF,1972,0.0,,43999.9997615814,940000.027418136
