SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1970,27340000.1525879,,,27340000.1525879
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1970,0.0,-100.0,,27340000.1525879
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1970,50299999.2370605,inf,,77639999.38964841
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1970,0.0,-100.0,,77639999.38964841
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,South Africa,ZAF,1970,0.0,,15527999.877929682,77639999.38964841
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1971,26239999.7711182,inf,15307999.801635742,103879999.1607666
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1971,0.0,-100.0,15307999.801635742,103879999.1607666
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1971,54930000.3051758,inf,16234000.0152588,158809999.4659424
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1971,0.0,-100.0,16234000.0152588,158809999.4659424
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,South Africa,ZAF,1971,0.0,,16234000.0152588,158809999.4659424
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1972,33919998.1689453,inf,17769999.69482422,192729997.6348877
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1972,0.0,-100.0,17769999.69482422,192729997.6348877
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1972,60250000.0,inf,18833999.63378906,252979997.6348877
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1972,0.0,-100.0,18833999.63378906,252979997.6348877
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,South Africa,ZAF,1972,0.0,,18833999.63378906,252979997.6348877
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1973,14630000.1144409,inf,14976000.02288818,267609997.74932858
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1973,0.0,-100.0,14976000.02288818,267609997.74932858
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1973,59439998.626709,inf,14813999.74822998,327049996.3760376
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1973,0.0,-100.0,14813999.74822998,327049996.3760376
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,South Africa,ZAF,1973,0.0,,14813999.74822998,327049996.3760376
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1974,19729999.5422363,inf,15833999.633789059,346779995.9182739
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1974,0.0,-100.0,15833999.633789059,346779995.9182739
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1974,59840000.1525879,inf,15913999.938964838,406619996.0708618
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1974,0.0,-100.0,15913999.938964838,406619996.0708618
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,South Africa,ZAF,1974,0.0,,15913999.938964838,406619996.0708618
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1975,24170000.0762939,inf,16802000.04577636,430789996.1471557
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1975,0.0,-100.0,16802000.04577636,430789996.1471557
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1975,92580001.8310547,inf,23350000.38146972,523369997.9782104
