SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Brazil,BRA,1970,0.0,,,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,China,CHN,1970,0.0,,,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,India,IND,1970,0.0,,,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,South Africa,ZAF,1970,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Brazil,BRA,1971,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,China,CHN,1971,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,India,IND,1971,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Russian Federation,RUS,1971,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,South Africa,ZAF,1971,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Brazil,BRA,1972,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,China,CHN,1972,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,India,IND,1972,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Russian Federation,RUS,1972,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,South Africa,ZAF,1972,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Brazil,BRA,1973,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,China,CHN,1973,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,India,IND,1973,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Russian Federation,RUS,1973,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,South Africa,ZAF,1973,0.0,,0.0,0.0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Brazil,BRA,1974,9999.99977648258,inf,1999.999955296516,9999.99977648258
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,China,CHN,1974,0.0,-100.0,1999.999955296516,9999.99977648258
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,India,IND,1974,360000.014305115,inf,74000.00281631951,370000.01408159756
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Russian Federation,RUS,1974,0.0,-100.0,74000.00281631951,370000.01408159756
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,South Africa,ZAF,1974,0.0,,74000.00281631951,370000.01408159756
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Brazil,BRA,1975,0.0,,72000.002861023,370000.01408159756
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,China,CHN,1975,0.0,,72000.002861023,370000.01408159756
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,India,IND,1975,9999.99977648258,inf,1999.999955296516,380000.01385808014
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Russian Federation,RUS,1975,0.0,-100.0,1999.999955296516,380000.01385808014
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,South Africa,ZAF,1975,0.0,,1999.999955296516,380000.01385808014
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Brazil,BRA,1976,0.0,,1999.999955296516,380000.01385808014
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,China,CHN,1976,0.0,,1999.999955296516,380000.01385808014
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,India,IND,1976,79999.9982118607,inf,15999.99964237214,460000.01206994086
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Russian Federation,RUS,1976,0.0,-100.0,15999.99964237214,460000.01206994086
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,South Africa,ZAF,1976,0.0,,15999.99964237214,460000.01206994086
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Brazil,BRA,1977,0.0,,15999.99964237214,460000.01206994086
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,China,CHN,1977,0.0,,15999.99964237214,460000.01206994086
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,India,IND,1977,9999.99977648258,inf,1999.999955296516,470000.01184642344
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Russian Federation,RUS,1977,0.0,-100.0,1999.999955296516,470000.01184642344
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,South Africa,ZAF,1977,0.0,,1999.999955296516,470000.01184642344
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Brazil,BRA,1978,0.0,,1999.999955296516,470000.01184642344
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,China,CHN,1978,0.0,,1999.999955296516,470000.01184642344
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,India,IND,1978,29999.9993294477,inf,5999.99986588954,500000.0111758711
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Russian Federation,RUS,1978,0.0,-100.0,5999.99986588954,500000.0111758711
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,South Africa,ZAF,1978,0.0,,5999.99986588954,500000.0111758711
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Brazil,BRA,1979,0.0,,5999.99986588954,500000.0111758711
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,China,CHN,1979,0.0,,5999.99986588954,500000.0111758711
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,India,IND,1979,19999.9995529652,inf,3999.99991059304,520000.01072883635
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Russian Federation,RUS,1979,0.0,-100.0,3999.99991059304,520000.01072883635
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,South Africa,ZAF,1979,0.0,,3999.99991059304,520000.01072883635
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Brazil,BRA,1980,0.0,,3999.99991059304,520000.01072883635
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,China,CHN,1980,0.0,,3999.99991059304,520000.01072883635
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,India,IND,1980,19999.9995529652,inf,3999.99991059304,540000.0102818016
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Russian Federation,RUS,1980,0.0,-100.0,3999.99991059304,540000.0102818016
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,South Africa,ZAF,1980,0.0,,3999.99991059304,540000.0102818016
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Brazil,BRA,1981,0.0,,3999.99991059304,540000.0102818016
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,China,CHN,1981,0.0,,3999.99991059304,540000.0102818016
