SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1970,-5280000.20980835,,,-5280000.20980835
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,China,CHN,1970,0.0,-100.0,,-5280000.20980835
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,India,IND,1970,5539999.96185303,inf,,259999.75204468053
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Russian Federation,RUS,1970,0.0,-100.0,,259999.75204468053
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,South Africa,ZAF,1970,0.0,,51999.95040893611,259999.75204468053
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1971,-3009999.99046326,-inf,505999.994277954,-2750000.2384185796
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,China,CHN,1971,0.0,-100.0,505999.994277954,-2750000.2384185796
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,India,IND,1971,-100000.001490116,-inf,-621999.9983906753,-2850000.2399086957
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Russian Federation,RUS,1971,0.0,-100.0,-621999.9983906753,-2850000.2399086957
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,South Africa,ZAF,1971,0.0,,-621999.9983906753,-2850000.2399086957
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1972,-889999.985694885,-inf,-197999.99743700022,-3740000.2256035805
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,China,CHN,1972,0.0,-100.0,-197999.99743700022,-3740000.2256035805
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,India,IND,1972,7730000.01907349,inf,1368000.006675721,3989999.7934699096
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Russian Federation,RUS,1972,0.0,-100.0,1368000.006675721,3989999.7934699096
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,South Africa,ZAF,1972,0.0,,1368000.006675721,3989999.7934699096
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1973,-100000.001490116,-inf,1526000.0035166747,3889999.7919797935
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,China,CHN,1973,0.0,-100.0,1526000.0035166747,3889999.7919797935
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,India,IND,1973,7110000.1335144,inf,1402000.0264048567,10999999.925494194
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Russian Federation,RUS,1973,0.0,-100.0,1402000.0264048567,10999999.925494194
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,South Africa,ZAF,1973,0.0,,1402000.0264048567,10999999.925494194
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1974,310000.002384186,inf,1484000.027179717,11309999.92787838
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,China,CHN,1974,0.0,-100.0,1484000.027179717,11309999.92787838
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,India,IND,1974,-699999.988079071,-inf,-77999.997138977,10609999.939799309
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Russian Federation,RUS,1974,0.0,-100.0,-77999.997138977,10609999.939799309
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,South Africa,ZAF,1974,0.0,,-77999.997138977,10609999.939799309
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1975,170000.001788139,inf,-105999.99725818641,10779999.941587448
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,China,CHN,1975,0.0,-100.0,-105999.99725818641,10779999.941587448
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,India,IND,1975,-1009999.99046326,-inf,-167999.9977350242,9769999.951124188
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Russian Federation,RUS,1975,0.0,-100.0,-167999.9977350242,9769999.951124188
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,South Africa,ZAF,1975,0.0,,-167999.9977350242,9769999.951124188
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1976,629999.995231628,inf,-75999.99904632641,10399999.946355816
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,China,CHN,1976,0.0,-100.0,-75999.99904632641,10399999.946355816
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,India,IND,1976,-1740000.00953674,-inf,-222000.0028610224,8659999.936819077
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Russian Federation,RUS,1976,0.0,-100.0,-222000.0028610224,8659999.936819077
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,South Africa,ZAF,1976,0.0,,-222000.0028610224,8659999.936819077
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1977,1259999.99046326,inf,-96000.00381469596,9919999.927282337
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,China,CHN,1977,0.0,-100.0,-96000.00381469596,9919999.927282337
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,India,IND,1977,20170000.0762939,inf,4286000.013351432,30090000.003576238
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Russian Federation,RUS,1977,0.0,-100.0,4286000.013351432,30090000.003576238
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,South Africa,ZAF,1977,0.0,,4286000.013351432,30090000.003576238
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1978,1379999.99523163,inf,4310000.014305105,31469999.998807866
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,China,CHN,1978,0.0,-100.0,4310000.014305105,31469999.998807866
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,India,IND,1978,-1629999.99523163,-inf,-50000.0,29840000.003576238
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Russian Federation,RUS,1978,0.0,-100.0,-50000.0,29840000.003576238
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,South Africa,ZAF,1978,0.0,,-50000.0,29840000.003576238
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1979,1740000.00953674,inf,22000.00286102197,31580000.013112977
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,China,CHN,1979,109999.999403954,-93.67816098844501,44000.00274181277,31690000.01251693
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,India,IND,1979,-1279999.97138977,-1263.6363439323436,114000.00751018478,30410000.04112716
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Russian Federation,RUS,1979,0.0,-100.0,114000.00751018478,30410000.04112716
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,South Africa,ZAF,1979,0.0,,114000.00751018478,30410000.04112716
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1980,1169999.95708466,inf,-0.002980231214314699,31579999.99821182
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,China,CHN,1980,159999.996423721,-86.32478612884739,9999.996423722183,31739999.99463554
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,India,IND,1980,-3079999.92370605,-2024.9999953433878,-349999.9940395338,28660000.07092949
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Russian Federation,RUS,1980,0.0,-100.0,-349999.9940395338,28660000.07092949
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,South Africa,ZAF,1980,0.0,,-349999.9940395338,28660000.07092949
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1981,1240000.00953674,inf,-335999.98354911775,29900000.08046623
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,China,CHN,1981,419999.986886978,-66.12903357606517,-283999.98545646644,30320000.067353208
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,India,IND,1981,-2970000.02861023,-807.1428860328648,-262000.00643730242,27350000.038742978
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Russian Federation,RUS,1981,0.0,-100.0,-262000.00643730242,27350000.038742978
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,South Africa,ZAF,1981,0.0,,-262000.00643730242,27350000.038742978
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Brazil,BRA,1982,2369999.88555908,inf,-36000.03123283442,29719999.924302056
