SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,Brazil,BRA,1970,-11859999.6566772,,,-11859999.6566772
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,China,CHN,1970,0.0,-100.0,,-11859999.6566772
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,India,IND,1970,32729999.5422363,inf,,20869999.885559097
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,Russian Federation,RUS,1970,0.0,-100.0,,20869999.885559097
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,South Africa,ZAF,1970,0.0,,4173999.977111819,20869999.885559097
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,Brazil,BRA,1971,-12000000.0,-inf,4145999.9084472596,8869999.885559097
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,China,CHN,1971,0.0,-100.0,4145999.9084472596,8869999.885559097
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,India,IND,1971,33540000.9155273,inf,4308000.183105459,42410000.801086396
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,Russian Federation,RUS,1971,0.0,-100.0,4308000.183105459,42410000.801086396
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,South Africa,ZAF,1971,0.0,,4308000.183105459,42410000.801086396
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,Brazil,BRA,1972,-10720000.2670288,-inf,4564000.1296997,31690000.534057595
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,China,CHN,1972,0.0,-100.0,4564000.1296997,31690000.534057595
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,India,IND,1972,26670000.0762939,inf,3189999.96185302,58360000.610351495
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,Russian Federation,RUS,1972,0.0,-100.0,3189999.96185302,58360000.610351495
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,South Africa,ZAF,1972,0.0,,3189999.96185302,58360000.610351495
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,Brazil,BRA,1973,-5659999.84741211,-inf,4202000.045776358,52700000.762939386
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,China,CHN,1973,0.0,-100.0,4202000.045776358,52700000.762939386
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,India,IND,1973,68980003.3569336,inf,12664000.701904297,121680004.11987299
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,Russian Federation,RUS,1973,0.0,-100.0,12664000.701904297,121680004.11987299
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,South Africa,ZAF,1973,0.0,,12664000.701904297,121680004.11987299
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,Brazil,BRA,1974,1919999.95708466,inf,14180000.66280365,123600004.07695764
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,China,CHN,1974,0.0,-100.0,14180000.66280365,123600004.07695764
