SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,Brazil,BRA,1970,1500000.0,,,1500000.0
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,China,CHN,1970,0.0,-100.0,,1500000.0
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,India,IND,1970,7360000.1335144,inf,,8860000.1335144
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,Russian Federation,RUS,1970,0.0,-100.0,,8860000.1335144
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,South Africa,ZAF,1970,0.0,,1772000.0267028802,8860000.1335144
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,Brazil,BRA,1971,990000.009536743,inf,1670000.0286102286,9850000.143051144
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,China,CHN,1971,0.0,-100.0,1670000.0286102286,9850000.143051144
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,India,IND,1971,10500000.0,inf,2298000.0019073486,20350000.143051144
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,Russian Federation,RUS,1971,0.0,-100.0,2298000.0019073486,20350000.143051144
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,South Africa,ZAF,1971,0.0,,2298000.0019073486,20350000.143051144
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,Brazil,BRA,1972,990000.009536743,inf,2298000.0019073486,21340000.152587887
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,China,CHN,1972,0.0,-100.0,2298000.0019073486,21340000.152587887
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,India,IND,1972,11060000.4196167,inf,2410000.0858306885,32400000.572204586
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,Russian Federation,RUS,1972,0.0,-100.0,2410000.0858306885,32400000.572204586
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,South Africa,ZAF,1972,0.0,,2410000.0858306885,32400000.572204586
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,Brazil,BRA,1973,209999.993443489,inf,2254000.0826120377,32610000.565648075
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,China,CHN,1973,0.0,-100.0,2254000.0826120377,32610000.565648075
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,India,IND,1973,10670000.0762939,inf,2176000.013947478,43280000.64194198
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,Russian Federation,RUS,1973,0.0,-100.0,2176000.013947478,43280000.64194198
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,South Africa,ZAF,1973,0.0,,2176000.013947478,43280000.64194198
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,Brazil,BRA,1974,70000.0002980232,inf,2148000.015318385,43350000.64224
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,China,CHN,1974,0.0,-100.0,2148000.015318385,43350000.64224
