SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Brazil,BRA,1970,-1110000.01430511,,,-1110000.01430511
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,China,CHN,1970,0.0,-100.0,,-1110000.01430511
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,India,IND,1970,86720001.2207031,inf,,85610001.20639798
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Russian Federation,RUS,1970,0.0,-100.0,,85610001.20639798
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,South Africa,ZAF,1970,0.0,,17122000.241279595,85610001.20639798
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Brazil,BRA,1971,-759999.990463257,-inf,17192000.246047966,84850001.21593472
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,China,CHN,1971,0.0,-100.0,17192000.246047966,84850001.21593472
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,India,IND,1971,126000000.0,inf,25048000.00190735,210850001.21593472
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Russian Federation,RUS,1971,0.0,-100.0,25048000.00190735,210850001.21593472
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,South Africa,ZAF,1971,0.0,,25048000.00190735,210850001.21593472
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Brazil,BRA,1972,209999.993443489,inf,25241999.998688698,211060001.2093782
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,China,CHN,1972,0.0,-100.0,25241999.998688698,211060001.2093782
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,India,IND,1972,110769996.643066,inf,22195999.327301897,321829997.85244423
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Russian Federation,RUS,1972,0.0,-100.0,22195999.327301897,321829997.85244423
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,South Africa,ZAF,1972,0.0,,22195999.327301897,321829997.85244423
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Brazil,BRA,1973,1230000.01907349,inf,22399999.332427897,323059997.8715177
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,China,CHN,1973,0.0,-100.0,22399999.332427897,323059997.8715177
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,India,IND,1973,88940002.4414063,inf,18034000.492095955,412000000.312924
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Russian Federation,RUS,1973,0.0,-100.0,18034000.492095955,412000000.312924
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,South Africa,ZAF,1973,0.0,,18034000.492095955,412000000.312924
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Brazil,BRA,1974,4329999.92370605,inf,18654000.47302247,416330000.2366301
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,China,CHN,1974,0.0,-100.0,18654000.47302247,416330000.2366301
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,India,IND,1974,141720001.220703,inf,29210000.228881814,558050001.4573331
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Russian Federation,RUS,1974,0.0,-100.0,29210000.228881814,558050001.4573331
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,South Africa,ZAF,1974,0.0,,29210000.228881814,558050001.4573331
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Brazil,BRA,1975,7440000.05722046,inf,29832000.255584694,565490001.5145535
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,China,CHN,1975,0.0,-100.0,29832000.255584694,565490001.5145535
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,India,IND,1975,113830001.831055,inf,24254000.377655093,679320003.3456086
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Russian Federation,RUS,1975,0.0,-100.0,24254000.377655093,679320003.3456086
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,South Africa,ZAF,1975,0.0,,24254000.377655093,679320003.3456086
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Brazil,BRA,1976,4090000.15258789,inf,23584000.39672858,683410003.4981965
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,China,CHN,1976,0.0,-100.0,23584000.39672858,683410003.4981965
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,India,IND,1976,163889999.389648,inf,33595999.908447176,847300002.8878444
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Russian Federation,RUS,1976,0.0,-100.0,33595999.908447176,847300002.8878444
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,South Africa,ZAF,1976,0.0,,33595999.908447176,847300002.8878444
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Brazil,BRA,1977,2119999.88555908,inf,33201999.855041414,849420002.7734035
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,China,CHN,1977,0.0,-100.0,33201999.855041414,849420002.7734035
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,India,IND,1977,106919998.168945,inf,21807999.610900816,956340000.9423485
