SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,Brazil,BRA,1970,0.0,,,0.0
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,China,CHN,1970,0.0,,,0.0
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,India,IND,1970,0.0,,,0.0
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,South Africa,ZAF,1970,-400399840.000224,-inf,-80079968.0000448,-400399840.000224
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,Brazil,BRA,1971,0.0,-100.0,-80079968.0000448,-400399840.000224
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,China,CHN,1971,0.0,,-80079968.0000448,-400399840.000224
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,India,IND,1971,0.0,,-80079968.0000448,-400399840.000224
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,Russian Federation,RUS,1971,0.0,,-80079968.0000448,-400399840.000224
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,South Africa,ZAF,1971,-334476437.279264,-inf,-66895287.45585279,-734876277.279488
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,Brazil,BRA,1972,0.0,-100.0,-66895287.45585279,-734876277.279488
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,China,CHN,1972,0.0,,-66895287.45585279,-734876277.279488
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,India,IND,1972,0.0,,-66895287.45585279,-734876277.279488
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,Russian Federation,RUS,1972,0.0,,-66895287.45585279,-734876277.279488
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,South Africa,ZAF,1972,465046437.581278,inf,93009287.5162556,-269829839.69820994
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,Brazil,BRA,1973,0.0,-100.0,93009287.5162556,-269829839.69820994
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,China,CHN,1973,0.0,,93009287.5162556,-269829839.69820994
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,India,IND,1973,0.0,,93009287.5162556,-269829839.69820994
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,Russian Federation,RUS,1973,0.0,,93009287.5162556,-269829839.69820994
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,South Africa,ZAF,1973,-157090408.825204,-inf,-31418081.765040804,-426920248.52341396
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,Brazil,BRA,1974,0.0,-100.0,-31418081.765040804,-426920248.52341396
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,China,CHN,1974,0.0,,-31418081.765040804,-426920248.52341396
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,India,IND,1974,0.0,,-31418081.765040804,-426920248.52341396
