SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Brazil,BRA,1970,46914000.0,,,46914000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,China,CHN,1970,0.0,-100.0,,46914000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,India,IND,1970,-10235000.0,-inf,,36679000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Russian Federation,RUS,1970,0.0,-100.0,,36679000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,South Africa,ZAF,1970,0.0,,7335800.0,36679000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Brazil,BRA,1971,86780000.0,inf,15309000.0,123459000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,China,CHN,1971,0.0,-100.0,15309000.0,123459000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,India,IND,1971,-16393000.0,-inf,14077400.0,107066000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Russian Federation,RUS,1971,0.0,-100.0,14077400.0,107066000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,South Africa,ZAF,1971,0.0,,14077400.0,107066000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Brazil,BRA,1972,138199000.0,inf,24361200.0,245265000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,China,CHN,1972,0.0,-100.0,24361200.0,245265000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,India,IND,1972,-1963000.0,-inf,27247200.0,243302000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Russian Federation,RUS,1972,0.0,-100.0,27247200.0,243302000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,South Africa,ZAF,1972,0.0,,27247200.0,243302000.0
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Brazil,BRA,1973,164893000.0,inf,32586000.0,408195000.0
