SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,Brazil,BRA,1970,28952000.0,,,28952000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,China,CHN,1970,0.0,-100.0,,28952000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,India,IND,1970,0.0,,,28952000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,Russian Federation,RUS,1970,0.0,,,28952000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,South Africa,ZAF,1970,0.0,,5790400.0,28952000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,Brazil,BRA,1971,27705000.0,inf,5541000.0,56657000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,China,CHN,1971,0.0,-100.0,5541000.0,56657000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,India,IND,1971,0.0,,5541000.0,56657000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,Russian Federation,RUS,1971,0.0,,5541000.0,56657000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,South Africa,ZAF,1971,0.0,,5541000.0,56657000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,Brazil,BRA,1972,55021000.0,inf,11004200.0,111678000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,China,CHN,1972,0.0,-100.0,11004200.0,111678000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,India,IND,1972,0.0,,11004200.0,111678000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,Russian Federation,RUS,1972,0.0,,11004200.0,111678000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,South Africa,ZAF,1972,0.0,,11004200.0,111678000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,Brazil,BRA,1973,35801000.0,inf,7160200.0,147479000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,China,CHN,1973,0.0,-100.0,7160200.0,147479000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,India,IND,1973,0.0,,7160200.0,147479000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,Russian Federation,RUS,1973,0.0,,7160200.0,147479000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,South Africa,ZAF,1973,0.0,,7160200.0,147479000.0
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,Brazil,BRA,1974,109185000.0,inf,21837000.0,256664000.0
