SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Brazil,BRA,1970,0.0,,,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,China,CHN,1970,0.0,,,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,India,IND,1970,0.0,,,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Russian Federation,RUS,1970,0.0,,,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,South Africa,ZAF,1970,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Brazil,BRA,1971,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,China,CHN,1971,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,India,IND,1971,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Russian Federation,RUS,1971,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,South Africa,ZAF,1971,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Brazil,BRA,1972,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,China,CHN,1972,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,India,IND,1972,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Russian Federation,RUS,1972,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,South Africa,ZAF,1972,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Brazil,BRA,1973,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,China,CHN,1973,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,India,IND,1973,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Russian Federation,RUS,1973,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,South Africa,ZAF,1973,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Brazil,BRA,1974,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,China,CHN,1974,0.0,,0.0,0.0
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,India,IND,1974,14.1563451164408,inf,2.83126902328816,14.1563451164408
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Russian Federation,RUS,1974,0.0,-100.0,2.83126902328816,14.1563451164408
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,South Africa,ZAF,1974,0.0,,2.83126902328816,14.1563451164408
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Brazil,BRA,1975,0.0,,2.83126902328816,14.1563451164408
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,China,CHN,1975,0.0,,2.83126902328816,14.1563451164408
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,India,IND,1975,16.1197059753567,inf,3.2239411950713395,30.2760510917975
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Russian Federation,RUS,1975,0.0,-100.0,3.2239411950713395,30.2760510917975
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,South Africa,ZAF,1975,0.0,,3.2239411950713395,30.2760510917975
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Brazil,BRA,1976,0.0,,3.2239411950713395,30.2760510917975
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,China,CHN,1976,0.0,,3.2239411950713395,30.2760510917975
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,India,IND,1976,15.9789398832543,inf,3.19578797665086,46.2549909750518
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Russian Federation,RUS,1976,0.0,-100.0,3.19578797665086,46.2549909750518
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,South Africa,ZAF,1976,0.0,,3.19578797665086,46.2549909750518
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Brazil,BRA,1977,0.0,,3.19578797665086,46.2549909750518
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,China,CHN,1977,0.0,,3.19578797665086,46.2549909750518
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,India,IND,1977,7.74769912527037,inf,1.549539825054074,54.00269010032217
