SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Brazil,BRA,1970,0.327952805841518,,,0.327952805841518
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,China,CHN,1970,0.0,-100.0,,0.327952805841518
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,India,IND,1970,1.32915739417025,inf,,1.657110200011768
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Russian Federation,RUS,1970,0.0,-100.0,,1.657110200011768
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,South Africa,ZAF,1970,0.0,,0.3314220400023536,1.657110200011768
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Brazil,BRA,1971,0.246630539189847,inf,0.3151575866720194,1.903740739201615
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,China,CHN,1971,0.0,-100.0,0.3151575866720194,1.903740739201615
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,India,IND,1971,1.49701445108997,inf,0.34872899805596347,3.4007551902915854
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Russian Federation,RUS,1971,0.0,-100.0,0.34872899805596347,3.4007551902915854
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,South Africa,ZAF,1971,0.0,,0.34872899805596347,3.4007551902915854
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Brazil,BRA,1972,0.162599114362044,inf,0.3319227130904029,3.5633543046536293
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,China,CHN,1972,0.0,-100.0,0.3319227130904029,3.5633543046536293
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,India,IND,1972,0.863765439172281,inf,0.205272910706865,4.4271197438259104
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Russian Federation,RUS,1972,0.0,-100.0,0.205272910706865,4.4271197438259104
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,South Africa,ZAF,1972,0.0,,0.205272910706865,4.4271197438259104
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Brazil,BRA,1973,0.0830560441887208,inf,0.18936429667220037,4.510175788014632
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,China,CHN,1973,0.0,-100.0,0.18936429667220037,4.510175788014632
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,India,IND,1973,0.915032030665318,inf,0.19961761497080777,5.42520781867995
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Russian Federation,RUS,1973,0.0,-100.0,0.19961761497080777,5.42520781867995
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,South Africa,ZAF,1973,0.0,,0.19961761497080777,5.42520781867995
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Brazil,BRA,1974,0.124427762163249,inf,0.20789195856571338,5.549635580843199
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,China,CHN,1974,0.0,-100.0,0.20789195856571338,5.549635580843199
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,India,IND,1974,1.24080996984383,inf,0.2730475464014158,6.7904455506870285
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Russian Federation,RUS,1974,0.0,-100.0,0.27304754640141576,6.7904455506870285
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,South Africa,ZAF,1974,0.0,,0.27304754640141576,6.7904455506870285
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Brazil,BRA,1975,0.108657304363067,inf,0.26989345484137933,6.899102855050096
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,China,CHN,1975,0.0,-100.0,0.26989345484137933,6.899102855050096
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,India,IND,1975,1.63497735516669,inf,0.34872693190595133,8.534080210216786
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Russian Federation,RUS,1975,0.0,-100.0,0.34872693190595133,8.534080210216786
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,South Africa,ZAF,1975,0.0,,0.34872693190595133,8.534080210216786
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Brazil,BRA,1976,0.0615398172161925,inf,0.33930343447657646,8.595620027432979
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,China,CHN,1976,0.0,-100.0,0.33930343447657646,8.595620027432979
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,India,IND,1976,1.70278135715956,inf,0.35286423487515045,10.29840138459254
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Russian Federation,RUS,1976,0.0,-100.0,0.35286423487515045,10.29840138459254
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,South Africa,ZAF,1976,0.0,,0.35286423487515045,10.29840138459254
