SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Brazil,BRA,1970,0.0,,,0.0
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,China,CHN,1970,0.0,,,0.0
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,India,IND,1970,0.0,,,0.0
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,South Africa,ZAF,1970,-663599734.825546,-inf,-132719946.9651092,-663599734.825546
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Brazil,BRA,1971,0.0,-100.0,-132719946.9651092,-663599734.825546
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,China,CHN,1971,0.0,,-132719946.9651092,-663599734.825546
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,India,IND,1971,0.0,,-132719946.9651092,-663599734.825546
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Russian Federation,RUS,1971,0.0,,-132719946.9651092,-663599734.825546
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,South Africa,ZAF,1971,-655750255.580886,-inf,-131150051.1161772,-1319349990.4064322
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Brazil,BRA,1972,0.0,-100.0,-131150051.1161772,-1319349990.4064322
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,China,CHN,1972,0.0,,-131150051.1161772,-1319349990.4064322
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,India,IND,1972,0.0,,-131150051.1161772,-1319349990.4064322
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Russian Federation,RUS,1972,0.0,,-131150051.1161772,-1319349990.4064322
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,South Africa,ZAF,1972,-699997141.304149,-inf,-139999428.2608298,-2019347131.7105813
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Brazil,BRA,1973,0.0,-100.0,-139999428.2608298,-2019347131.7105813
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,China,CHN,1973,0.0,,-139999428.2608298,-2019347131.7105813
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,India,IND,1973,0.0,,-139999428.2608298,-2019347131.7105813
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Russian Federation,RUS,1973,0.0,,-139999428.2608298,-2019347131.7105813
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,South Africa,ZAF,1973,-926337883.504093,-inf,-185267576.7008186,-2945685015.2146745
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Brazil,BRA,1974,0.0,-100.0,-185267576.7008186,-2945685015.2146745
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,China,CHN,1974,0.0,,-185267576.7008186,-2945685015.2146745
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,India,IND,1974,0.0,,-185267576.7008186,-2945685015.2146745
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Russian Federation,RUS,1974,0.0,,-185267576.7008186,-2945685015.2146745
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,South Africa,ZAF,1974,-1248643443.51204,-inf,-249728688.702408,-4194328458.726714
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Brazil,BRA,1975,-2017000000.0,61.535305413274386,-653128688.7024081,-6211328458.726714
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,China,CHN,1975,0.0,-100.0,-653128688.7024081,-6211328458.726714
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,India,IND,1975,-257640448.817558,-inf,-704656778.4659196,-6468968907.544272
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Russian Federation,RUS,1975,0.0,-100.0,-704656778.4659196,-6468968907.544272
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,South Africa,ZAF,1975,-1551499585.35787,-inf,-765228006.8350856,-8020468492.902143
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Brazil,BRA,1976,-2587000000.0,66.74190727568133,-879228006.8350856,-10607468492.902142
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,China,CHN,1976,0.0,-100.0,-879228006.8350856,-10607468492.902142
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,India,IND,1976,-159678817.15308,-inf,-859635680.50219,-10767147310.055222
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Russian Federation,RUS,1976,0.0,-100.0,-859635680.50219,-10767147310.055222
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,South Africa,ZAF,1976,-1501899998.694,-inf,-849715763.1694161,-12269047308.749222
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Brazil,BRA,1977,-3426000000.0,128.11105952321262,-1017515763.1694161,-15695047308.749222
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,China,CHN,1977,0.0,-100.0,-1017515763.1694161,-15695047308.749222
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,India,IND,1977,-149175589.561351,-inf,-1015415117.6510702,-15844222898.310574
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Russian Federation,RUS,1977,0.0,-100.0,-1015415117.6510702,-15844222898.310574
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,South Africa,ZAF,1977,-1737649998.489,-inf,-1062565117.6100702,-17581872896.799572
