SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Brazil,BRA,1970,-0.0010000001,,,-0.0010000001
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,China,CHN,1970,0.0,-100.0,,-0.0010000001
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,India,IND,1970,-2840000000.0,-inf,,-2840000000.001
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Russian Federation,RUS,1970,0.0,-100.0,,-2840000000.001
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,South Africa,ZAF,1970,-474000000.0,-inf,-662800000.0002,-3314000000.001
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Brazil,BRA,1971,-0.0010000001,-99.99999999978903,-662800000.0002,-3314000000.002
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,China,CHN,1971,0.0,-100.0,-662800000.0002,-3314000000.002
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,India,IND,1971,-2910000000.0,-inf,-676800000.0002,-6224000000.002
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Russian Federation,RUS,1971,0.0,-100.0,-676800000.0002,-6224000000.002
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,South Africa,ZAF,1971,-469000000.0,-inf,-675800000.0002,-6693000000.002
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Brazil,BRA,1972,-0.0010000001,-99.99999999978678,-675800000.0002,-6693000000.003
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,China,CHN,1972,0.0,-100.0,-675800000.0002,-6693000000.003
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,India,IND,1972,-3020000000.0,-inf,-697800000.0002,-9713000000.003
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Russian Federation,RUS,1972,0.0,-100.0,-697800000.0002,-9713000000.003
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,South Africa,ZAF,1972,-540000000.0,-inf,-712000000.0002,-10253000000.003
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Brazil,BRA,1973,-0.0020000001,-99.99999999962964,-712000000.0004,-10253000000.005001
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,China,CHN,1973,0.0,-100.0,-712000000.0004,-10253000000.005001
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,India,IND,1973,-3250000000.0,-inf,-758000000.0004,-13503000000.005001
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Russian Federation,RUS,1973,0.0,-100.0,-758000000.0004,-13503000000.005001
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,South Africa,ZAF,1973,-642000000.0,-inf,-778400000.0004,-14145000000.005001
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Brazil,BRA,1974,-0.0020000001,-99.99999999968847,-778400000.0004,-14145000000.007002
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,China,CHN,1974,0.0,-100.0,-778400000.0004,-14145000000.007002
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,India,IND,1974,-2910000000.0,-inf,-710400000.0004,-17055000000.007002
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Russian Federation,RUS,1974,0.0,-100.0,-710400000.0004,-17055000000.007002
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,South Africa,ZAF,1974,-849000000.0,-inf,-751800000.0004,-17904000000.007004
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Brazil,BRA,1975,-0.0049999999,-99.99999999941107,-751800000.001,-17904000000.012005
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,China,CHN,1975,0.0,-100.0,-751800000.001,-17904000000.012005
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,India,IND,1975,-2550000000.0,-inf,-679800000.001,-20454000000.012005
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Russian Federation,RUS,1975,0.0,-100.0,-679800000.001,-20454000000.012005
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,South Africa,ZAF,1975,-1138000000.0,-inf,-737600000.001,-21592000000.012005
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Brazil,BRA,1976,-0.0089999996,-99.99999999920914,-737600000.0018,-21592000000.021004
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,China,CHN,1976,0.0,-100.0,-737600000.0018,-21592000000.021004
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,India,IND,1976,-2330000000.0,-inf,-693600000.0018,-23922000000.021004
