SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1970,0.0,,,0.0
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1970,0.0,,,0.0
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1970,0.0,,,0.0
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1970,6999997.20280112,inf,1399999.440560224,6999997.20280112
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1971,0.0,-100.0,1399999.440560224,6999997.20280112
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1971,0.0,,1399999.440560224,6999997.20280112
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1971,0.0,,1399999.440560224,6999997.20280112
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1971,0.0,,1399999.440560224,6999997.20280112
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1971,-2778217.29030355,-inf,-555643.45806071,4221779.912497569
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1972,0.0,-100.0,-555643.45806071,4221779.912497569
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1972,0.0,,-555643.45806071,4221779.912497569
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1972,0.0,,-555643.45806071,4221779.912497569
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1972,0.0,,-555643.45806071,4221779.912497569
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1972,-10498823.6103337,-inf,-2099764.72206674,-6277043.697836131
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1973,0.0,-100.0,-2099764.72206674,-6277043.697836131
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1973,0.0,,-2099764.72206674,-6277043.697836131
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1973,0.0,,-2099764.72206674,-6277043.697836131
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1973,0.0,,-2099764.72206674,-6277043.697836131
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1973,-55978468.0855077,-inf,-11195693.617101539,-62255511.78334383
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1974,0.0,-100.0,-11195693.617101539,-62255511.78334383
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1974,0.0,,-11195693.617101539,-62255511.78334383
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1974,0.0,,-11195693.617101539,-62255511.78334383
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1974,0.0,,-11195693.617101539,-62255511.78334383
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1974,1421838.04534038,inf,284367.609068076,-60833673.73800345
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1975,43000000.0,2924.2544248213617,8884367.609068077,-17833673.738003448
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1975,0.0,-100.0,8884367.609068077,-17833673.738003448
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1975,610141244.6318,inf,130912616.53542809,592307570.8937966
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1975,0.0,-100.0,130912616.53542809,592307570.8937966
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1975,49183285.9479906,inf,140464906.11595812,641490856.8417871
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1976,38000000.0,-22.737980459086216,139464906.11595812,679490856.8417871
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1976,0.0,-100.0,139464906.11595812,679490856.8417871
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1976,1036045025.91755,inf,224645662.3731081,1715535882.759337
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1976,0.0,-100.0,224645662.3731081,1715535882.759337
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1976,22999999.98,inf,219409005.17950997,1738535882.739337
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1977,63000000.0,173.91304371644614,224409005.17950997,1801535882.739337
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1977,0.0,-100.0,224409005.17950997,1801535882.739337
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1977,1305990814.33644,inf,278398162.86328804,3107526697.075777
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1977,0.0,-100.0,278398162.86328804,3107526697.075777
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1977,2299999.998,inf,274258162.866888,3109826697.073777
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1978,112000000.0,4769.565221625709,284058162.866888,3221826697.073777
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1978,0.0,-100.0,284058162.866888,3221826697.073777
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1978,1627066020.4021,inf,348273204.08002,4848892717.475878
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1978,0.0,-100.0,348273204.08002,4848892717.475878
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1978,6899999.994,inf,349193204.07922,4855792717.469878
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1979,-21000000.0,-404.3478263516068,322593204.07922,4834792717.469878
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1979,0.0,-100.0,322593204.07922,4834792717.469878
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1979,2045056927.61632,inf,406191385.522064,6879849645.086198
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1979,0.0,-100.0,406191385.522064,6879849645.086198
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1979,27277133.6392958,inf,410266812.25112313,6907126778.725493
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1980,144000000.0,427.91470652382515,443266812.25112313,7051126778.725493
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1980,0.0,-100.0,443266812.25112313,7051126778.725493
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1980,3333701862.07624,inf,700995799.1431072,10384828640.801733
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1980,0.0,-100.0,700995799.1431072,10384828640.801733
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1980,146036305.332349,inf,724747633.4817178,10530864946.134083
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1981,186000000.0,27.365588698441613,733147633.4817177,10716864946.134083
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1981,0.0,-100.0,733147633.4817177,10716864946.134083
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1981,3005557067.10436,inf,667518674.4873418,13722422013.238443
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1981,0.0,-100.0,667518674.4873418,13722422013.238443
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1981,106435104.551589,inf,659598434.3311899,13828857117.790031
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1982,-13000000.0,-112.2140153427471,619798434.3311899,13815857117.790031
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1982,486000000.0,-3838.4615384615386,716998434.3311899,14301857117.790031
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1982,2917382176.12497,500.28439837962344,699363456.1353118,17219239293.915
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1982,0.0,-100.0,699363456.1353118,17219239293.915
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1982,19737477.3729617,inf,682023930.6995863,17238976771.287964
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1983,111000000.0,462.3818986719068,706823930.6995863,17349976771.287964
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1983,511000000.0,360.36036036036035,711823930.6995863,17860976771.287964
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1983,3077534084.69997,502.2571594324794,743854312.4145863,20938510855.987934
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Russian Federation,RUS,1983,0.0,-100.0,743854312.4145863,20938510855.987934
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,South Africa,ZAF,1983,-201449757.838283,-inf,699616865.3723373,20737061098.14965
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Brazil,BRA,1984,162000000.0,-180.41707358618325,709816865.3723373,20899061098.14965
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,China,CHN,1984,442000000.0,172.83950617283952,696016865.3723373,21341061098.14965
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,India,IND,1984,2802072725.58831,533.9531053367216,640924593.5500053,24143133823.73796
