SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,Brazil,BRA,1970,0.0,,,0.0
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,China,CHN,1970,0.0,,,0.0
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,India,IND,1970,0.0,,,0.0
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,South Africa,ZAF,1970,-632799747.133221,-inf,-126559949.4266442,-632799747.133221
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,Brazil,BRA,1971,0.0,-100.0,-126559949.4266442,-632799747.133221
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,China,CHN,1971,0.0,,-126559949.4266442,-632799747.133221
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,India,IND,1971,0.0,,-126559949.4266442,-632799747.133221
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,Russian Federation,RUS,1971,0.0,,-126559949.4266442,-632799747.133221
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,South Africa,ZAF,1971,-829604304.769884,-inf,-165920860.9539768,-1462404051.903105
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,Brazil,BRA,1972,0.0,-100.0,-165920860.9539768,-1462404051.903105
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,China,CHN,1972,0.0,,-165920860.9539768,-1462404051.903105
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,India,IND,1972,0.0,,-165920860.9539768,-1462404051.903105
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,Russian Federation,RUS,1972,0.0,,-165920860.9539768,-1462404051.903105
