SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1970,0.0,,,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1970,0.0,,,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1970,0.0,,,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1970,0.0,,,0.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,South Africa,ZAF,1970,236599899.3,inf,47319979.86,236599899.3
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1971,0.0,-100.0,47319979.86,236599899.3
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1971,0.0,,47319979.86,236599899.3
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1971,0.0,,47319979.86,236599899.3
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1971,0.0,,47319979.86,236599899.3
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,South Africa,ZAF,1971,283822326.7,inf,56764465.339999996,520422226.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1972,0.0,-100.0,56764465.339999996,520422226.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1972,0.0,,56764465.339999996,520422226.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1972,0.0,,56764465.339999996,520422226.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1972,0.0,,56764465.339999996,520422226.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,South Africa,ZAF,1972,279514373.8,inf,55902874.760000005,799936599.8
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1973,0.0,-100.0,55902874.760000005,799936599.8
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1973,0.0,,55902874.760000005,799936599.8
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1973,0.0,,55902874.760000005,799936599.8
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1973,0.0,,55902874.760000005,799936599.8
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,South Africa,ZAF,1973,423839386.0,inf,84767877.2,1223775985.8
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1974,0.0,-100.0,84767877.2,1223775985.8
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1974,0.0,,84767877.2,1223775985.8
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1974,0.0,,84767877.2,1223775985.8
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1974,0.0,,84767877.2,1223775985.8
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,South Africa,ZAF,1974,566159301.8,inf,113231860.35999998,1789935287.6
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1975,108000000.0,-80.92409686520494,134831860.35999998,1897935287.6
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1975,0.0,-100.0,134831860.35999998,1897935287.6
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1975,0.0,,134831860.35999998,1897935287.6
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1975,0.0,,134831860.35999998,1897935287.6
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,South Africa,ZAF,1975,666929443.4,inf,154985888.68,2564864731.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1976,103000000.0,-84.55608745133414,153985888.68,2667864731.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1976,0.0,-100.0,153985888.68,2667864731.0
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,India,IND,1976,9138853.073,inf,155813659.29459998,2677003584.073
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Russian Federation,RUS,1976,0.0,-100.0,155813659.29459998,2677003584.073
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,South Africa,ZAF,1976,576150024.4,inf,137657775.4946,3253153608.473
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,Brazil,BRA,1977,114000000.0,-80.21348690929605,139857775.4946,3367153608.473
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,China,CHN,1977,0.0,-100.0,139857775.4946,3367153608.473
