SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Brazil,BRA,1970,700000000.0,,,700000000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,China,CHN,1970,0.0,-100.0,,700000000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,India,IND,1970,0.0,,,700000000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Russian Federation,RUS,1970,0.0,,,700000000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,South Africa,ZAF,1970,0.0,,140000000.0,700000000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Brazil,BRA,1971,720800000.0,inf,144160000.0,1420800000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,China,CHN,1971,0.0,-100.0,144160000.0,1420800000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,India,IND,1971,0.0,,144160000.0,1420800000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Russian Federation,RUS,1971,0.0,,144160000.0,1420800000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,South Africa,ZAF,1971,0.0,,144160000.0,1420800000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Brazil,BRA,1972,1811700000.0,inf,362340000.0,3232500000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,China,CHN,1972,0.0,-100.0,362340000.0,3232500000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,India,IND,1972,0.0,,362340000.0,3232500000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Russian Federation,RUS,1972,0.0,,362340000.0,3232500000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,South Africa,ZAF,1972,0.0,,362340000.0,3232500000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Brazil,BRA,1973,911200000.0,inf,182240000.0,4143700000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,China,CHN,1973,0.0,-100.0,182240000.0,4143700000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,India,IND,1973,-36300000.0,-inf,174980000.0,4107400000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Russian Federation,RUS,1973,0.0,-100.0,174980000.0,4107400000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,South Africa,ZAF,1973,0.0,,174980000.0,4107400000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Brazil,BRA,1974,3032000000.0,inf,599140000.0,7139400000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,China,CHN,1974,0.0,-100.0,599140000.0,7139400000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,India,IND,1974,3000000.0,inf,607000000.0,7142400000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Russian Federation,RUS,1974,0.0,-100.0,607000000.0,7142400000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,South Africa,ZAF,1974,0.0,,607000000.0,7142400000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Brazil,BRA,1975,1878000000.0,inf,376200000.0,9020400000.0
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,China,CHN,1975,0.0,-100.0,376200000.0,9020400000.0
