SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Brazil,BRA,1970,0.0,,,0.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,China,CHN,1970,0.0,,,0.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,India,IND,1970,0.0,,,0.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,South Africa,ZAF,1970,0.0,,0.0,0.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Brazil,BRA,1971,0.0,,0.0,0.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,China,CHN,1971,0.0,,0.0,0.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,India,IND,1971,0.0,,0.0,0.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Russian Federation,RUS,1971,0.0,,0.0,0.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,South Africa,ZAF,1971,0.0,,0.0,0.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Brazil,BRA,1972,96450000.0,inf,19290000.0,96450000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,China,CHN,1972,0.0,-100.0,19290000.0,96450000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,India,IND,1972,0.0,,19290000.0,96450000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Russian Federation,RUS,1972,0.0,,19290000.0,96450000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,South Africa,ZAF,1972,0.0,,19290000.0,96450000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Brazil,BRA,1973,35855000.0,inf,7171000.0,132305000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,China,CHN,1973,0.0,-100.0,7171000.0,132305000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,India,IND,1973,0.0,,7171000.0,132305000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Russian Federation,RUS,1973,0.0,,7171000.0,132305000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,South Africa,ZAF,1973,0.0,,7171000.0,132305000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Brazil,BRA,1974,23100000.0,inf,4620000.0,155405000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,China,CHN,1974,0.0,-100.0,4620000.0,155405000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,India,IND,1974,0.0,,4620000.0,155405000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Russian Federation,RUS,1974,0.0,,4620000.0,155405000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,South Africa,ZAF,1974,0.0,,4620000.0,155405000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Brazil,BRA,1975,-3722000.0,-inf,-744400.0,151683000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,China,CHN,1975,0.0,-100.0,-744400.0,151683000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,India,IND,1975,0.0,,-744400.0,151683000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Russian Federation,RUS,1975,0.0,,-744400.0,151683000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,South Africa,ZAF,1975,0.0,,-744400.0,151683000.0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Brazil,BRA,1976,184032000.0,inf,36806400.0,335715000.0
