SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1970,0.0,,,0.0
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1970,0.0,,,0.0
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1970,0.0,,,0.0
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1970,176399929.510588,inf,35279985.902117595,176399929.510588
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1971,0.0,-100.0,35279985.902117595,176399929.510588
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1971,0.0,,35279985.902117595,176399929.510588
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1971,0.0,,35279985.902117595,176399929.510588
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1971,0.0,,35279985.902117595,176399929.510588
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1971,202607850.246528,inf,40521570.0493056,379007779.75711596
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1972,0.0,-100.0,40521570.0493056,379007779.75711596
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1972,0.0,,40521570.0493056,379007779.75711596
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1972,0.0,,40521570.0493056,379007779.75711596
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1972,0.0,,40521570.0493056,379007779.75711596
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1972,213610239.859616,inf,42722047.9719232,592618019.616732
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1973,0.0,-100.0,42722047.9719232,592618019.616732
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1973,0.0,,42722047.9719232,592618019.616732
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1973,0.0,,42722047.9719232,592618019.616732
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1973,0.0,,42722047.9719232,592618019.616732
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1973,381226561.155912,inf,76245312.2311824,973844580.772644
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1974,0.0,-100.0,76245312.2311824,973844580.772644
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1974,0.0,,76245312.2311824,973844580.772644
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1974,0.0,,76245312.2311824,973844580.772644
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1974,0.0,,76245312.2311824,973844580.772644
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1974,303788916.826523,inf,60757783.365304604,1277633497.599167
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1975,387000000.0,27.391085903569756,138157783.36530462,1664633497.599167
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1975,0.0,-100.0,138157783.36530462,1664633497.599167
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1975,130252447.102641,inf,164208272.78583282,1794885944.7018082
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1975,0.0,-100.0,164208272.78583282,1794885944.7018082
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1975,307533307.376889,inf,164957150.895906,2102419252.0786972
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1976,304000000.0,-1.148918602354454,148357150.895906,2406419252.078697
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1976,0.0,-100.0,148357150.895906,2406419252.078697
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1976,195369308.555802,inf,161380523.1865382,2601788560.634499
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1976,0.0,-100.0,161380523.1865382,2601788560.634499
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1976,365699999.682,inf,173013861.64756042,2967488560.316499
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1977,380000000.0,3.9103090868019663,188213861.64756042,3347488560.316499
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1977,0.0,-100.0,188213861.64756042,3347488560.316499
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1977,275397111.195424,inf,204219422.1754848,3622885671.5119233
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1977,0.0,-100.0,204219422.1754848,3622885671.5119233
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1977,264499999.77,inf,183979422.1930848,3887385671.2819233
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1978,666000000.0,151.79584142878278,241179422.1930848,4553385671.281923
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1978,0.0,-100.0,241179422.1930848,4553385671.281923
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1978,390030451.118732,inf,264106090.1777464,4943416122.400656
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1978,0.0,-100.0,264106090.1777464,4943416122.400656
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1978,396749999.655,inf,290556090.1547464,5340166122.0556555
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1979,1279000000.0,222.36925043785104,413156090.1547464,6619166122.0556555
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1979,0.0,-100.0,413156090.1547464,6619166122.0556555
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1979,748533633.056541,inf,484856726.5423082,7367699755.112196
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1979,0.0,-100.0,484856726.5423082,7367699755.112196
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1979,574786105.460548,inf,520463947.7034178,7942485860.572744
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1980,1406000000.0,144.61273274402498,545863947.7034178,9348485860.572744
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1980,0.0,-100.0,545863947.7034178,9348485860.572744
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1980,1057890929.21605,inf,607735406.9353197,10406376789.788794
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1980,0.0,-100.0,607735406.9353197,10406376789.788794
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1980,573999887.44314,inf,607578163.331838,10980376677.231934
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1981,1382000000.0,140.76659773507356,602778163.331838,12362376677.231934
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1981,0.0,-100.0,602778163.331838,12362376677.231934
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1981,971628244.104853,inf,585525626.3095987,13334004921.336786
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1981,0.0,-100.0,585525626.3095987,13334004921.336786
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1981,545422755.605132,inf,579810199.9419969,13879427676.941917
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1982,1487000000.0,172.63255607115497,600810199.9419969,15366427676.941917
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1982,1092000000.0,-26.563550773369204,819210199.9419969,16458427676.941917
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1982,607834981.678569,-44.33745589024094,746451547.4567401,17066262658.620487
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Russian Federation,RUS,1982,0.0,-100.0,746451547.4567401,17066262658.620487
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,South Africa,ZAF,1982,466572924.567949,inf,730681581.2493036,17532835583.188435
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Brazil,BRA,1983,719000000.0,54.102384030492324,577081581.2493036,18251835583.188435
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,China,CHN,1983,1549000000.0,115.43810848400557,668481581.2493036,19800835583.188435
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,India,IND,1983,479777659.876966,-69.02661976262324,642870116.888983,20280613243.0654
