SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Brazil,BRA,1970,0.0,,,0.0
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,China,CHN,1970,0.0,,,0.0
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,India,IND,1970,0.0,,,0.0
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,South Africa,ZAF,1970,587999765.035294,inf,117599953.00705881,587999765.035294
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Brazil,BRA,1971,0.0,-100.0,117599953.00705881,587999765.035294
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,China,CHN,1971,0.0,,117599953.00705881,587999765.035294
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,India,IND,1971,0.0,,117599953.00705881,587999765.035294
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Russian Federation,RUS,1971,0.0,,117599953.00705881,587999765.035294
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,South Africa,ZAF,1971,703190504.893943,inf,140638100.97878858,1291190269.929237
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Brazil,BRA,1972,0.0,-100.0,140638100.97878858,1291190269.929237
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,China,CHN,1972,0.0,,140638100.97878858,1291190269.929237
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,India,IND,1972,0.0,,140638100.97878858,1291190269.929237
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Russian Federation,RUS,1972,0.0,,140638100.97878858,1291190269.929237
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,South Africa,ZAF,1972,743726531.99652,inf,148745306.399304,2034916801.925757
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Brazil,BRA,1973,0.0,-100.0,148745306.399304,2034916801.925757
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,China,CHN,1973,0.0,,148745306.399304,2034916801.925757
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,India,IND,1973,0.0,,148745306.399304,2034916801.925757
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Russian Federation,RUS,1973,0.0,,148745306.399304,2034916801.925757
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,South Africa,ZAF,1973,991571230.214067,inf,198314246.0428134,3026488032.139824
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Brazil,BRA,1974,0.0,-100.0,198314246.0428134,3026488032.139824
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,China,CHN,1974,0.0,,198314246.0428134,3026488032.139824
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,India,IND,1974,0.0,,198314246.0428134,3026488032.139824
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Russian Federation,RUS,1974,0.0,,198314246.0428134,3026488032.139824
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,South Africa,ZAF,1974,1249094465.01576,inf,249818893.00315198,4275582497.155584
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Brazil,BRA,1975,1060000000.0,-15.138523971713713,461818893.003152,5335582497.155584
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,China,CHN,1975,0.0,-100.0,461818893.003152,5335582497.155584
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,India,IND,1975,840616811.85186,inf,629942255.373524,6176199309.007444
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Russian Federation,RUS,1975,0.0,-100.0,629942255.373524,6176199309.007444
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,South Africa,ZAF,1975,1483948140.45624,inf,676912990.46162,7660147449.463684
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Brazil,BRA,1976,1018000000.0,-31.399219942617684,668512990.46162,8678147449.463684
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,China,CHN,1976,0.0,-100.0,668512990.46162,8678147449.463684
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,India,IND,1976,1055835076.21675,inf,711556643.334598,9733982525.680433
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Russian Federation,RUS,1976,0.0,-100.0,711556643.334598,9733982525.680433
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,South Africa,ZAF,1976,1281099998.886,inf,670987015.02055,11015082524.566433
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Brazil,BRA,1977,1207000000.0,-5.784091714185835,708787015.02055,12222082524.566433
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,China,CHN,1977,0.0,-100.0,708787015.02055,12222082524.566433
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,India,IND,1977,1316486936.8595,inf,760917387.1491,13538569461.425934
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Russian Federation,RUS,1977,0.0,-100.0,760917387.1491,13538569461.425934
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,South Africa,ZAF,1977,1419099998.766,inf,788517387.1251,14957669460.191935
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Brazil,BRA,1978,1350000000.0,-4.869283265878865,817117387.1251,16307669460.191935
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,China,CHN,1978,0.0,-100.0,817117387.1251,16307669460.191935
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,India,IND,1978,1606852918.3388,inf,875190583.4209601,17914522378.530735
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Russian Federation,RUS,1978,0.0,-100.0,875190583.4209601,17914522378.530735
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,South Africa,ZAF,1978,1676699998.542,inf,926710583.37616,19591222377.072735
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Brazil,BRA,1979,1475000000.0,-12.02958184036449,951710583.37616,21066222377.072735
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,China,CHN,1979,0.0,-100.0,951710583.37616,21066222377.072735
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,India,IND,1979,2082933821.57813,inf,1046926764.0240262,23149156198.650864
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Russian Federation,RUS,1979,0.0,-100.0,1046926764.0240262,23149156198.650864
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,South Africa,ZAF,1979,2029111573.54723,inf,1117409079.025072,25178267772.198093
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Brazil,BRA,1980,1737000000.0,-14.396033089327343,1169809079.025072,26915267772.198093
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,China,CHN,1980,0.0,-100.0,1169809079.025072,26915267772.198093
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,India,IND,1980,2971257228.1798,inf,1347473760.345406,29886525000.37789
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Russian Federation,RUS,1980,0.0,-100.0,1347473760.345406,29886525000.37789
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,South Africa,ZAF,1980,2488257605.02526,inf,1439302966.641012,32374782605.403152
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Brazil,BRA,1981,2265000000.0,-8.972447409559647,1544902966.6410122,34639782605.40315
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,China,CHN,1981,0.0,-100.0,1544902966.6410122,34639782605.40315
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,India,IND,1981,2797358479.03271,inf,1510123216.8115942,37437141084.43586
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,Russian Federation,RUS,1981,0.0,-100.0,1510123216.811594,37437141084.43586
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,South Africa,ZAF,1981,2612373640.9441,inf,1534946423.995362,40049514725.37996
