SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Brazil,BRA,1970,41.4718356399719,,,41.4718356399719
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,China,CHN,1970,24.9287186910558,-39.890004128419406,,66.4005543310277
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,India,IND,1970,35.0468708636193,40.588336279769564,,101.447425194647
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Russian Federation,RUS,1970,0.0,-100.0,,101.447425194647
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,South Africa,ZAF,1970,51.2389784128915,inf,30.5372807215077,152.6864036075385
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Brazil,BRA,1971,41.9154287408879,-18.19620523436868,30.625999341690896,194.6018323484264
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,China,CHN,1971,24.4454393748219,-41.67913794717857,30.529343478444122,219.0472717232483
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,India,IND,1971,35.803649082949,46.46351220762157,30.680699122310056,254.85092080619728
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Russian Federation,RUS,1971,0.0,-100.0,30.680699122310056,254.85092080619728
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,South Africa,ZAF,1971,52.1556762703706,inf,30.864038693805878,307.00659707656786
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Brazil,BRA,1972,41.3705673652472,-20.678686724747486,30.75506641867774,348.37716444181507
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,China,CHN,1972,24.8119417019276,-40.02513554413917,30.82836688409888,373.18910614374266
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,India,IND,1972,35.5216549183548,43.16354336587522,30.77196805118004,408.71076106209745
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Russian Federation,RUS,1972,0.0,-100.0,30.77196805118004,408.71076106209745
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,South Africa,ZAF,1972,51.2973565598733,inf,30.600304109080575,460.00811762197077
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Brazil,BRA,1973,40.8207651773825,-20.423257814976736,30.490343671507638,500.82888279935327
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,China,CHN,1973,24.2507800595022,-40.592049281479916,30.37811134302256,525.0796628588555
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,India,IND,1973,32.9477056143663,35.862456933447696,29.86332148222486,558.0273684732218
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Russian Federation,RUS,1973,0.0,-100.0,29.86332148222486,558.0273684732218
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,South Africa,ZAF,1973,50.0541072306936,inf,29.61467161638892,608.0814757039154
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Brazil,BRA,1974,40.8626322349666,-18.36307848497738,29.623045027905743,648.944107938882
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,China,CHN,1974,24.1432966722071,-40.91595339874503,29.601548350446716,673.0874046110891
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,India,IND,1974,33.6105959520801,39.2129517704656,29.73412641798948,706.6980005631692
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Russian Federation,RUS,1974,0.0,-100.0,29.73412641798948,706.6980005631692
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,South Africa,ZAF,1974,48.3006797281088,inf,29.38344091747252,754.998680291278
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Brazil,BRA,1975,42.1406908594099,-12.753420662761528,29.63905264236118,797.1393711506879
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,China,CHN,1975,22.6879420957394,-46.161437714841725,29.34798172706764,819.8273132464273
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,India,IND,1975,35.1392413946557,54.880690572877256,29.65371081558276,854.9665546410829
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Russian Federation,RUS,1975,0.0,-100.0,29.65371081558276,854.9665546410829
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,South Africa,ZAF,1975,48.4673242035053,inf,29.68703971066206,903.4338788445882
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,Brazil,BRA,1976,41.648656969874,-14.068586095244262,29.588632932754876,945.0825358144622
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,China,CHN,1976,22.6059024292311,-45.72237360358875,29.57222499945322,967.6884382436933
