SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1970,0.0293040001,,,0.0293040001
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1970,56830000000.0,193932568270673.38,,56830000000.029305
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1970,164078452694.86,188.7180233940876,,220908452694.88928
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1970,0.0,-100.0,,220908452694.88928
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1970,6741000000.0,inf,45529890538.97786,227649452694.88928
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1971,0.0396390008,-99.99999999941197,45529890538.97993,227649452694.92892
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1971,60060000000.0,151517441882542.03,46175890538.97993,287709452694.92896
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1971,179447571430.73,198.78050521267068,49249714286.15393,467157024125.65894
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1971,0.0,-100.0,49249714286.15393,467157024125.65894
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1971,7585000000.0,inf,49418514286.15393,474742024125.65894
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1972,0.0522319991,-99.99999999931137,49418514286.15645,474742024125.7112
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1972,63330000000.0,121247513193397.52,50072514286.15645,538072024125.7112
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1972,196240578335.4,209.8698536797726,53431115667.09045,734312602461.1112
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1972,0.0,-100.0,53431115667.09045,734312602461.1112
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1972,8422000000.0,inf,53598515667.09045,742734602461.1112
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1973,0.0720559955,-99.99999999914444,53598515667.094406,742734602461.1832
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1973,66840000000.0,92761191537389.77,54300515667.094406,809574602461.1832
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1973,221542535485.82,231.4520279560443,59360907097.17842,1031117137947.0032
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1973,0.0,-100.0,59360907097.17842,1031117137947.0032
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1973,10176000000.0,inf,59711707097.17842,1041293137947.0032
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1974,0.1060230024,-99.99999999895812,59711707097.1852,1041293137947.1093
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1974,68270000000.0,64391687138161.984,59997707097.18522,1109563137947.1094
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1974,266793772109.03,290.7921079669401,69047954421.82721,1376356910056.1394
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1974,0.0,-100.0,69047954421.82721,1376356910056.1394
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1974,12080000000.0,inf,69428754421.82721,1388436910056.1394
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1975,0.1539879814,-99.99999999872526,69428754421.8368,1388436910056.2935
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1975,68960000000.0,44782715750208.555,69566754421.8368,1457396910056.2935
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1975,299430083935.33,334.20835837489847,76094016787.0968,1756826993991.6235
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1975,0.0,-100.0,76094016787.09682,1756826993991.6235
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1975,13661000000.0,inf,76410216787.09682,1770487993991.6235
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1976,0.2466700003,-99.99999999819434,76410216787.11534,1770487993991.87
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1976,67560000000.0,27388819036602.293,76130216787.11536,1838047993991.87
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1976,328720009016.43,386.56010807642093,81988201803.33534,2166768003008.3
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1976,0.0,-100.0,81988201803.33534,2166768003008.3
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1976,15571000000.0,inf,82370201803.33534,2182339003008.3
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1977,0.3725150079,-99.99999999760763,82370201803.3605,2182339003008.6726
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1977,79010000000.0,21209883715836.055,84660201803.3605,2261349003008.673
"Services, value added (current LCU)",NV.SRV.TOTL.CN,India,IND,1977,360560599240.17,356.34805624625994,91028319848.1085,2621909602248.843
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Russian Federation,RUS,1977,0.0,-100.0,91028319848.1085,2621909602248.843
"Services, value added (current LCU)",NV.SRV.TOTL.CN,South Africa,ZAF,1977,17386000000.0,inf,91391319848.1085,2639295602248.843
"Services, value added (current LCU)",NV.SRV.TOTL.CN,Brazil,BRA,1978,0.5632299632,-99.99999999676044,91391319848.14665,2639295602249.406
"Services, value added (current LCU)",NV.SRV.TOTL.CN,China,CHN,1978,90507746440.0,16069412558454.021,93690869136.14665,2729803348689.406
