SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Services, value added (current US$)",NV.SRV.TOTL.CD,Brazil,BRA,1970,17554032743.0872,,,17554032743.0872
"Services, value added (current US$)",NV.SRV.TOTL.CD,China,CHN,1970,0.0,-100.0,,17554032743.0872
"Services, value added (current US$)",NV.SRV.TOTL.CD,India,IND,1970,18316295993.7609,inf,,35870328736.8481
"Services, value added (current US$)",NV.SRV.TOTL.CD,Russian Federation,RUS,1970,0.0,-100.0,,35870328736.8481
"Services, value added (current US$)",NV.SRV.TOTL.CD,South Africa,ZAF,1970,9437211255.77488,inf,9061507998.524595,45307539992.62298
"Services, value added (current US$)",NV.SRV.TOTL.CD,Brazil,BRA,1971,20624258985.6188,118.5418809290538,9675553247.030916,65931798978.241776
"Services, value added (current US$)",NV.SRV.TOTL.CD,China,CHN,1971,0.0,-100.0,9675553247.030916,65931798978.241776
"Services, value added (current US$)",NV.SRV.TOTL.CD,India,IND,1971,20151161480.8564,inf,10042526344.450016,86082960459.09818
"Services, value added (current US$)",NV.SRV.TOTL.CD,Russian Federation,RUS,1971,0.0,-100.0,10042526344.450016,86082960459.09818
"Services, value added (current US$)",NV.SRV.TOTL.CD,South Africa,ZAF,1971,10605425055.9284,inf,10276169104.48072,96688385515.02658
"Services, value added (current US$)",NV.SRV.TOTL.CD,Brazil,BRA,1972,24217920064.9125,128.35407291266233,10994901320.339458,120906305579.93909
"Services, value added (current US$)",NV.SRV.TOTL.CD,China,CHN,1972,0.0,-100.0,10994901320.339458,120906305579.93909
"Services, value added (current US$)",NV.SRV.TOTL.CD,India,IND,1972,21293185755.9131,inf,11223306175.3508,142199491335.85217
"Services, value added (current US$)",NV.SRV.TOTL.CD,Russian Federation,RUS,1972,0.0,-100.0,11223306175.3508,142199491335.85217
"Services, value added (current US$)",NV.SRV.TOTL.CD,South Africa,ZAF,1972,10956159750.2277,inf,11293453114.210659,153155651086.07986
"Services, value added (current US$)",NV.SRV.TOTL.CD,Brazil,BRA,1973,32362317991.1432,195.38012158384802,12922332699.4568,185517969077.22305
"Services, value added (current US$)",NV.SRV.TOTL.CD,China,CHN,1973,0.0,-100.0,12922332699.4568,185517969077.22305
"Services, value added (current US$)",NV.SRV.TOTL.CD,India,IND,1973,24258199401.6401,inf,13515335428.6022,209776168478.86316
"Services, value added (current US$)",NV.SRV.TOTL.CD,Russian Federation,RUS,1973,0.0,-100.0,13515335428.6022,209776168478.86316
"Services, value added (current US$)",NV.SRV.TOTL.CD,South Africa,ZAF,1973,14662824207.4928,inf,14256668320.055222,224438992686.35596
"Services, value added (current US$)",NV.SRV.TOTL.CD,Brazil,BRA,1974,42961340103.0038,192.994988516948,16376472742.427338,267400332789.35974
"Services, value added (current US$)",NV.SRV.TOTL.CD,China,CHN,1974,0.0,-100.0,16376472742.427338,267400332789.35974
"Services, value added (current US$)",NV.SRV.TOTL.CD,India,IND,1974,29548126947.7923,inf,17434458251.657784,296948459737.15204
"Services, value added (current US$)",NV.SRV.TOTL.CD,Russian Federation,RUS,1974,0.0,-100.0,17434458251.657784,296948459737.15204
"Services, value added (current US$)",NV.SRV.TOTL.CD,South Africa,ZAF,1974,17777777777.7778,inf,18057448965.714783,314726237514.9298
"Services, value added (current US$)",NV.SRV.TOTL.CD,Brazil,BRA,1975,52131985943.578,193.24242093262586,19891578133.82962,366858223458.5078
"Services, value added (current US$)",NV.SRV.TOTL.CD,China,CHN,1975,0.0,-100.0,19891578133.82962,366858223458.5078
"Services, value added (current US$)",NV.SRV.TOTL.CD,India,IND,1975,30640339299.3511,inf,20110020604.14138,397498562757.8589
"Services, value added (current US$)",NV.SRV.TOTL.CD,Russian Federation,RUS,1975,0.0,-100.0,20110020604.14138,397498562757.8589
"Services, value added (current US$)",NV.SRV.TOTL.CD,South Africa,ZAF,1975,18473292765.382,inf,20249123601.662224,415971855523.2409
"Services, value added (current US$)",NV.SRV.TOTL.CD,Brazil,BRA,1976,63588345006.7927,244.21770831215315,22540395414.305164,479560200530.0336
"Services, value added (current US$)",NV.SRV.TOTL.CD,China,CHN,1976,0.0,-100.0,22540395414.305164,479560200530.0336
"Services, value added (current US$)",NV.SRV.TOTL.CD,India,IND,1976,32289004646.9656,inf,22870128483.82806,511849205176.9992
"Services, value added (current US$)",NV.SRV.TOTL.CD,Russian Federation,RUS,1976,0.0,-100.0,22870128483.82806,511849205176.9992
"Services, value added (current US$)",NV.SRV.TOTL.CD,South Africa,ZAF,1976,17905933762.6495,inf,22756656683.281563,529755138939.6487
"Services, value added (current US$)",NV.SRV.TOTL.CD,Brazil,BRA,1977,72463445444.5186,304.6895649512128,24531676770.826744,602218584384.1672
"Services, value added (current US$)",NV.SRV.TOTL.CD,China,CHN,1977,0.0,-100.0,24531676770.826744,602218584384.1672
"Services, value added (current US$)",NV.SRV.TOTL.CD,India,IND,1977,37269502435.8434,inf,25527776328.602303,639488086820.0106
"Services, value added (current US$)",NV.SRV.TOTL.CD,Russian Federation,RUS,1977,0.0,-100.0,25527776328.602303,639488086820.0106
"Services, value added (current US$)",NV.SRV.TOTL.CD,South Africa,ZAF,1977,19993100275.989,inf,25945209631.270203,659481187095.9996
"Services, value added (current US$)",NV.SRV.TOTL.CD,Brazil,BRA,1978,85758087842.5497,328.93841704751566,28604138110.876423,745239274938.5493
"Services, value added (current US$)",NV.SRV.TOTL.CD,China,CHN,1978,0.0,-100.0,28604138110.876423,745239274938.5493
"Services, value added (current US$)",NV.SRV.TOTL.CD,India,IND,1978,42314011847.2401,inf,29613039993.15576,787553286785.7894
"Services, value added (current US$)",NV.SRV.TOTL.CD,Russian Federation,RUS,1978,0.0,-100.0,29613039993.15576,787553286785.7894
"Services, value added (current US$)",NV.SRV.TOTL.CD,South Africa,ZAF,1978,22312557497.7001,inf,30076931437.49798,809865844283.4895
"Services, value added (current US$)",NV.SRV.TOTL.CD,Brazil,BRA,1979,97744976684.0145,338.07159575539333,32474309205.790943,907610820967.504
"Services, value added (current US$)",NV.SRV.TOTL.CD,China,CHN,1979,0.0,-100.0,32474309205.790943,907610820967.504
"Services, value added (current US$)",NV.SRV.TOTL.CD,India,IND,1979,48285817384.9479,inf,33668670313.3325,955896638352.4519
"Services, value added (current US$)",NV.SRV.TOTL.CD,Russian Federation,RUS,1979,0.0,-100.0,33668670313.3325,955896638352.4519
"Services, value added (current US$)",NV.SRV.TOTL.CD,South Africa,ZAF,1979,26229216152.019,inf,34452002044.19628,982125854504.471
"Services, value added (current US$)",NV.SRV.TOTL.CD,Brazil,BRA,1980,95888361359.7574,265.5784481091951,34080678979.34486,1078014215864.2284
"Services, value added (current US$)",NV.SRV.TOTL.CD,China,CHN,1980,0.0,-100.0,34080678979.34486,1078014215864.2284
"Services, value added (current US$)",NV.SRV.TOTL.CD,India,IND,1980,57446418607.5037,inf,35912799223.856026,1135460634471.7322
"Services, value added (current US$)",NV.SRV.TOTL.CD,Russian Federation,RUS,1980,0.0,-100.0,35912799223.856026,1135460634471.7322
"Services, value added (current US$)",NV.SRV.TOTL.CD,South Africa,ZAF,1980,35742167437.0827,inf,37815389480.86877,1171202801908.815
