SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1970,60.0065614331945,,,60.0065614331945
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1970,0.0,-100.0,,60.0065614331945
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1970,27.6590493402945,inf,,87.66561077348899
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1970,0.0,-100.0,,87.66561077348899
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1970,0.0,,17.5331221546978,87.66561077348899
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1971,52.6278865890245,inf,16.0573871858638,140.2934973625135
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1971,0.0,-100.0,16.0573871858638,140.2934973625135
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1971,25.5253179049731,inf,15.630640898799522,165.8188152674866
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1971,0.0,-100.0,15.630640898799522,165.8188152674866
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1971,0.0,,15.630640898799522,165.8188152674866
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1972,33.541403646529,inf,11.813344310300419,199.3602189140156
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1972,0.0,-100.0,11.813344310300419,199.3602189140156
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1972,25.592251897629,inf,11.8267311088316,224.95247081164462
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1972,0.0,-100.0,11.8267311088316,224.95247081164462
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1972,0.0,,11.8267311088316,224.95247081164462
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1973,27.670790437921,inf,10.65260846711,252.62326124956562
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1973,0.0,-100.0,10.65260846711,252.62326124956562
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1973,23.1997899946527,inf,10.17411608651474,275.82305124421833
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1973,0.0,-100.0,10.17411608651474,275.82305124421833
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,South Africa,ZAF,1973,0.0,,10.17411608651474,275.82305124421833
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Brazil,BRA,1974,49.4589728649365,inf,14.53175257191784,325.2820241091548
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,China,CHN,1974,0.0,-100.0,14.53175257191784,325.2820241091548
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,India,IND,1974,18.7985260079817,inf,13.651499774583641,344.0805501171365
Short-term debt (% of total reserves),DT.DOD.DSTC.IR.ZS,Russian Federation,RUS,1974,0.0,-100.0,13.651499774583641,344.0805501171365
