SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Brazil,BRA,1970,0.0112849996,,,0.0112849996
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,China,CHN,1970,0.0,-100.0,,0.0112849996
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,India,IND,1970,34381647138.8705,inf,,34381647138.88178
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Russian Federation,RUS,1970,0.0,-100.0,,34381647138.88178
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,South Africa,ZAF,1970,771000000.0,inf,7030529427.776357,35152647138.88178
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Brazil,BRA,1971,0.0135690002,-99.99999999824007,7030529427.776814,35152647138.895355
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,China,CHN,1971,0.0,-100.0,7030529427.776814,35152647138.895355
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,India,IND,1971,39664103079.6209,inf,8087020615.926895,74816750218.51627
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Russian Federation,RUS,1971,0.0,-100.0,8087020615.926895,74816750218.51627
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,South Africa,ZAF,1971,864000000.0,inf,8105620615.926895,75680750218.51627
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Brazil,BRA,1972,0.0187100004,-99.9999999978345,8105620615.927922,75680750218.53497
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,China,CHN,1972,0.0,-100.0,8105620615.927922,75680750218.53497
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,India,IND,1972,44762671026.3907,inf,9125334205.281881,120443421244.92567
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Russian Federation,RUS,1972,0.0,-100.0,9125334205.281881,120443421244.92567
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,South Africa,ZAF,1972,932000000.0,inf,9138934205.281881,121375421244.92567
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Brazil,BRA,1973,0.025262,-99.99999999728949,9138934205.283192,121375421244.95094
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,China,CHN,1973,0.0,-100.0,9138934205.283192,121375421244.95094
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,India,IND,1973,50216995444.8943,inf,10229799088.983913,171592416689.84525
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Russian Federation,RUS,1973,0.0,-100.0,10229799088.983913,171592416689.84525
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,South Africa,ZAF,1973,1083000000.0,inf,10259999088.983913,172675416689.84525
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Brazil,BRA,1974,0.0339629985,-99.99999999686399,10259999088.985653,172675416689.8792
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,China,CHN,1974,0.0,-100.0,10259999088.985653,172675416689.8792
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,India,IND,1974,61416388955.8008,inf,12499877791.166952,234091805645.68
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Russian Federation,RUS,1974,0.0,-100.0,12499877791.166952,234091805645.68
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,South Africa,ZAF,1974,1221000000.0,inf,12527477791.166952,235312805645.68
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Brazil,BRA,1975,0.0427730009,-99.9999999964969,12527477791.168713,235312805645.72278
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,China,CHN,1975,0.0,-100.0,12527477791.168713,235312805645.72278
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,India,IND,1975,74294677636.625,inf,15103135527.333553,309607483282.3478
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Russian Federation,RUS,1975,0.0,-100.0,15103135527.333553,309607483282.3478
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,South Africa,ZAF,1975,1415000000.0,inf,15141935527.333553,311022483282.3478
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Brazil,BRA,1976,0.0705789998,-99.99999999501209,15141935527.339115,311022483282.41833
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,China,CHN,1976,0.0,-100.0,15141935527.339115,311022483282.41833
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,India,IND,1976,82005216923.3402,inf,16684043384.682154,393027700205.75854
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Russian Federation,RUS,1976,0.0,-100.0,16684043384.682154,393027700205.75854
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,South Africa,ZAF,1976,1666000000.0,inf,16734243384.682154,394693700205.75854
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Brazil,BRA,1977,0.1076380014,-99.99999999353913,16734243384.689566,394693700205.8662
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,China,CHN,1977,0.0,-100.0,16734243384.689566,394693700205.8662
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,India,IND,1977,85975953181.84,inf,17528390636.389526,480669653387.7062
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Russian Federation,RUS,1977,0.0,-100.0,17528390636.389526,480669653387.7062
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,South Africa,ZAF,1977,2080000000.0,inf,17611190636.389526,482749653387.7062
Taxes less subsidies on products (current LCU),NY.TAX.NIND.CN,Brazil,BRA,1978,0.1515920013,-99.99999999271192,17611190636.39832,482749653387.8578
