SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Brazil,BRA,1970,0.0,,,0.0
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,China,CHN,1970,0.0,,,0.0
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,India,IND,1970,0.0,,,0.0
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Russian Federation,RUS,1970,0.0,,,0.0
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,South Africa,ZAF,1970,0.0,,0.0,0.0
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Brazil,BRA,1971,22.700015231781,inf,4.540003046356199,22.700015231781
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,China,CHN,1971,0.0,-100.0,4.540003046356199,22.700015231781
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,India,IND,1971,13.3546609007128,inf,7.210935226498759,36.054676132493796
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Russian Federation,RUS,1971,0.0,-100.0,7.210935226498759,36.054676132493796
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,South Africa,ZAF,1971,0.0,,7.210935226498759,36.054676132493796
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Brazil,BRA,1972,35.5607566264599,inf,9.783083505434538,71.61543275895369
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,China,CHN,1972,0.0,-100.0,9.78308350543454,71.61543275895369
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,India,IND,1972,13.6361027084753,inf,9.83937186698704,85.251535467429
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Russian Federation,RUS,1972,0.0,-100.0,9.83937186698704,85.251535467429
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,South Africa,ZAF,1972,0.0,,9.83937186698704,85.251535467429
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Brazil,BRA,1973,43.202356243503,inf,11.367691790395659,128.453891710932
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,China,CHN,1973,0.0,-100.0,11.367691790395659,128.453891710932
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,India,IND,1973,14.8580826947513,inf,11.612087787650859,143.3119744056833
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,Russian Federation,RUS,1973,0.0,-100.0,11.612087787650859,143.3119744056833
