SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1970,0.0,,,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1970,0.0,,,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1970,0.0,,,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1970,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1971,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1971,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1971,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1971,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1971,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1972,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1972,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1972,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1972,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1972,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1973,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1973,0.0,,0.0,0.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1973,74796800.0,inf,14959360.0,74796800.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1973,0.0,-100.0,14959360.0,74796800.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1973,0.0,,14959360.0,74796800.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1974,0.0,,14959360.0,74796800.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1974,0.0,,14959360.0,74796800.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1974,608514556.0,inf,121702911.2,683311356.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1974,0.0,-100.0,121702911.2,683311356.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1974,0.0,,121702911.2,683311356.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1975,0.0,,121702911.2,683311356.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1975,0.0,,121702911.2,683311356.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1975,817523224.0,inf,163504644.8,1500834580.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1975,0.0,-100.0,163504644.8,1500834580.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1975,0.0,,163504644.8,1500834580.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1976,0.0,,163504644.8,1500834580.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1976,0.0,,163504644.8,1500834580.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1976,472063147.3,inf,94412629.46000001,1972897727.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1976,0.0,-100.0,94412629.46000001,1972897727.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1976,0.0,,94412629.46000001,1972897727.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1977,0.0,,94412629.46000001,1972897727.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1977,0.0,,94412629.46000001,1972897727.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1977,151960221.0,inf,30392044.2,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1977,0.0,-100.0,30392044.2,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1977,0.0,,30392044.2,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1978,0.0,,30392044.2,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1978,0.0,,30392044.2,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1978,0.0,,0.0,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1978,0.0,,0.0,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1978,0.0,,0.0,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1979,0.0,,0.0,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1979,0.0,,0.0,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1979,0.0,,0.0,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1979,0.0,,0.0,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1979,0.0,,0.0,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1980,0.0,,0.0,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1980,0.0,,0.0,2124857948.3
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1980,1013962428.7,inf,202792485.74,3138820377.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Russian Federation,RUS,1980,0.0,-100.0,202792485.74,3138820377.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,South Africa,ZAF,1980,0.0,,202792485.74,3138820377.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,Brazil,BRA,1981,0.0,,202792485.74,3138820377.0
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,China,CHN,1981,884059046.9,inf,379604295.12,4022879423.9
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,India,IND,1981,1623734675.6,83.6681250300771,501558744.5,5646614099.5
