SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1970,1143487000.0,,,1143487000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1970,0.0,-100.0,,1143487000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1970,-48444000.0,-inf,,1095043000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1970,0.0,-100.0,,1095043000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1970,0.0,,219008600.0,1095043000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1971,1233192000.0,inf,236949600.0,2328235000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1971,0.0,-100.0,236949600.0,2328235000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1971,-19010000.0,-inf,242836400.0,2309225000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1971,0.0,-100.0,242836400.0,2309225000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1971,0.0,,242836400.0,2309225000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1972,3174186000.0,inf,631035200.0,5483411000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1972,0.0,-100.0,631035200.0,5483411000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1972,-38383000.0,-inf,627160600.0,5445028000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1972,0.0,-100.0,627160600.0,5445028000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1972,0.0,,627160600.0,5445028000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1973,2275668000.0,inf,447457000.0,7720696000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1973,0.0,-100.0,447457000.0,7720696000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1973,-97505000.0,-inf,435632600.0,7623191000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1973,0.0,-100.0,435632600.0,7623191000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1973,0.0,,435632600.0,7623191000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1974,5511440000.0,inf,1082787000.0,13134631000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1974,0.0,-100.0,1082787000.0,13134631000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1974,7501000.0,inf,1103788200.0,13142132000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1974,0.0,-100.0,1103788200.0,13142132000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1974,0.0,,1103788200.0,13142132000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1975,4216869000.0,inf,844874000.0,17359001000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1975,0.0,-100.0,844874000.0,17359001000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1975,78033000.0,inf,858980400.0,17437034000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1975,0.0,-100.0,858980400.0,17437034000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1975,0.0,,858980400.0,17437034000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1976,5031308000.0,inf,1021868200.0,22468342000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1976,0.0,-100.0,1021868200.0,22468342000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1976,-14428000.0,-inf,1003376000.0,22453914000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1976,0.0,-100.0,1003376000.0,22453914000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1976,0.0,,1003376000.0,22453914000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1977,4940453000.0,inf,985205000.0,27394367000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1977,0.0,-100.0,985205000.0,27394367000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1977,87288000.0,inf,1005548200.0,27481655000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1977,0.0,-100.0,1005548200.0,27481655000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1977,0.0,,1005548200.0,27481655000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1978,8010937000.0,inf,1619645000.0,35492592000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1978,0.0,-100.0,1619645000.0,35492592000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1978,-9652000.0,-inf,1600257000.0,35482940000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1978,0.0,-100.0,1600257000.0,35482940000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1978,0.0,,1600257000.0,35482940000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1979,4601533000.0,inf,918376200.0,40084473000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1979,0.0,-100.0,918376200.0,40084473000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1979,13092000.0,inf,922925000.0,40097565000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1979,0.0,-100.0,922925000.0,40097565000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1979,0.0,,922925000.0,40097565000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1980,3398491000.0,inf,682316600.0,43496056000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1980,0.0,-100.0,682316600.0,43496056000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1980,789044000.0,inf,837507000.0,44285100000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1980,0.0,-100.0,837507000.0,44285100000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1980,0.0,,837507000.0,44285100000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1981,7568736000.0,inf,1671556000.0,51853836000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1981,106519000.0,-98.59264479564357,1692859800.0,51960355000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1981,828828000.0,678.1034369455215,1700816600.0,52789183000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1981,0.0,-100.0,1700816600.0,52789183000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1981,0.0,,1700816600.0,52789183000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1982,7744225000.0,inf,1735914400.0,60533408000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1982,-144089000.0,-101.86059934983811,1685792800.0,60389319000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1982,1175039000.0,-915.4952841646482,1755035000.0,61564358000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1982,0.0,-100.0,1755035000.0,61564358000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1982,0.0,,1755035000.0,61564358000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1983,2896152000.0,inf,785420400.0,64460510000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1983,359428000.0,-87.58946353644423,886123800.0,64819938000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1983,1311306000.0,264.83134313409084,913377200.0,66131244000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1983,0.0,-100.0,913377200.0,66131244000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1983,0.0,,913377200.0,66131244000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1984,4884807000.0,inf,1311108200.0,71016051000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1984,161298000.0,-96.69796575381586,1271482200.0,71177349000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1984,1727843000.0,971.2116703244925,1354789600.0,72905192000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1984,0.0,-100.0,1354789600.0,72905192000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1984,0.0,,1354789600.0,72905192000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1985,388580000.0,inf,455544200.0,73293772000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1985,1892092000.0,386.92470019043697,801703000.0,75185864000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1985,1954536000.0,3.300262355107475,847041600.0,77140400000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1985,0.0,-100.0,847041600.0,77140400000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1985,0.0,,847041600.0,77140400000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1986,4168000.0,inf,770159200.0,77144568000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1986,2356755000.0,56444.02591170825,863091800.0,79501323000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1986,2480229000.0,5.2391529879007415,968230400.0,81981552000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1986,0.0,-100.0,968230400.0,81981552000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1986,0.0,,968230400.0,81981552000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1987,-59496000.0,-inf,955497600.0,81922056000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1987,4397640000.0,-7491.488503428802,1363674600.0,86319696000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1987,2716366000.0,-38.23127859488271,1410902000.0,89036062000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1987,0.0,-100.0,1410902000.0,89036062000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1987,0.0,,1410902000.0,89036062000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1988,3127559000.0,inf,2048313000.0,92163621000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1988,4654316000.0,48.8162493497325,2099648200.0,96817937000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1988,5003925000.0,7.511501152908395,2557160000.0,101821862000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1988,0.0,-100.0,2557160000.0,101821862000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1988,0.0,,2557160000.0,101821862000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1989,-3326845000.0,-inf,1266279200.0,98495017000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1989,3384451000.0,-201.7315504629762,1012306200.0,101879468000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1989,2201692000.0,-34.946849577671536,451859600.0,104081160000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1989,0.0,-100.0,451859600.0,104081160000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1989,0.0,,451859600.0,104081160000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1990,-539113000.0,-inf,1009406000.0,103542047000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1990,4667616000.0,-965.7954825797189,1266039000.0,108209663000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1990,1457250000.0,-68.77956541412146,1117150600.0,109666913000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1990,0.0,-100.0,1117150600.0,109666913000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1990,0.0,,1117150600.0,109666913000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1991,533027000.0,inf,1331578600.0,110199940000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1991,2468905000.0,363.1857298035559,891836400.0,112668845000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1991,89264000.0,-96.38447003833683,618239200.0,112758109000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Russian Federation,RUS,1991,0.0,-100.0,618239200.0,112758109000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,South Africa,ZAF,1991,0.0,,618239200.0,112758109000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Brazil,BRA,1992,2965370000.0,inf,1104707800.0,115723479000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,China,CHN,1992,8952102000.0,201.88819607671218,2401347200.0,124675581000.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,India,IND,1992,1767071000.0,-80.26082589318129,2736908600.0,126442652000.0
