SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1970,0.0,,,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1970,0.0,,,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1970,0.0,,,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1970,0.0,,,0.0
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1970,21.5753424657534,inf,4.31506849315068,21.5753424657534
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1971,0.0,-100.0,4.31506849315068,21.5753424657534
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1971,0.0,,4.31506849315068,21.5753424657534
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1971,0.0,,4.31506849315068,21.5753424657534
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1971,0.0,,4.31506849315068,21.5753424657534
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1971,21.5273412729396,inf,4.30546825458792,43.102683738693
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1972,0.0,-100.0,4.30546825458792,43.102683738693
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1972,0.0,,4.30546825458792,43.102683738693
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1972,0.0,,4.30546825458792,43.102683738693
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1972,0.0,,4.30546825458792,43.102683738693
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1972,23.7938689406272,inf,4.75877378812544,66.8965526793202
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1973,0.0,-100.0,4.75877378812544,66.8965526793202
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1973,0.0,,4.75877378812544,66.8965526793202
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1973,0.0,,4.75877378812544,66.8965526793202
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1973,0.0,,4.75877378812544,66.8965526793202
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1973,23.0272413261317,inf,4.60544826522634,89.9237940054519
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1974,0.0,-100.0,4.60544826522634,89.9237940054519
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1974,0.0,,4.60544826522634,89.9237940054519
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1974,0.0,,4.60544826522634,89.9237940054519
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1974,0.0,,4.60544826522634,89.9237940054519
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1974,16.1934054381635,inf,3.2386810876327,106.11719944361539
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1975,24.241214057508,49.698061658963844,8.0869238991343,130.35841350112338
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1975,0.0,-100.0,8.0869238991343,130.35841350112338
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1975,22.850172547247,inf,12.6569584085837,153.20858604837036
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1975,0.0,-100.0,12.6569584085837,153.20858604837036
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1975,22.4916580002311,inf,13.91660892099722,175.70024404860146
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1976,27.2378025355359,21.10179932157972,14.515926616602801,202.93804658413737
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1976,0.0,-100.0,14.515926616602801,202.93804658413737
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1976,29.9409066415352,inf,15.934073435460439,232.87895322567257
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1976,0.0,-100.0,15.934073435460439,232.87895322567257
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1976,22.2641509433962,inf,15.88857202409346,255.14310416906878
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1977,35.4815610454708,59.366333509318196,17.537323726080437,290.62466521453956
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1977,0.0,-100.0,17.537323726080437,290.62466521453956
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1977,29.2166493626453,inf,17.39247227030246,319.84131457718485
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1977,0.0,-100.0,17.39247227030246,319.84131457718485
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1977,29.0630975143403,inf,18.75226158449128,348.90441209152516
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1978,39.622641509434,36.333167825223754,19.58047767728392,388.52705360095916
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1978,0.0,-100.0,19.58047767728392,388.52705360095916
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1978,25.9580468397098,inf,18.92875717269682,414.485100440669
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1978,0.0,-100.0,18.92875717269682,414.485100440669
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1978,31.3489896231568,inf,19.38593559446012,445.8340900638258
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1979,35.9041853119242,14.530598094308523,18.64224435495816,481.73827537575
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,China,CHN,1979,0.0,-100.0,18.64224435495816,481.73827537575
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,India,IND,1979,29.2029753730413,inf,19.291230061624464,510.9412507487913
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Russian Federation,RUS,1979,0.0,-100.0,19.291230061624464,510.9412507487913
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,South Africa,ZAF,1979,26.0453552374064,inf,18.23050318447438,536.9866059861977
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Brazil,BRA,1980,34.9620201190721,34.23514404157393,18.04207014590396,571.9486261052698
