SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1970,0.0,,,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1970,0.0,,,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1970,0.0,,,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1970,0.0,,,0.0
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1970,-7.00060808756463,-inf,-1.400121617512926,-7.00060808756463
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1971,0.0,-100.0,-1.400121617512926,-7.00060808756463
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1971,0.0,,-1.400121617512926,-7.00060808756463
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1971,0.0,,-1.400121617512926,-7.00060808756463
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1971,0.0,,-1.400121617512926,-7.00060808756463
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1971,-7.31855694355559,-inf,-1.463711388711118,-14.319165031120221
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1972,0.0,-100.0,-1.463711388711118,-14.319165031120221
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1972,0.0,,-1.463711388711118,-14.319165031120221
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1972,0.0,,-1.463711388711118,-14.319165031120221
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1972,0.0,,-1.463711388711118,-14.319165031120221
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1972,-0.899227592672826,-inf,-0.1798455185345652,-15.218392623793047
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1973,0.0,-100.0,-0.1798455185345652,-15.218392623793047
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1973,0.0,,-0.1798455185345652,-15.218392623793047
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1973,0.0,,-0.1798455185345652,-15.218392623793047
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1973,0.0,,-0.1798455185345652,-15.218392623793047
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1973,-0.882024237371057,-inf,-0.1764048474742114,-16.100416861164103
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1974,0.0,-100.0,-0.1764048474742114,-16.100416861164103
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1974,0.0,,-0.1764048474742114,-16.100416861164103
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1974,0.0,,-0.1764048474742114,-16.100416861164103
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1974,0.0,,-0.1764048474742114,-16.100416861164103
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1974,-3.90599922923316,-inf,-0.781199845846632,-20.006416090397263
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1975,-5.63255607078097,44.202692837877834,-1.907711060002826,-25.63897216117823
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1975,0.0,-100.0,-1.907711060002826,-25.63897216117823
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1975,-0.149804625956451,-inf,-1.937671985194116,-25.788776787134683
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1975,0.0,-100.0,-1.937671985194116,-25.788776787134683
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1975,-6.2892822497722,-inf,-2.414328589301924,-32.078059036906886
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1976,-4.27042476753516,-32.09996629281766,-2.1419023286527623,-36.34848380444205
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1976,0.0,-100.0,-2.1419023286527623,-36.34848380444205
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1976,1.53710181455245,inf,-1.804521040550982,-34.8113819898896
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1976,0.0,-100.0,-1.804521040550982,-34.8113819898896
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1976,-5.22479499827202,-inf,-1.591623590250946,-40.036176988161614
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1977,-2.86596082881762,-45.14692289811427,-1.310730802507438,-42.902137816979234
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1977,0.0,-100.0,-1.310730802507438,-42.902137816979234
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1977,1.74441602927954,inf,-1.2692679595620198,-41.15772178769969
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1977,0.0,-100.0,-1.26926795956202,-41.15772178769969
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1977,0.588418342810263,inf,-0.10662529134556342,-40.56930344488943
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1978,-3.48404827032519,-692.1039534025251,-0.23024277964707734,-44.05335171521462
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1978,0.0,-100.0,-0.23024277964707734,-44.05335171521462
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1978,0.504279977724666,inf,-0.47826998995805214,-43.54907173748995
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1978,0.0,-100.0,-0.47826998995805214,-43.54907173748995
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1978,2.35218856875723,inf,-0.12551594476865874,-41.196883168732725
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1979,-4.67441165219712,-298.7260593935642,-0.36358862114304485,-45.87129482092985
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1979,0.0,-100.0,-0.36358862114304485,-45.87129482092985
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1979,0.032901780388765,inf,-0.45786426061022506,-45.838393040541085
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1979,0.0,-100.0,-0.45786426061022506,-45.838393040541085
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1979,5.14356560067481,inf,0.10041114577329094,-40.69482743986627
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1980,-5.45942852599605,-206.14093315500438,-0.05659222898649503,-46.154255965862326
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1980,0.0,-100.0,-0.05659222898649503,-46.154255965862326
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1980,-0.958069193736013,-inf,-0.25478642381145067,-47.11232515959834
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1980,0.0,-100.0,-0.25478642381145067,-47.11232515959834
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1980,3.80980091585092,inf,-0.5215393607762286,-43.30252424374742
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1981,-4.46348133013702,-217.1578628050201,-0.32234992160442255,-47.76600557388444
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1981,0.0,-100.0,-0.32234992160442255,-47.76600557388444
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1981,-1.39455463322899,-inf,-0.4096470095030179,-49.160560207113434
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1981,0.0,-100.0,-0.4096470095030179,-49.160560207113434
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1981,-5.82575543725448,-inf,-2.336758280124098,-54.98631564436791
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Brazil,BRA,1982,-5.79269615412952,-0.5674677469904132,-2.602601244922598,-60.779011798497436
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,China,CHN,1982,2.76659432624214,-147.760045626938,-2.04928237967417,-58.012417472255294
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,1982,-1.25727624640286,-145.44490800393623,-2.021826702308944,-59.269693718658154
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Russian Federation,RUS,1982,0.0,-100.0,-2.021826702308944,-59.269693718658154
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,South Africa,ZAF,1982,-4.49588097923296,-inf,-1.7558518107046404,-63.76557469789111
