SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,Brazil,BRA,1970,403057413.9,,,403057413.9
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,China,CHN,1970,0.0,-100.0,,403057413.9
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,India,IND,1970,1124639537.8,inf,,1527696951.6999998
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,Russian Federation,RUS,1970,0.0,-100.0,,1527696951.6999998
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,South Africa,ZAF,1970,0.0,,305539390.34000003,1527696951.6999998
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,Brazil,BRA,1971,511860792.8,inf,327300066.12,2039557744.4999998
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,China,CHN,1971,0.0,-100.0,327300066.12,2039557744.4999998
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,India,IND,1971,546182877.2,inf,211608734.00000006,2585740621.7
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,Russian Federation,RUS,1971,0.0,-100.0,211608734.00000006,2585740621.7
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,South Africa,ZAF,1971,0.0,,211608734.00000006,2585740621.7
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,Brazil,BRA,1972,660442362.9,inf,241325048.02000007,3246182984.6
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,China,CHN,1972,0.0,-100.0,241325048.02000007,3246182984.6
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,India,IND,1972,609650924.6,inf,254018657.50000006,3855833909.2
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,Russian Federation,RUS,1972,0.0,-100.0,254018657.50000006,3855833909.2
