SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Brazil,BRA,1970,32156314852.753,,,32156314852.753
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,China,CHN,1970,0.0,-100.0,,32156314852.753
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,India,IND,1970,467292709421.314,inf,,499449024274.067
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Russian Federation,RUS,1970,0.0,-100.0,,499449024274.067
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,South Africa,ZAF,1970,194191331996.297,inf,138728071254.0728,693640356270.364
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Brazil,BRA,1971,33435885894.6361,-82.78198848995295,138983985462.4494,727076242165.0001
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,China,CHN,1971,0.0,-100.0,138983985462.4494,727076242165.0001
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,India,IND,1971,518188408324.975,inf,149163125243.1816,1245264650489.975
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Russian Federation,RUS,1971,0.0,-100.0,149163125243.1816,1245264650489.975
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,South Africa,ZAF,1971,208470312991.592,inf,152018921442.24063,1453734963481.5671
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Brazil,BRA,1972,41798527145.6782,-79.94988996473373,153691449692.44904,1495533490627.2454
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,China,CHN,1972,0.0,-100.0,153691449692.44904,1495533490627.2454
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,India,IND,1972,602533877084.522,inf,170560543444.35846,2098067367711.7673
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Russian Federation,RUS,1972,0.0,-100.0,170560543444.35846,2098067367711.7673
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,South Africa,ZAF,1972,241350141758.242,inf,177136509197.68842,2339417509470.0093
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Brazil,BRA,1973,53377290040.7841,-77.88387872825383,179452261776.70963,2392794799510.7935
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,China,CHN,1973,0.0,-100.0,179452261776.70963,2392794799510.7935
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,India,IND,1973,534348979624.121,inf,165815282284.62943,2927143779134.9146
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Russian Federation,RUS,1973,0.0,-100.0,165815282284.62943,2927143779134.9146
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,South Africa,ZAF,1973,269239905185.845,inf,171393234970.15,3196383684320.76
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Brazil,BRA,1974,45469361766.5241,-83.11195298663527,169811649315.29803,3241853046087.2837
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,China,CHN,1974,0.0,-100.0,169811649315.29803,3241853046087.2837
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,India,IND,1974,419829126978.38,inf,146907678786.1498,3661682173065.6636
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Russian Federation,RUS,1974,0.0,-100.0,146907678786.1498,3661682173065.6636
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,South Africa,ZAF,1974,281902638383.838,inf,149440225425.74844,3943584811449.5015
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Brazil,BRA,1975,49282726626.441,-82.51782001439172,150202898397.73178,3992867538075.9424
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,China,CHN,1975,0.0,-100.0,150202898397.73178,3992867538075.9424
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,India,IND,1975,450161122076.278,inf,156269297417.3114,4443028660152.221
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Russian Federation,RUS,1975,0.0,-100.0,156269297417.3114,4443028660152.221
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,South Africa,ZAF,1975,255382800728.155,inf,150965329886.1748,4698411460880.376
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Brazil,BRA,1976,55406249414.6497,-78.30462769745114,152190034443.81653,4753817710295.025
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,China,CHN,1976,0.0,-100.0,152190034443.81653,4753817710295.025
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,India,IND,1976,590403477534.53,inf,180238505535.46695,5344221187829.556
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Russian Federation,RUS,1976,0.0,-100.0,180238505535.46695,5344221187829.556
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,South Africa,ZAF,1976,239750206066.711,inf,177111986603.17813,5583971393896.267
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Brazil,BRA,1977,62886961063.0625,-73.76979895251307,178608128932.8607,5646858354959.329
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,China,CHN,1977,0.0,-100.0,178608128932.8607,5646858354959.329
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,India,IND,1977,700807135077.929,inf,200688860441.54047,6347665490037.258
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Russian Federation,RUS,1977,0.0,-100.0,200688860441.54047,6347665490037.258
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,South Africa,ZAF,1977,259003595973.62,inf,204539538422.9223,6606669086010.878
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Brazil,BRA,1978,60948338891.5887,-76.46814953959311,204151813988.6275,6667617424902.467
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,China,CHN,1978,0.0,-100.0,204151813988.62753,6667617424902.467
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,India,IND,1978,659609613715.332,inf,195912309716.10815,7327227038617.799
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Russian Federation,RUS,1978,0.0,-100.0,195912309716.10815,7327227038617.799
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,South Africa,ZAF,1978,272903193985.557,inf,198692229318.49554,7600130232603.355
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Brazil,BRA,1979,60322852100.7238,-77.89587904056692,198567131960.32257,7660453084704.079
