SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1970,0.0,,,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1970,0.0,,,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1970,0.0,,,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1970,3904598439.72246,inf,780919687.944492,3904598439.72246
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1971,0.0,-100.0,780919687.944492,3904598439.72246
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1971,0.0,,780919687.944492,3904598439.72246
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1971,0.0,,780919687.944492,3904598439.72246
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1971,0.0,,780919687.944492,3904598439.72246
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1971,4325492163.13433,inf,865098432.626866,8230090602.85679
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1972,0.0,-100.0,865098432.626866,8230090602.85679
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1972,0.0,,865098432.626866,8230090602.85679
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1972,0.0,,865098432.626866,8230090602.85679
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1972,0.0,,865098432.626866,8230090602.85679
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1972,5254926553.11979,inf,1050985310.623958,13485017155.97658
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1973,0.0,-100.0,1050985310.623958,13485017155.97658
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1973,0.0,,1050985310.623958,13485017155.97658
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1973,0.0,,1050985310.623958,13485017155.97658
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1973,0.0,,1050985310.623958,13485017155.97658
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1973,7230920097.51479,inf,1446184019.5029578,20715937253.49137
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1974,0.0,-100.0,1446184019.5029578,20715937253.49137
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1974,0.0,,1446184019.5029578,20715937253.49137
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1974,0.0,,1446184019.5029578,20715937253.49137
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1974,0.0,,1446184019.5029578,20715937253.49137
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1974,9996662197.19107,inf,1999332439.438214,30712599450.68244
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1975,9552000000.0,-4.448106662201856,3909732439.4382143,40264599450.68244
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1975,0.0,-100.0,3909732439.4382143,40264599450.68244
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1975,5506716461.9692,inf,5011075731.832054,45771315912.65164
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1975,0.0,-100.0,5011075731.832054,45771315912.65164
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1975,10323214081.4409,inf,5076386108.68202,56094529994.092545
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1976,10979000000.0,6.35253626811898,5361786108.68202,67073529994.092545
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1976,0.0,-100.0,5361786108.68202,67073529994.092545
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1976,6466191483.17676,inf,5553681112.9235325,73539721477.2693
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1976,0.0,-100.0,5553681112.9235325,73539721477.2693
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1976,9840549991.443,inf,5457148294.923952,83380271468.71231
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1977,13130000000.0,33.4275016276264,5887348294.923952,96510271468.71231
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,1977,0.0,-100.0,5887348294.923952,96510271468.71231
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,1977,7565571017.55048,inf,6107224201.7986965,104075842486.26279
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Russian Federation,RUS,1977,0.0,-100.0,6107224201.7986965,104075842486.26279
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,South Africa,ZAF,1977,11913999989.64,inf,6521914201.438097,115989842475.90279
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,1978,13823000000.0,16.02316612405574,6660514201.438097,129812842475.90279
