SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1970,0.0049669999,,,0.0049669999
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1970,5680000000.0,114354743594720.7,,5680000000.004967
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1970,17710000000.0,211.7957746478873,,23390000000.004967
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1970,0.0,-100.0,,23390000000.004967
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1970,2789000000.0,inf,5235800000.000994,26179000000.004967
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1971,0.0060649999,-99.99999999978255,5235800000.001213,26179000000.011032
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1971,6850000000.0,112943118102836.81,5469800000.001213,33029000000.011032
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1971,18380000000.0,168.32116788321167,5603800000.001213,51409000000.01103
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1971,0.0,-100.0,5603800000.001213,51409000000.01103
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1971,3094000000.0,inf,5664800000.001213,54503000000.01103
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1972,0.0091650002,-99.99999999970377,5664800000.001833,54503000000.020195
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1972,8290000000.0,90452807627771.08,5952800000.001833,62793000000.020195
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1972,22250000000.0,168.39565741857658,6726800000.001833,85043000000.0202
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1972,0.0,-100.0,6726800000.001833,85043000000.0202
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1972,4044000000.0,inf,6916800000.001833,89087000000.0202
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1973,0.0146009997,-99.99999999963894,6916800000.00292,89087000000.0348
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1973,11690000000.0,80063011027836.67,7596800000.00292,100777000000.0348
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1973,28300000000.0,142.08725406330197,8806800000.00292,129077000000.0348
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1973,0.0,-100.0,8806800000.00292,129077000000.0348
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1973,5006000000.0,inf,8999200000.00292,134083000000.0348
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Brazil,BRA,1974,0.0207909998,-99.99999999958467,8999200000.004158,134083000000.0556
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,China,CHN,1974,13940000000.0,67048242672674.2,9449200000.004158,148023000000.0556
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,India,IND,1974,38350000000.0,175.10760401721663,11459200000.004158,186373000000.0556
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Russian Federation,RUS,1974,0.0,-100.0,11459200000.004158,186373000000.0556
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,South Africa,ZAF,1974,6793000000.0,inf,11816600000.004158,193166000000.0556
