SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Brazil,BRA,1970,5270141591.8,,,5270141591.8
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,China,CHN,1970,0.0,-100.0,,5270141591.8
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,India,IND,1970,8142121119.4,inf,,13412262711.2
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Russian Federation,RUS,1970,0.0,-100.0,,13412262711.2
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,South Africa,ZAF,1970,0.0,,2682452542.2400002,13412262711.2
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Brazil,BRA,1971,6803251343.7,inf,2989074492.62,20215514054.9
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,China,CHN,1971,0.0,-100.0,2989074492.62,20215514054.9
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,India,IND,1971,9010742281.7,inf,3162798725.08,29226256336.600002
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Russian Federation,RUS,1971,0.0,-100.0,3162798725.08,29226256336.600002
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,South Africa,ZAF,1971,0.0,,3162798725.08,29226256336.600002
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Brazil,BRA,1972,10448608907.8,inf,3891870237.9,39674865244.4
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,China,CHN,1972,0.0,-100.0,3891870237.9,39674865244.4
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,India,IND,1972,9679268976.8,inf,4025575576.9199996,49354134221.2
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Russian Federation,RUS,1972,0.0,-100.0,4025575576.9199996,49354134221.2
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,South Africa,ZAF,1972,0.0,,4025575576.9199996,49354134221.2
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Brazil,BRA,1973,13264945243.1,inf,4588842843.9800005,62619079464.299995
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,China,CHN,1973,0.0,-100.0,4588842843.9800005,62619079464.299995
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,India,IND,1973,10513120720.3,inf,4755613192.68,73132200184.59999
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Russian Federation,RUS,1973,0.0,-100.0,4755613192.68,73132200184.59999
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,South Africa,ZAF,1973,0.0,,4755613192.68,73132200184.59999
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Brazil,BRA,1974,19762897097.7,inf,6055203563.6,92895097282.29999
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,China,CHN,1974,0.0,-100.0,6055203563.6,92895097282.29999
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,India,IND,1974,11651438629.8,inf,6282867145.5,104546535912.09999
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Russian Federation,RUS,1974,0.0,-100.0,6282867145.5,104546535912.09999
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,South Africa,ZAF,1974,0.0,,6282867145.5,104546535912.09999
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Brazil,BRA,1975,24475458034.8,inf,7225379332.92,129021993946.9
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,China,CHN,1975,0.0,-100.0,7225379332.92,129021993946.9
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,India,IND,1975,12575090794.8,inf,7410109765.92,141597084741.69998
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Russian Federation,RUS,1975,0.0,-100.0,7410109765.92,141597084741.69998
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,South Africa,ZAF,1975,0.0,,7410109765.92,141597084741.69998
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Brazil,BRA,1976,29756775423.8,inf,8466373243.719999,171353860165.49997
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,China,CHN,1976,0.0,-100.0,8466373243.719999,171353860165.49997
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,India,IND,1976,13615327138.4,inf,8674420512.439999,184969187303.89996
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Russian Federation,RUS,1976,0.0,-100.0,8674420512.439999,184969187303.89996
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,South Africa,ZAF,1976,0.0,,8674420512.439999,184969187303.89996
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Brazil,BRA,1977,36499199632.3,inf,10022905354.14,221468386936.19995
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,China,CHN,1977,0.0,-100.0,10022905354.14,221468386936.19995
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,India,IND,1977,14830697348.6,inf,10265979396.179998,236299084284.79996
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Russian Federation,RUS,1977,0.0,-100.0,10265979396.179998,236299084284.79996
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,South Africa,ZAF,1977,0.0,,10265979396.179998,236299084284.79996
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,Brazil,BRA,1978,47954450621.5,inf,12557029594.019999,284253534906.2999
