SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Brazil,BRA,1970,1706300000.0,,,1706300000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,China,CHN,1970,0.0,-100.0,,1706300000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,India,IND,1970,100000000.0,inf,,1806300000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Russian Federation,RUS,1970,0.0,-100.0,,1806300000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,South Africa,ZAF,1970,0.0,,361260000.0,1806300000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Brazil,BRA,1971,2427100000.0,inf,505420000.0,4233400000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,China,CHN,1971,0.0,-100.0,505420000.0,4233400000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,India,IND,1971,100000000.0,inf,505420000.0,4333400000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Russian Federation,RUS,1971,0.0,-100.0,505420000.0,4333400000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,South Africa,ZAF,1971,0.0,,505420000.0,4333400000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Brazil,BRA,1972,4238800000.0,inf,867760000.0,8572200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,China,CHN,1972,0.0,-100.0,867760000.0,8572200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,India,IND,1972,100000000.0,inf,867760000.0,8672200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Russian Federation,RUS,1972,0.0,-100.0,867760000.0,8672200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,South Africa,ZAF,1972,0.0,,867760000.0,8672200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Brazil,BRA,1973,5150000000.0,inf,1050000000.0,13822200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,China,CHN,1973,0.0,-100.0,1050000000.0,13822200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,India,IND,1973,139100000.0,inf,1057820000.0,13961300000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Russian Federation,RUS,1973,0.0,-100.0,1057820000.0,13961300000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,South Africa,ZAF,1973,0.0,,1057820000.0,13961300000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Brazil,BRA,1974,8181900000.0,inf,1664200000.0,22143200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,China,CHN,1974,0.0,-100.0,1664200000.0,22143200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,India,IND,1974,267000000.0,inf,1689780000.0,22410200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Russian Federation,RUS,1974,0.0,-100.0,1689780000.0,22410200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,South Africa,ZAF,1974,0.0,,1689780000.0,22410200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Brazil,BRA,1975,9592900000.0,inf,1971980000.0,32003100000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,China,CHN,1975,0.0,-100.0,1971980000.0,32003100000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,India,IND,1975,277000000.0,inf,1973980000.0,32280100000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Russian Federation,RUS,1975,0.0,-100.0,1973980000.0,32280100000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,South Africa,ZAF,1975,0.0,,1973980000.0,32280100000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Brazil,BRA,1976,11133300000.0,inf,2282060000.0,43413400000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,China,CHN,1976,0.0,-100.0,2282060000.0,43413400000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,India,IND,1976,295000000.0,inf,2285660000.0,43708400000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Russian Federation,RUS,1976,0.0,-100.0,2285660000.0,43708400000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,South Africa,ZAF,1976,0.0,,2285660000.0,43708400000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Brazil,BRA,1977,13005800000.0,inf,2660160000.0,56714200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,China,CHN,1977,0.0,-100.0,2660160000.0,56714200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,India,IND,1977,295000000.0,inf,2660160000.0,57009200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Russian Federation,RUS,1977,0.0,-100.0,2660160000.0,57009200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,South Africa,ZAF,1977,0.0,,2660160000.0,57009200000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Brazil,BRA,1978,16151800000.0,inf,3289360000.0,73161000000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,China,CHN,1978,0.0,-100.0,3289360000.0,73161000000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,India,IND,1978,348000000.0,inf,3299960000.0,73509000000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,Russian Federation,RUS,1978,0.0,-100.0,3299960000.0,73509000000.0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,South Africa,ZAF,1978,0.0,,3299960000.0,73509000000.0
