SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1970,398.053947557483,,,398.053947557483
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1970,104.184348283257,-73.82657578889813,,502.23829584074
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1970,104.049463570707,-0.1294673478047459,,606.287759411447
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1970,0.0,-100.0,,606.287759411447
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1970,0.0,,121.2575518822894,606.287759411447
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1971,452.860826650255,inf,132.21892770084378,1059.148586061702
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1971,109.128969684811,-75.90231628290263,133.2078519811546,1168.277555746513
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1971,109.517516400318,0.35604360293075565,134.3014625470768,1277.795072146831
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1971,0.0,-100.0,134.3014625470768,1277.795072146831
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,South Africa,ZAF,1971,754.47053445537,inf,285.19556943815076,2032.265606602201
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,1972,525.973644242581,-30.285727510582518,299.81813295661595,2558.239250844782
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,China,CHN,1972,120.941534296567,-77.0061607420032,302.1806458789672,2679.180785141349
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,1972,113.404896937656,-6.231636966362619,302.9581219864348,2792.585682079005
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Russian Federation,RUS,1972,0.0,-100.0,302.9581219864348,2792.585682079005
