SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Brazil,BRA,1970,0.0,,,0.0
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,China,CHN,1970,0.0,,,0.0
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,India,IND,1970,12.8086138914164,inf,,12.8086138914164
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Russian Federation,RUS,1970,0.0,-100.0,,12.8086138914164
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,South Africa,ZAF,1970,14.7174770039422,inf,5.50521817907172,27.5260908953586
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Brazil,BRA,1971,0.0,-100.0,5.50521817907172,27.5260908953586
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,China,CHN,1971,0.0,,5.50521817907172,27.5260908953586
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,India,IND,1971,12.1927204699859,inf,5.38203949478562,39.7188113653445
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Russian Federation,RUS,1971,0.0,-100.0,5.38203949478562,39.7188113653445
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,South Africa,ZAF,1971,14.7174769893515,inf,5.38203949186748,54.436288354696
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Brazil,BRA,1972,0.0,-100.0,5.38203949186748,54.436288354696
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,China,CHN,1972,0.0,,5.38203949186748,54.436288354696
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,India,IND,1972,11.1813554781677,inf,5.179766493503839,65.6176438328637
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Russian Federation,RUS,1972,0.0,-100.0,5.179766493503839,65.6176438328637
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,South Africa,ZAF,1972,14.692573862124,inf,5.17478586805834,80.3102176949877
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Brazil,BRA,1973,0.0,-100.0,5.17478586805834,80.3102176949877
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,China,CHN,1973,0.0,,5.17478586805834,80.3102176949877
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,India,IND,1973,10.2459104722085,inf,4.9876968668665,90.55612816719619
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Russian Federation,RUS,1973,0.0,-100.0,4.9876968668665,90.55612816719619
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,South Africa,ZAF,1973,14.5187601957586,inf,4.952934133593421,105.0748883629548
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Brazil,BRA,1974,0.0,-100.0,4.952934133593421,105.0748883629548
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,China,CHN,1974,0.0,,4.952934133593421,105.0748883629548
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,India,IND,1974,10.7708434123528,inf,5.0579207216222795,115.8457317753076
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Russian Federation,RUS,1974,0.0,-100.0,5.0579207216222795,115.8457317753076
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,South Africa,ZAF,1974,14.2973027783411,inf,5.013629238138781,130.1430345536487
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Brazil,BRA,1975,0.0,-100.0,5.013629238138781,130.1430345536487
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,China,CHN,1975,0.0,,5.013629238138781,130.1430345536487
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,India,IND,1975,10.8400746733043,inf,5.0274754903290795,140.983109226953
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Russian Federation,RUS,1975,0.0,-100.0,5.0274754903290795,140.983109226953
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,South Africa,ZAF,1975,14.3189964157706,inf,5.03181421781498,155.3021056427236
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,Brazil,BRA,1976,0.0,-100.0,5.03181421781498,155.3021056427236
