SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1970,0.0,,,0.0
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1970,0.0,,,0.0
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1970,0.0,,,0.0
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1970,0.0,,,0.0
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1970,0.0,,0.0,0.0
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1971,0.0,,0.0,0.0
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1971,0.0,,0.0,0.0
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1971,0.0,,0.0,0.0
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1971,0.0,,0.0,0.0
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1971,15.4704075081045,inf,3.0940815016209,15.4704075081045
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1972,0.0,-100.0,3.0940815016209,15.4704075081045
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1972,0.0,,3.0940815016209,15.4704075081045
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1972,0.0,,3.0940815016209,15.4704075081045
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1972,0.0,,3.0940815016209,15.4704075081045
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1972,16.1934992431534,inf,3.23869984863068,31.6639067512579
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1973,0.0,-100.0,3.23869984863068,31.6639067512579
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1973,0.0,,3.23869984863068,31.6639067512579
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1973,0.0,,3.23869984863068,31.6639067512579
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1973,0.0,,3.23869984863068,31.6639067512579
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1973,21.2775429335145,inf,4.2555085867029,52.9414496847724
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1974,0.0,-100.0,4.2555085867029,52.9414496847724
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1974,0.0,,4.2555085867029,52.9414496847724
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1974,0.0,,4.2555085867029,52.9414496847724
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1974,0.0,,4.2555085867029,52.9414496847724
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1974,22.6852633511161,inf,4.53705267022322,75.6267130358885
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1975,14.1812995524282,-37.486731659518114,7.37331258070886,89.8080125883167
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1975,0.0,-100.0,7.37331258070886,89.8080125883167
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1975,5.53417293591996,inf,8.480147167892852,95.34218552423665
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1975,0.0,-100.0,8.480147167892852,95.34218552423665
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1975,15.0320614023015,inf,6.9495067781299324,110.37424692653815
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1976,10.9802079498126,-26.954742560248825,6.309288457606812,121.35445487635074
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1976,0.0,-100.0,6.309288457606812,121.35445487635074
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1976,8.76851984299114,inf,6.9561578390210475,130.12297471934187
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1976,0.0,-100.0,6.9561578390210475,130.12297471934187
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1976,11.9367324662708,inf,6.337092051814908,142.05970718561267
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1977,11.946388282783,0.08089162205389133,6.530328118408988,154.00609546839567
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1977,0.0,-100.0,6.530328118408988,154.00609546839567
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1977,7.67593042399987,inf,6.311810234610734,161.68202589239553
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1977,0.0,-100.0,6.311810234610734,161.68202589239553
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1977,11.5786157754703,inf,6.240186896450634,173.26064166786583
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1978,11.7630134765742,1.5925712078170173,6.203511935208875,185.02365514444003
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1978,0.0,-100.0,6.203511935208875,185.02365514444003
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1978,7.15278526736131,inf,6.098882903881162,192.17644041180134
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1978,0.0,-100.0,6.098882903881162,192.17644041180134
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1978,12.6364239023017,inf,6.310444529247443,204.81286431410302
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1979,9.81906817230373,-22.29551455206242,5.921655468393348,214.63193248640675
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1979,0.0,-100.0,5.921655468393348,214.63193248640675
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1979,7.26069912207189,inf,5.9432382393354635,221.89263160847864
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1979,0.0,-100.0,5.943238239335464,221.89263160847864
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1979,12.5302441413579,inf,5.922002287146705,234.42287574983655
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1980,9.03284255170599,-27.911679534704557,5.764757163027156,243.45571830154253
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1980,0.0,-100.0,5.764757163027156,243.45571830154253
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1980,6.49761335519552,inf,5.612140009651883,249.95333165673804
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1980,0.0,-100.0,5.612140009651883,249.95333165673804
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1980,14.5444587807582,inf,6.014982937531942,264.49779043749623
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1981,10.5809594722509,-27.250923312119856,6.324606321640924,275.07874990974716
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1981,0.0,-100.0,6.324606321640924,275.07874990974716
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1981,7.03010624157375,inf,6.43110489891657,282.10885615132094
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1981,0.0,-100.0,6.43110489891657,282.10885615132094
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1981,10.6550268736006,inf,5.653218517485049,292.76388302492154
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1982,7.37229226535283,-30.809256956275057,5.011485076105435,300.13617529027437
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1982,12.5691152587284,70.49127742532404,7.525308127851116,312.70529054900277
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1982,6.79057784646751,-45.97409836184044,7.477402448829868,319.49586839547027
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1982,0.0,-100.0,7.477402448829868,319.49586839547027
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1982,5.49208582760875,inf,6.444814239631498,324.98795422307904
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1983,2.41433150435851,-56.0398074585497,5.453222087432634,327.4022857274376
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1983,13.939316428301,477.3571857525294,5.727262321347154,341.3416021557386
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1983,6.70060927413782,-51.93014443281042,5.709268606881215,348.04221142987643
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1983,0.0,-100.0,5.709268606881215,348.04221142987643
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1983,4.90712547925159,inf,5.592276537209784,352.949336909128
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1984,4.6585996140889,-5.064591606909419,6.041130159155863,357.60793652321695
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1984,16.770907807347,259.99890947114477,6.607448434965062,374.37884433056394
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1984,6.28846624072954,-62.50372184399768,6.525019828283407,380.66731057129346
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1984,0.0,-100.0,6.525019828283407,380.66731057129346
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1984,5.81534793125423,inf,6.706664318683934,386.4826585025477
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1985,8.12665923150359,39.74502175230752,7.400276242166872,394.6093177340513
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1985,17.8074001713312,119.12325426787316,7.607574714963713,412.4167179053825
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1985,6.79726214108383,-61.82900324761052,7.70933389503457,419.2139800464663
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1985,0.0,-100.0,7.70933389503457,419.2139800464663
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1985,0.70483595092167,inf,6.687231498968058,419.918815997388
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1986,7.39375192790973,949.0032351842132,6.540650038249285,427.3125679252977
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1986,19.396073412461,162.330594826224,6.858384686475246,446.7086413377587
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1986,6.36702401060702,-67.1736445041679,6.7723370603798845,453.0756653483657
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1986,0.0,-100.0,6.7723370603798845,453.0756653483657
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1986,-0.155617292008302,-inf,6.60024641179389,452.9200480563574
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1987,12.5241212168014,-8148.026703956045,7.626320269572224,465.4441692731588
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1987,19.4237094486392,55.09039805988019,7.631847476807863,484.86787872179804
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,India,IND,1987,7.6807198619386,-60.45698746550854,7.89458664707418,492.54859858373663
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Russian Federation,RUS,1987,0.0,-100.0,7.89458664707418,492.54859858373663
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,South Africa,ZAF,1987,0.215163870459039,inf,7.968742879567648,492.76376245419567
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Brazil,BRA,1988,15.0455970764098,6892.622434384981,8.473038051489329,507.8093595306055
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,China,CHN,1988,21.3405046378443,41.83886840426143,8.856397089330347,529.1498641684498
