SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Brazil,BRA,1970,8275.83545371263,,,8275.83545371263
GDP per capita (constant LCU),NY.GDP.PCAP.KN,China,CHN,1970,1766.02468702419,-78.6604664036435,,10041.86014073682
GDP per capita (constant LCU),NY.GDP.PCAP.KN,India,IND,1970,19618.9782674345,1010.9118922053761,,29660.838408171323
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Russian Federation,RUS,1970,0.0,-100.0,,29660.838408171323
GDP per capita (constant LCU),NY.GDP.PCAP.KN,South Africa,ZAF,1970,45714.175602394,inf,15075.002802113066,75375.01401056533
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Brazil,BRA,1971,8986.70323639763,-80.34153931909252,15217.176358650064,84361.71724696296
GDP per capita (constant LCU),NY.GDP.PCAP.KN,China,CHN,1971,1839.47676559888,-79.53112818782425,15231.866774365,86201.19401256184
GDP per capita (constant LCU),NY.GDP.PCAP.KN,India,IND,1971,19496.0946972719,959.8717560275647,15207.290060332482,105697.28870983374
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Russian Federation,RUS,1971,0.0,-100.0,15207.290060332482,105697.28870983374
GDP per capita (constant LCU),NY.GDP.PCAP.KN,South Africa,ZAF,1971,46417.8088742861,inf,15348.016714710899,152115.09758411982
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Brazil,BRA,1972,9830.20950095616,-78.8223319037324,15516.717967622604,161945.307085076
GDP per capita (constant LCU),NY.GDP.PCAP.KN,China,CHN,1972,1863.20796515184,-81.04610115409432,15521.464207533198,163808.51505022784
GDP per capita (constant LCU),NY.GDP.PCAP.KN,India,IND,1972,18947.1570715342,916.9104805211651,15411.676682385656,182755.67212176204
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Russian Federation,RUS,1972,0.0,-100.0,15411.676682385656,182755.67212176204
GDP per capita (constant LCU),NY.GDP.PCAP.KN,South Africa,ZAF,1972,45936.9517238522,inf,15315.505252298879,228692.62384561423
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Brazil,BRA,1973,10941.3690574871,-76.1817694755616,15537.737163605067,239633.99290310132
GDP per capita (constant LCU),NY.GDP.PCAP.KN,China,CHN,1973,1962.46651292941,-82.0637938212448,15557.588873160581,241596.45941603073
GDP per capita (constant LCU),NY.GDP.PCAP.KN,India,IND,1973,19121.314505588,874.3511229165007,15592.420359971342,260717.77392161873
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Russian Federation,RUS,1973,0.0,-100.0,15592.420359971342,260717.77392161873
GDP per capita (constant LCU),NY.GDP.PCAP.KN,South Africa,ZAF,1973,46768.433494964,inf,15758.7167141937,307486.20741658274
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Brazil,BRA,1974,11651.9125625109,-75.08594645624473,15900.825415198464,319138.11997909367
GDP per capita (constant LCU),NY.GDP.PCAP.KN,China,CHN,1974,1966.74480110024,-83.12084140222538,15901.681072832627,321104.8647801939
