SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1970,445.02310059739,,,445.02310059739
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1970,113.162991554686,-74.57143429121358,,558.186092152076
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1970,112.434493490322,-0.6437599911027103,,670.6205856423979
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1970,0.0,-100.0,,670.6205856423979
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1970,834.552767550078,inf,301.0346706384952,1505.173353192476
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1971,504.749516124995,-39.51856182722358,312.97995374401614,2009.922869317471
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1971,118.654577785346,-76.49238404500764,314.0782709901482,2128.577447102817
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1971,118.603242102118,-0.0432648147135728,315.31202071250743,2247.1806892049353
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1971,0.0,-100.0,315.31202071250743,2247.1806892049353
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1971,897.129856305489,inf,327.8274384635896,3144.310545510424
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1972,586.214404973525,-34.65668310408919,344.12041623329566,3730.5249504839494
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1972,131.883561243868,-77.50250418192569,346.766212925,3862.4085117278173
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1972,122.981863898262,-6.749664068553418,347.64193728422885,3985.3903756260793
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1972,0.0,-100.0,347.64193728422885,3985.3903756260793
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1972,917.356209419696,inf,351.6872079070702,4902.746585045776
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1973,775.273300345189,-15.48830297495738,389.498986981403,5678.019885390964
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1973,157.090374298657,-79.73741979393424,394.5403495923608,5835.110259689621
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1973,143.778688096538,-8.473903166600838,398.699714432016,5978.8889477861585
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1973,0.0,-100.0,398.699714432016,5978.8889477861585
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1973,1225.08900721551,inf,460.2462739911788,7203.977955001668
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1974,1004.10491009099,-18.038207495371473,506.012595940339,8208.082865092658
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1974,160.140093727686,-84.05145795839456,506.62253982614476,8368.222958820345
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1974,163.478111157501,2.08443579125861,510.5624244383374,8531.701069977846
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1974,0.0,-100.0,510.5624244383374,8531.701069977846
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1974,1499.14106806266,inf,565.3728366077673,10030.842138040505
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1975,1153.8309583695,-23.033863660302778,595.3180462634693,11184.673096410006
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1975,178.341819608096,-84.54350541433607,598.9583914395514,11363.014916018103
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1975,158.036171764282,-11.385802773816833,597.8700035609075,11521.051087782385
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1975,0.0,-100.0,597.8700035609075,11521.051087782385
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1975,1512.77078488392,inf,600.5959469251595,13033.821872666305
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1976,1390.62497537665,-8.074310445957133,647.9547503265896,14424.446848042955
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1976,165.40554037242,-88.105668796318,645.3674944794543,14589.852388415375
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1976,161.092091731697,-2.6078017888705785,645.9786784729374,14750.94448014707
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1976,0.0,-100.0,645.9786784729374,14750.94448014707
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1976,1416.7089305868,inf,626.7663076135134,16167.65341073387
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1977,1567.00618230231,10.6089012690318,662.0425489986453,17734.65959303618
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1977,185.422832913673,-88.16706436720996,666.046007506896,17920.08242594985
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1977,186.213501325277,0.4264137264972767,671.070289425612,18106.29592727513
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1977,0.0,-100.0,671.070289425612,18106.29592727513
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1977,1535.11889732242,inf,694.752282772736,19641.41482459755
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1978,1744.25712944487,13.623585279761219,730.202472201248,21385.67195404242
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1978,156.396388520044,-91.03363914184952,724.3971833225222,21542.068342562463
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1978,205.693386086224,31.52054726625737,728.2931602747116,21747.761728648686
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1978,0.0,-100.0,728.2931602747116,21747.761728648686
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1978,1722.22669358824,inf,765.7147195278757,23469.988422236926
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1979,1908.48762658653,10.815122869232585,798.5608189562076,25378.476048823457
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1979,183.983152215978,-90.35974089362867,804.0781716953944,25562.459201039434
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1979,224.001016839808,21.750831063516607,807.7396978461113,25786.46021787924
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1979,0.0,-100.0,807.7396978461113,25786.46021787924
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1979,2071.55130338222,inf,877.6046198049073,27858.011521261462
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1980,1947.27643012721,-5.999121192514345,885.3623805130431,29805.287951388673
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1980,194.804722186836,-89.99604169326335,887.5266945072148,30000.09267357551
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1980,266.577848118397,36.843627364804775,896.0420607629327,30266.670521693908
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1980,0.0,-100.0,896.0420607629327,30266.670521693908
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1980,2905.8078450859,inf,1062.8933691036686,33172.47836677981
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1981,2132.8833173447,-26.59929936689779,1100.0147465471666,35305.36168412451
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1981,197.071474499102,-90.76032556978114,1100.46809700962,35502.433158623615
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1981,270.470602438399,37.24492757049496,1101.2466478736203,35772.903761062014
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1981,0.0,-100.0,1101.24664787362,35772.903761062014
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1981,2913.24175639043,inf,1102.733430134526,38686.145517452445
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1982,2226.76726079559,-23.56393849185372,1121.5102188247042,40912.912778248035
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1982,203.334919503464,-90.86860476694743,1122.7629078255766,41116.247697751496
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1982,274.111331421581,34.80779990517628,1123.4910536222128,41390.35902917308
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1982,0.0,-100.0,1123.4910536222128,41390.35902917308
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1982,2601.05786126575,inf,1061.0542745972768,43991.41689043883
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1983,1570.5397473792,-39.61919222300846,929.8087719139988,45561.95663781803
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1983,225.431928890812,-85.64621307630094,934.2281737914685,45787.38856670885
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1983,291.238110137317,29.19115387526947,937.6535295346157,46078.626676846165
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1983,0.0,-100.0,937.6535295346157,46078.626676846165
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1983,2820.43408158049,inf,981.5287735975637,48899.060758426655
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1984,1578.92641703719,-44.01831876345768,983.2061075291616,50477.987175463844
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1984,250.713969046988,-84.12123792839911,988.262515560397,50728.70114451083
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1984,276.667958643143,10.352031717582811,985.348485261562,51005.36910315397
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1984,0.0,-100.0,985.348485261562,51005.36910315397
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1984,2429.02711884123,inf,907.06709271371,53434.3962219952
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1985,1648.08210438614,-32.150526784881706,920.8982301835001,55082.478326381344
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,1985,294.45884850496,-82.13324155870032,929.6472060750945,55376.937174886305
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1985,296.435151551022,0.6711644279315143,933.6006446566702,55673.372326437326
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1985,0.0,-100.0,933.6006446566702,55673.372326437326
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,1985,1807.97657847956,inf,809.3905365843362,57481.348904916886
